Bug ID,Bug Fix Commit Hash,Date of Commit
IGNITE-6995,e361cb66ad7d0131ee7c0d744efe9e7ed5ba8240,2018-01-11T21:22:59+07:00
IGNITE-6995,47e7daf7323ee49be53efb363f447d574bc7e222,2017-12-13T23:33:05+07:00
IGNITE-5663,301f310b6348b3f6fbe54b16d065569755e71bce,2017-07-05T14:21:40+03:00
IGNITE-5663,64c156e9252395504af00f09d934f36b6bc21913,2017-07-04T19:42:33+03:00
IGNITE-5662,b3e6298a099f684a293a61b97e7623f5400cc5d0,2017-07-10T20:44:29+03:00
IGNITE-11717,17753e25c95bbf3645b65b558e862eb057dcfa9a,2019-04-15T14:40:05+07:00
IGNITE-4336,02e3b656e324d999800bd8ceb41441f75d370862,2016-12-09T16:35:41+03:00
IGNITE-4336,9a691c4f6a709caab18ca1442217829b6f578e56,2016-12-08T18:02:46+03:00
IGNITE-4336,c14561c337cf145aced381de1f1ca9676733b862,2016-12-08T17:58:54+03:00
IGNITE-3004,c9416ed9b58bbb2287e896cc5860177939c4b3ed,2016-05-20T12:54:55+03:00
IGNITE-11716,93c868b4e323b33699aa51cb0330b56bd577359d,2019-05-30T14:05:51+07:00
IGNITE-11716,e6f7dad846881722654285735fffa27c5ab007d6,2019-04-11T10:05:43+07:00
IGNITE-11711,6fd5a7622e3ad5e8c0b02a302b7a7a5d0d4dd007,2019-04-12T13:34:42+07:00
IGNITE-920,f1b5ecd16dd2315bab79944f192dbf9a1113b81b,2015-05-18T14:22:54-07:00
IGNITE-920,a927eb29276796831ead8e9351e30947c4480bf8,2015-05-18T11:38:49-07:00
IGNITE-1299,9fe3e8fd884f2f19bfe3fb39c9cda89c7ae495d8,2015-08-27T12:11:13+03:00
IGNITE-928,050f4292f3526d2306336383c6e9e5b0d6df638e,2015-05-22T21:40:06+03:00
IGNITE-8701,d4ae653d8018e88847425111321e653bd558a973,2018-06-05T16:59:07+03:00
IGNITE-11708,18126a896635646ae4f2ca8c282a55fc2e4d6e05,2019-06-05T14:05:00+03:00
IGNITE-4347,b4aedfd5350b4a318f1608596a171789513835a4,2016-12-02T20:10:09+03:00
IGNITE-4347,af24a9e2c3b61dff7c9116f1a3bea8c398b7ce78,2016-12-02T12:35:13+03:00
IGNITE-3015,00f8d654cd9ce0099020b2888831b6351b2763ca,2016-04-26T09:57:00+07:00
IGNITE-8702,fa34308b6cde06709e7dcf53149200361ca1fc12,2018-06-07T18:29:00+03:00
IGNITE-3018,40347eda88de4c48a2c0535e50a91c5bff683105,2017-04-14T10:40:04+03:00
IGNITE-8707,ceade87e7ec3567317cc9ff62043b4655a040175,2018-06-18T18:53:43+03:00
IGNITE-8706,0dc8b4baf6aec3acd4f0e89198b180246abccb48,2018-06-07T14:55:13+03:00
IGNITE-5683,d84619775e3960f30890a467b897315deed20ab7,2017-07-04T15:44:27+07:00
IGNITE-3021,89bce0fc5cb3dba56626c7088e607d0b25c3353c,2016-08-15T12:27:38+03:00
IGNITE-3021,27b032e3ef0eda6f4fcf86e5091319be5205871d,2016-06-30T13:14:16+03:00
IGNITE-8712,5e37dde5e505ef3f4449e941ed4125a30e9d0057,2018-06-14T14:03:33+03:00
IGNITE-4354,5c48260f3d79bafd72af87e19077f150831d07e9,2017-04-10T16:34:35+03:00
IGNITE-8711,051648b52c2610a061601665d283f435890d4675,2018-06-08T16:11:18+03:00
IGNITE-5684,4f3b69c7018913618e7bbc724ab83ac6c274bc1f,2017-07-11T11:27:57+03:00
IGNITE-4353,49a0b1879fbce3879d37c34727f05a11002ecbc3,2016-12-15T12:47:58+03:00
IGNITE-4353,56efb10c40fd4481d6a9dc00928e7beee1f164c5,2016-12-07T14:25:53+03:00
IGNITE-4353,4ba8fcd08e9fb7c876e3532a0caef6d416df8a66,2016-12-01T17:45:20+03:00
IGNITE-3024,718cf78b626d45e29f02e0ba8e50ecc1d0f27676,2016-05-04T12:12:42+03:00
IGNITE-1281,89e94b6308ee0b4c47e8d72417e238f8eb4a59a2,2015-08-25T16:40:59-07:00
IGNITE-5686,a668a224a8c69afd618667fa19309f1b7a0c8ca3,2017-07-11T10:40:56+02:00
IGNITE-5688,d2fe437426399e2cf36b00ce6f527731da88613e,2017-07-10T18:22:49+03:00
IGNITE-3027,1b4d57ab3d9421914a7efa09c17b59b61a828485,2016-04-28T14:36:14+03:00
IGNITE-1277,28d64d53143119fe64e5b2e8499bb2a978800efc,2015-08-26T10:59:54+03:00
IGNITE-5694,17694c16d449dea4d4e39a271dd39e838c581858,2017-07-10T11:59:19+03:00
IGNITE-4363,9ce099c05f4b672fd4ce95173342335402f63039,2017-02-09T13:29:40+03:00
IGNITE-4363,d01406f26061f9a994bbc399ee3033a86d7e307d,2017-02-08T13:45:28+03:00
IGNITE-4363,bb1ac0a5cfecf4af7e8dcfe86efc75997895c431,2017-02-08T13:40:02+03:00
IGNITE-4363,70cd8e452b94b806a2fe6fe00b4b67ce80eb4373,2017-02-07T11:41:08+03:00
IGNITE-5693,5b7165ca717de038249570c4213f050ba9b5aee7,2017-07-04T20:57:56+03:00
IGNITE-1272,599d2edc6c4f3ce60654a53bb431d36db982bc87,2015-12-10T14:19:59+03:00
IGNITE-8722,e539a0cbde417e718cd4f6840dca8429907e09c5,2018-06-14T16:20:19+07:00
IGNITE-5695,836906c89dfb880ac602046c37b3a2dba3ebdc46,2017-07-05T23:28:15-05:00
IGNITE-8721,9d163ed7f5496b6a79fc0cfc50f02ca1a4408433,2018-06-07T11:18:08+03:00
IGNITE-3035,6e00766a20459571247fafac22e2a0cbb8d979a1,2016-04-26T09:30:09+07:00
IGNITE-5697,0376c48f056fd11ec6827211725a44533fb75ee1,2017-07-31T15:17:12+07:00
IGNITE-5697,f277530ab6a9a6f03fd66f95a7a4d91a3506dcf5,2017-07-25T15:24:13+07:00
IGNITE-8724,0b2f349ff47ab7353ca58f206c326a12567636f3,2018-08-10T16:21:25+03:00
IGNITE-1269,21cff74e081308fb2ed94b115419ed46c2bc6a77,2015-08-25T20:06:11-07:00
IGNITE-1265,8f1c1c0d7406f9b43681a6da69560c8ba6bbb737,2015-08-19T22:55:48-07:00
IGNITE-1265,8ced20733da65bbd224d7dea61ab09d8dcfa2efc,2015-08-19T12:21:24-07:00
IGNITE-1265,d384d2901250f64e470feda9e4b34763b9420976,2015-08-19T11:47:19-07:00
IGNITE-1265,5065a1eccb3d71b2573d37bb6ff2c78a1bbc107c,2015-08-18T19:35:50-07:00
IGNITE-1265,ccaa2b20dab5438603471796b7155f309261a41f,2015-08-18T18:38:36-07:00
IGNITE-1265,013d7075853d4728739f3dfb2647ce6001d723c8,2015-08-18T18:18:43-07:00
IGNITE-1265,574c6793adb96caa614b9c0c540f4812cfc52ee5,2015-08-18T11:11:43-07:00
IGNITE-1265,7a43dde77b47478e6b02bbab9d81ad70a2299c51,2015-08-18T10:35:59-07:00
IGNITE-2594,3779fe46cbeb67a6bef4b29941f1780b9e602011,2016-04-19T06:54:43+03:00
IGNITE-10429,3885f3f16c159c841a9219942156d12968f5f9d6,2018-11-28T00:02:09+03:00
IGNITE-2598,be4546128aa4a507335f1db8d3e88451cc06cefe,2016-02-20T12:01:53+03:00
IGNITE-11757,b87bea845565394dd051a42cc097acd881cff1cf,2019-05-22T13:07:39+03:00
IGNITE-11755,463ab8f63eacb27a08eb3fa638b54f7a226524af,2019-04-17T11:55:28+03:00
IGNITE-10427,27b88d2b4d6efa91906585cc70772bd9c640950b,2018-12-01T00:53:54+03:00
IGNITE-5629,b69f53e0ccf9d3da42a99d4423fb3d8bdd60a7bb,2017-07-04T17:42:31+03:00
IGNITE-5628,5093660d758ad4149d5cd135f3cad3dfee0ae6e4,2017-07-03T17:58:47+03:00
