Bug ID,Bug Fix Commit Hash,Date of Commit
KARAF-6112,7c06e1fb34b82b4452652674ea8e99f928d9c2f5,2019-01-25T17:41:45+01:00
KARAF-6112,9551dc2842f2467b965a6710a0c1ae223b3ccad3,2019-01-25T15:03:32+01:00
KARAF-6116,5db02be5487c7113325eacfb365a7600adfd57c2,2019-01-30T06:16:40+01:00
KARAF-6116,089f77e09e1f6e96135245748361e478203d85a0,2019-01-29T18:37:18-08:00
KARAF-6119,11bda060bfc7fa7dd7893618a407ab87431a24f5,2019-03-11T19:09:00+08:00
KARAF-5255,b3a6d363b6dd47fef897ae52e63518334c6690b5,2017-07-18T13:00:50+02:00
KARAF-562,654f4e5cc9ba661310c0d3ec38a7bc9a862e3608,2011-04-13T15:20:49+00:00
KARAF-5252,da2df0c1b91a088568267b1803d825d3fc4193d4,2017-07-17T11:34:23+02:00
KARAF-568,fb7fe0b4bef3d74a3e0391b8ac0b5b3c4600ccaf,2011-04-13T20:48:50+00:00
KARAF-565,effeef077907fcd1990aa7744abd022abb3b4477,2011-04-16T06:17:25+00:00
KARAF-5250,e4222843c5fa420f54da3f3f1e84d74c78ad9579,2017-07-14T12:16:17+02:00
KARAF-3072,57682f5c06510b8892ca0ee9285e0595011c75b0,2014-07-03T15:19:16+02:00
KARAF-3072,327958774c15f0b4e4dfcdabd8a29cbf8f178996,2014-06-29T21:18:21+02:00
KARAF-65,f1c17118548c62c9f6b99555ba54abf1fd1d0dd9,2010-06-29T13:12:24+00:00
KARAF-6120,e8e02600492efdfae59d53aced3fdfe99e0c0dfb,2019-01-30T06:15:57+01:00
KARAF-6120,6bb884c2cddf4d9d6779e94e509c98bfd77dca52,2019-01-29T14:15:43-08:00
KARAF-6123,2fde3ae44b6cbc613c440a48337c7c5e4ed6d77a,2019-02-01T09:30:07+01:00
KARAF-6123,0385516bb7eeed5424b649bccbb124b6ac3fd879,2019-01-31T20:37:22+01:00
KARAF-6123,7775f336c8a392d508a025786c7bfb536de67839,2019-01-31T16:00:58+01:00
KARAF-6124,4dd5610310c8f2b7478245cd03e33847b9423860,2019-01-30T06:14:54+01:00
KARAF-6124,7f762f27480450ba0e1e2da1abe74ba0117bf6f1,2019-01-29T18:53:25-08:00
KARAF-6125,5f3fdad95f594ffe09b86aee43f61b299e23c77d,2019-02-01T08:59:33+01:00
KARAF-6125,f53e3e636a9bc026d0c1b54dd93e5431bb9f3c1d,2019-01-31T11:22:09-08:00
KARAF-5247,0f2b18176d551619e846282e3faaed6f646b7e51,2017-07-13T14:43:41+08:00
KARAF-5245,9de0cdf8a7b523a4c509b6f7c61290b20c9fd575,2017-08-07T07:22:52+02:00
KARAF-575,b5b8644264ff6f654d3f3ff467983669d243a90d,2011-04-17T21:31:57+00:00
KARAF-3061,9844397f2d124e3def2e8a1232eee8c1dcba1afb,2014-06-20T16:20:05+02:00
KARAF-6130,362d1d4208e6e7e5603cf0f1f016be66f7c6fcf8,2019-02-04T14:55:18+01:00
