Bug ID,Bug Fix Commit Hash,Date of Commit
MNG-4281,480dd49f8d4480a7164955035f6ad3c62f5ae674,2009-08-04T19:05:43+00:00
MNG-4280,a0f1eb39170f8937350b2d83ae24c503432a5260,2009-08-04T10:58:12+00:00
MNG-4275,ae33045c9645a6e5f679a03a2ed3502a68ee50ba,2009-08-06T19:29:18+00:00
MNG-4274,67a2275ac932e94f362463e94fd2ed892d2c6fc8,2009-08-02T14:42:41+00:00
MNG-4273,49e73d3ff615add1634c80bc161b08dc7c5afda9,2009-08-07T15:15:45+00:00
MNG-2098,ed18f8b7c6e37ef3284647e8d1fa896385777f70,2009-09-25T12:14:31+00:00
MNG-4291,16b9331f9244951c07a0157082da4202691abfd5,2009-08-11T14:53:12+00:00
MNG-5131,84f7f7bbb1417256a528b5ab71e2f0b43f0c700a,2011-07-27T10:33:11+00:00
MNG-4283,7de128096848eb34c268bf8ad8372c9e7a02827c,2009-08-05T21:43:24+00:00
MNG-5137,5c79de69e754241b9204f06fb326d9c8063fa2ff,2011-07-27T10:39:37+00:00
MNG-5135,e877a035d76348361f4cae7d9f27c7f591e15f3e,2011-07-27T10:48:35+00:00
MNG-316,06ebdedc0cc8998886e8f5ed00da9febe1f42b2a,2005-04-20T16:46:27+00:00
MNG-790,ffb317c27d1da04bb46dda87971448c803f88bc9,2005-08-27T02:04:14+00:00
MNG-5149,0721322d4ea8132dee8a7392b7ed03910c8e39b7,2011-08-05T09:26:18+00:00
MNG-797,6cf731be0efbee4b6e9c99b521086367db48583a,2005-09-01T21:53:54+00:00
MNG-328,6003f258b3036b7a8d064e41e217919b196c4597,2005-04-20T21:51:25+00:00
MNG-326,85b30cf43da700b82e141c57bf959fa939bf9b10,2005-07-28T06:52:04+00:00
MNG-5155,83c92dcc2126829ea710b2d95d770bf11e03df68,2011-09-04T08:35:22+00:00
MNG-5155,a70bfbd89b238a30c895dce9f47e14d57509ff1b,2011-08-30T14:56:39+00:00
MNG-5155,6262c73a6b3bb9126b6df857991fc7b86f8c4fe5,2011-08-19T13:17:41+00:00
MNG-5153,decce3a1209efcaf6eebbd9b8680c4343e6ccaee,2011-08-11T16:45:55+00:00
MNG-5157,a1d64e71cabb8e6a884321cae794366da3624673,2011-09-27T14:37:20+00:00
MNG-5157,870a3b3e8040a7ee2727480bc0a43121ac99e59c,2011-09-27T14:37:20+00:00
MNG-5157,e49d091bc4ff310dafbf824e7f304abb4517ce64,2011-08-17T11:02:03+00:00
MNG-3391,3f7513307601cd1f0902dd1bb920593a870922ce,2008-03-27T00:47:51+00:00
MNG-3391,78f361ecd41d229f5c2f9924243e2bc136ca8de8,2008-03-14T21:35:41+00:00
MNG-4239,433d4bf3b87da1dc381a873fb7d095a46cecb314,2009-07-14T14:38:57+00:00
MNG-372,3be583ee12274ebda5393cdf65a700c8dc551160,2005-05-10T15:36:39+00:00
MNG-372,26622164f4436d519bbeb796bb419dcacff5e8ec,2005-05-09T11:38:38+00:00
MNG-372,8e6a8fa694231605a5cdf36f13db4c5ae4bdc44a,2005-05-09T00:22:11+00:00
MNG-372,0a7842482f5d1107ce960637fbb4ec9e82d47ca9,2005-05-08T22:50:01+00:00
MNG-4238,0b8b83f6705f8df72b4dbd6cbc58afdb8b6c669c,2009-08-28T17:57:04+00:00
MNG-5568,14e4885de9729c88715b4036a740733c0476e472,2014-11-30T23:26:12+01:00
MNG-6415,7c1e7129b12973769f49cd946236e43f4bd17d51,2018-09-24T19:50:39+02:00
MNG-6410,864d180edf7b66b07e2e3fc08709b5cb1e4f051c,2018-05-20T21:50:17+02:00
MNG-4231,899e37629ba9dc1ce324fb9cfde1db0a12000031,2009-07-31T12:49:40+00:00
MNG-2052,e352f2cb8b504c188754172669534e4bbfff7dd1,2006-03-08T20:30:14+00:00
MNG-2051,967c2533b98da571fb1e9e860196f7f7e7fa07f1,2007-02-28T19:02:06+00:00
MNG-2054,1c23ee16a4d80186a6d4ec77eb6ea3d2d8e09231,2006-03-30T13:54:30+00:00
MNG-2054,5bdc77bd160a304ebae21f57e07a1e5a865c76c3,2006-02-24T23:16:20+00:00
MNG-374,e0b2aea99e0aa5421d17d1c656a915db53fb3096,2005-05-10T15:35:26+00:00
MNG-373,967fa8782064e580110e219024ce0a50e34f683f,2005-05-10T16:14:34+00:00
MNG-86,c894f629707dabc516ca853ea9dde2c34269585a,2004-09-30T08:49:20+00:00
MNG-5572,f6bb98f5843178dc5cd3fef3ee8ee842256c9d47,2014-02-08T19:21:34+01:00
MNG-3392,a20f8ffee8fac9ef635f20ff83a86644f566a698,2008-10-01T16:55:35+00:00
MNG-2061,f785811d575a5e599976b7b61ed84f04e2be004b,2007-09-07T01:42:39+00:00
MNG-4246,fd2ee036359476baf023f111ba41fe87803fb6f8,2009-07-18T12:31:23+00:00
MNG-4245,4363bdecefca0fe48aa407e4de2e0ae1e5ff2436,2009-07-20T16:52:08+00:00
MNG-2068,d0fd1579a98471b1d9d9f7225c6c3874272c102e,2006-02-24T23:30:50+00:00
MNG-5591,ac8e59ac60ea1c8454b9c865f9c3178cbbcac566,2014-02-28T23:54:51-05:00
MNG-5590,3c7744a9a06977a575e073f72a57ca9e32b7dc65,2014-03-23T16:36:01+01:00
MNG-2078,908d6624d47e1b4d1f93d139f7964cd3fdbcb0c2,2006-02-20T23:44:08+00:00
MNG-4269,f770dc82d690fb001cd43b65c9fcbf6397770e6c,2009-07-31T18:11:57+00:00
MNG-5595,fe1cfee6d90f848a2551b0abadb49352452723b8,2014-03-09T12:21:26+01:00
MNG-4262,0cefc4699126032df97d2c8b98cfb845dd5a2e6b,2009-07-28T09:26:51+00:00
MNG-2083,bd540e30b79f47e6415951d93598bb10affc832e,2006-02-21T18:04:22+00:00
MNG-2083,b07d835b9c1bb93eae6abf087515ff9c701d145c,2006-02-21T16:33:52+00:00
MNG-2083,1710fdcfa3099c09b1d0f95b041bd5913322b98c,2006-02-21T06:23:57+00:00
MNG-366,5a0904e9fd0530c9ad08c82576950d96760aada5,2005-07-21T06:54:21+00:00
MNG-366,9d31796e99f1c6693664c8de7c8af8c0c2a1b4e1,2005-06-07T04:41:54+00:00
MNG-5113,f8ca95ef391982f91701a7c152cb2359424fdccb,2011-07-27T10:36:18+00:00
MNG-4266,08bb4081d4e56469700bb114bf846e695ba004b1,2009-07-30T10:17:29+00:00
MNG-2087,33e508a29dd139b0c52eb8399e124b72bc63ee49,2006-02-21T02:11:43+00:00
MNG-5596,c37a20ff6325638830a4b9103e03420dbed0ce8f,2014-03-09T13:15:58+01:00
MNG-2088,fe2d9977bdec0f5006da80812fe493c444b1755b,2006-07-06T19:16:27+00:00
MNG-2935,4005482797f3efdf9d65474eb91dcd246109ffab,2007-09-02T22:48:43+00:00
MNG-2936,a7bd6cc32046c92b6d2617a9e9528c8627d15372,2007-05-20T19:52:03+00:00
MNG-2934,9cb7e9af8c5defadec75bb87abbe888f9ed9401b,2007-06-04T20:28:04+00:00
MNG-6057,51cc76c32625be2f807dcf2ffbeb085984729b57,2017-03-13T22:08:51+01:00
MNG-3807,777bae36e88f09379c20eae17a6f34ee47304d25,2009-10-26T12:58:15+00:00
MNG-1620,ab24e2805cd1e4dfa84dacb89c874d6e6c0d281d,2005-11-19T10:15:21+00:00
MNG-3803,a3461e7fb0bce1e87240766ad13f90950298ca30,2009-02-04T15:33:47+00:00
MNG-397,c7d5e83520949f2577db6ad37e63c27cb10f4ae3,2005-07-16T01:24:13+00:00
MNG-19,676c9b5e74fcf6ae04ac6474ee196ec082488373,2004-08-10T17:59:30+00:00
MNG-6090,51cc76c32625be2f807dcf2ffbeb085984729b57,2017-03-13T22:08:51+01:00
MNG-3819,c501175f791ff0ca4bc5a3cc4ed4905fb6caeed9,2009-10-21T21:24:21+00:00
MNG-1630,5b427cf0768e0f85b36f3b9406c21c8fdf68af2d,2005-12-06T20:50:41+00:00
MNG-2961,06979601c0d890d3d074c6a45e212f5af1e8e6b4,2007-08-14T20:44:16+00:00
