Bug ID,Bug Fix Commit Hash,Date of Commit
MYFACES-2820,3cd89e841f4fed43fbb75a7212a834d9dfb3c2f4,2010-07-14T09:43:39+00:00
MYFACES-2827,6a385c4393dd46d220ddb31256051ff1c4bf5b2f,2010-07-20T08:15:32+00:00
MYFACES-2826,71416b41a775975b2b4a01c9ec5a67baf95d1805,2010-07-19T12:21:18+00:00
MYFACES-2826,191ac012f4332c903ae911df7e288309d21ecaf3,2010-07-19T10:11:11+00:00
MYFACES-2821,3cd89e841f4fed43fbb75a7212a834d9dfb3c2f4,2010-07-14T09:43:39+00:00
MYFACES-2822,a75b33ff2a3bc95606388990dcbe5d73c83a6f0c,2010-07-15T03:10:45+00:00
MYFACES-1975,98a527fc8a792b95aef940570578087ff5742fb4,2009-05-28T04:10:24+00:00
MYFACES-1975,a6b987a511aaed9989c50399e84e68ec405f88ec,2009-05-22T02:07:03+00:00
MYFACES-2830,a9f26f3a159c0e28dbe65ef356c98cc5c4828b02,2010-07-20T21:10:30+00:00
MYFACES-2830,b95985992e1587f76a91e3f4800da8c1dea8cb00,2010-07-20T16:50:23+00:00
MYFACES-2830,e32365becb111a0538c752e9b7ded2fca7a1d947,2010-07-20T11:03:06+00:00
MYFACES-1982,98a527fc8a792b95aef940570578087ff5742fb4,2009-05-28T04:10:24+00:00
MYFACES-1982,e4548a7c60925c02435f467df3e79ede8bbeeb20,2009-05-16T12:26:04+00:00
MYFACES-1982,ed34f69509957b1d861957f4ffccda84bf6d28d8,2009-05-15T20:20:30+00:00
MYFACES-2835,592598f6ffc5c83bc83888f9df65297a73c8cd30,2010-07-22T14:21:46+00:00
MYFACES-2835,5a2799ab0102c677f14f86118a0d06cd4919ac27,2010-07-22T11:56:21+00:00
MYFACES-2832,b33a23edf40114b2c4afa768ee61f560e2d661f3,2010-07-20T19:55:58+00:00
MYFACES-2849,86dda40774762e5206da37f9625d6914bdbcd0c2,2010-07-30T09:44:43+00:00
MYFACES-2847,792a44c2c1a9fd6f87de33826f3fe35432c3b025,2010-07-30T08:36:55+00:00
MYFACES-2845,de92b159de8a6f71c3ec6bc2a7cc3972c9bea5af,2010-07-29T10:50:30+00:00
MYFACES-3709,3de881004f40f87b8417e61ccecd4109329caab9,2013-04-11T23:42:02+00:00
MYFACES-3700,c47953e742ebfdc213b4b337aa02464fb3c5f150,2013-03-01T12:55:04+00:00
MYFACES-1521,d586a9fcfa6d532acb2391616801d2456879485d,2007-01-19T21:45:36+00:00
MYFACES-3708,ff101d4d344ba2e4bd63b7e6c0b42607ffb72345,2013-04-18T02:57:36+00:00
MYFACES-3708,af9e0f64dba9d92f851e41f9428c8935bd307786,2013-04-18T02:57:16+00:00
MYFACES-2859,18874ba51eb5b20f4d8cdf448e56e1fcff9e5c2c,2010-08-05T10:19:56+00:00
MYFACES-3703,609890909593e3f76a6701c7488ebf4be16c5ad2,2013-03-12T02:17:31+00:00
MYFACES-2857,57e05868f4fa11b1d831a7d076d2c7d231d08130,2011-02-05T20:18:09+00:00
MYFACES-2855,3f7d2cb03014f0a294787cd2cfd3f84dd7a1bc6d,2010-08-05T10:11:28+00:00
MYFACES-2855,1c58267ed531f9335ea771b801f60d92b33bbcb2,2010-08-04T09:40:30+00:00
MYFACES-2809,3cd89e841f4fed43fbb75a7212a834d9dfb3c2f4,2010-07-14T09:43:39+00:00
MYFACES-2808,0aa03a2a3452e2c469b02ffbfc17a3bf5769666b,2010-07-12T08:36:57+00:00
MYFACES-2806,c90ecbc450ecee8efdd950c3a69abcc9789c0336,2010-07-10T22:43:31+00:00
MYFACES-2801,f7931c30bafd6cce58e3ab7dc0f3735e99293857,2010-07-10T22:19:20+00:00
MYFACES-1954,7add882ecf911e1a460e4920c70632924d9c49a7,2008-09-02T16:16:31+00:00
MYFACES-1955,c27dba20084ab86840e8f196063cdb4334901f69,2009-10-08T23:05:00+00:00
MYFACES-1955,32b3ebc9d10971635f8014a54b746ecd9b616eaa,2009-07-21T17:10:32+00:00
MYFACES-2800,f6a37ca24eb87ddb31218f56e33a9eed13fa855e,2010-07-09T08:18:57+00:00
MYFACES-2819,3cd89e841f4fed43fbb75a7212a834d9dfb3c2f4,2010-07-14T09:43:39+00:00
MYFACES-1966,a52b28392671640900cbb7b4345cdc70c618e932,2008-09-11T20:22:15+00:00
MYFACES-2810,071f07e265d6755a3b6b758c3fe26cbaf3353679,2010-07-12T12:15:31+00:00
MYFACES-1964,5035245b5c4fe9c52650324956c8e1badb170837,2008-09-13T22:38:43+00:00
MYFACES-4176,87774ea5d03f97d4ad059848513486f891ca4a2c,2017-12-19T17:45:19+00:00
MYFACES-4176,ea8e2659761f1e69431c082b819f2e361b65c78f,2017-12-09T19:09:10+00:00
MYFACES-4175,b5877dcc2f720cbd7d039c70c59fdfbf77e9d587,2018-01-10T09:59:16+00:00
MYFACES-4174,0d314eaab0b5c4b49266f93c2d5187a922f07598,2017-11-19T19:22:29+00:00
MYFACES-4172,bd3c69b123f29b7c2a5e54f4abfa4de8341ca572,2017-11-09T20:48:18+00:00
MYFACES-4169,3cc96cf6b4bfbc4b103acb12ac052ccaf138a900,2017-12-02T21:01:45+00:00
MYFACES-4169,a6668bd46a1d4fd21405cb1eaddf0815caaf93ff,2017-11-17T13:53:58+00:00
MYFACES-4169,5997f3485849d8da0a6a38c2fb795090bab144ae,2017-11-09T18:04:18+00:00
MYFACES-4169,77eea2f8cd24f58372e79f762748b74844eb38d0,2017-11-09T16:50:48+00:00
MYFACES-4169,510c10f11cfedbc5b0a4889cc84e6211a2356b9a,2017-11-09T16:35:42+00:00
MYFACES-4169,059804b5bf71db89aee09a36c505e4a0f8c1a423,2017-11-08T21:20:06+00:00
MYFACES-4169,9370749e5809ce672ebc4e022105f505f524e41c,2017-11-08T21:06:52+00:00
MYFACES-4168,59af62516196449ab49e447aabc627e49ec251a4,2017-10-30T16:54:26+00:00
MYFACES-4187,b881ddb17bbc6886d5845a74a90d16670b984d16,2018-01-11T18:36:09+00:00
MYFACES-4186,7c62354c967d9a193ee65f089a60663fb104aee7,2018-01-12T19:36:09+00:00
MYFACES-4186,e4bbfe8f9a49e3e70c9081676c5eafbadf0b270f,2018-01-12T19:29:38+00:00
MYFACES-4185,b64597be02bee8e9c51045f179fa58c2495a46b1,2018-01-08T15:21:35+00:00
MYFACES-4184,a530ae5b6019233f22c954b4a990c1f6c249cbf8,2017-12-23T11:59:17+00:00
MYFACES-4183,e68fb19a82e132551097b550f893ad126896f570,2018-01-05T14:01:40+00:00
MYFACES-4181,61f77793c83905018a8db4771dc44da3641cb20f,2017-12-15T13:20:48+00:00
MYFACES-4180,1756cd81c177f5fe965cfb9484008d9f0d37b8d9,2018-01-04T18:24:55+00:00
MYFACES-4179,702bda5c0de5fa4e04768cdcbc96f3c5b3d9ee85,2017-12-11T18:36:06+00:00
MYFACES-4178,178d5f7167cd1e912e1bc49dd5bf8c07677508f9,2018-01-27T20:26:53+00:00
MYFACES-4190,a0518d5bb84b94b7def8c7db6d98ad540d800d4c,2018-01-22T16:30:31+00:00
MYFACES-4198,46d45b31ab1456fb553ef47559c1cfb6e2041de2,2018-02-12T14:36:05+00:00
MYFACES-4197,31ab909b4cc768ff4ba1243449ae5457a0765619,2018-02-12T14:51:45+00:00
MYFACES-4197,87c2cb58b370cefe17639db48feef3dcedbd52ad,2018-02-12T14:46:16+00:00
MYFACES-4195,d1deb64a27595aa2c0b3c7c54a6fb3fd8f6f3cbf,2018-01-25T14:16:46+00:00
MYFACES-4194,7d48b3488a543daf43321c3a09726cf6452f819c,2018-01-25T14:01:44+00:00
MYFACES-4193,4bb1656d29e36455c9f0b528151496e16294761b,2018-01-23T16:16:48+00:00
MYFACES-4192,c99e32c76ffdbbfd2fea5664532c77ac1860b6db,2018-01-21T20:22:44+00:00
MYFACES-4191,1c8e9341173269c9189b7d4fe8a0500b0e3155a0,2018-01-19T20:22:14+00:00
MYFACES-4189,5aed44fbcebe3da73bb6dc4d2a263a600526b1fb,2018-10-29T14:51:59+01:00
MYFACES-4188,912308b5a99292c315700411c763fd6f2bac7425,2018-01-16T18:36:39+00:00
MYFACES-4199,79c39694497954572ea5adad882ab30642dcbee4,2018-02-16T14:19:42+00:00
MYFACES-4199,ca52695286e5bd17262364f4c2fa7f685ea27c49,2018-02-16T14:18:31+00:00
MYFACES-4199,ed30ad211f78c4939934451a6adbad67632f32e7,2018-02-16T14:15:27+00:00
MYFACES-4199,52de1a1738c11f028aace01acbda0c8486b8f59c,2018-02-16T14:11:46+00:00
MYFACES-4132,23fbb455ef4757b219d416576a792b0332eb440c,2017-08-08T16:26:57+00:00
MYFACES-3285,79bea5712ba0751dc6261c02541b5e3e2c877ca8,2011-08-18T17:53:46+00:00
MYFACES-4131,94d95df9e346e18833a4e1f442cb3fb18df57477,2017-08-16T16:53:12+00:00
MYFACES-3284,d38c92cf38e27670de34cfed78e3a6a3c50b7f73,2011-08-18T16:56:45+00:00
MYFACES-3284,53f87c5143cce613478cb97d14b6e243b15bff9c,2011-08-18T16:55:54+00:00
MYFACES-4130,69e67a2cd7fd8ca2534c36d8fe553ca2d844caee,2017-08-14T12:10:04+00:00
MYFACES-4130,ec0f735a366e5d6df053a7e57e292ebebafe96f7,2017-08-07T15:08:31+00:00
MYFACES-3281,5842dd73bd1814b353304947787e7efa0b6bf598,2011-08-15T22:34:19+00:00
MYFACES-3281,7b4785c302fd5bd41dc7bd8bb568c9e3923c5dd0,2011-08-15T22:33:50+00:00
MYFACES-3280,a6b261244c9d6b6061006fff19f3becaf0aa7e7c,2011-08-14T18:17:22+00:00
MYFACES-3280,b6ca2877c8e1269e1980582275c6b8fcd4f41dcb,2011-08-14T18:16:01+00:00
MYFACES-4129,84b5c061a438e80691bfeefe1c6d3a10560de910,2017-08-01T18:58:45+00:00
MYFACES-4128,634f5c6077cfadc852e68d974d3f2cc91c750458,2017-07-31T13:24:50+00:00
MYFACES-4128,b510f5231b6fd566af7df5aa29ca29366b8b9c54,2017-07-31T13:20:07+00:00
MYFACES-4127,dc3c090972789c6d67f2e7b1be6ecdca8576856c,2017-09-09T09:17:06+00:00
MYFACES-4127,05dd4d473990c66293bf01874f3a16b9eafb47af,2017-09-09T09:16:46+00:00
MYFACES-4127,17a0d42e88bb185f07af06a977ca8bb3b0e50131,2017-09-09T09:05:18+00:00
MYFACES-4127,665d59c0e251278c04d909834ca30ba9d1131468,2017-09-09T08:50:20+00:00
MYFACES-4127,23f9fd3354eb85c895cdbd9b0b5576ad7ced16e6,2017-09-08T23:09:36+00:00
MYFACES-4127,c79a100698947edc3c535ba58bfae17091cfde8a,2017-09-08T23:02:32+00:00
MYFACES-4127,d102dfa9893a344b8a460c999b9e673a662a1f5c,2017-09-08T23:02:07+00:00
MYFACES-4127,14b38f3d16ac52323f6cb07c1bb2feb09ed28afe,2017-09-08T22:55:58+00:00
MYFACES-4127,c7e982da75be457811b17dbc995a49e7ec96b833,2017-09-05T17:47:54+00:00
MYFACES-4127,c12bf84b9311c445c5f5409bc7dfb2795a11409a,2017-09-05T17:45:03+00:00
MYFACES-4126,97ed507d2a2aee3b537192aa77b8b7323ea36fe8,2017-07-25T19:26:10+00:00
MYFACES-3279,bf7a67c0ff8bc4662d9ef843a0af51a32483fc17,2011-08-14T18:10:45+00:00
MYFACES-3279,8ca7577a303023568d121f718eba1e4b434b3cc3,2011-08-14T18:10:30+00:00
MYFACES-4125,3667dbb735233a9b326f470745c0d6e0fab60837,2017-08-22T18:51:35+00:00
MYFACES-4125,e5adfbaada9a5b735494ff57f47c924ba2a17562,2017-08-22T18:48:26+00:00
MYFACES-3278,71fe3c6f64d98586b359437ff3ca8edbc5bf0a46,2011-08-14T01:08:15+00:00
MYFACES-3278,29a1bff9b8ad53cb49e34ce4a708e6e499d5c9e9,2011-08-14T01:07:39+00:00
MYFACES-4124,ae9ad44b79dffa09a48d047967255675e29d987d,2017-07-17T08:40:58+00:00
MYFACES-3277,a0815f520e58a077c2e04c28c6a79eec538eb6a4,2011-08-14T00:40:15+00:00
MYFACES-3277,6d139a74f6fb60b7307b8d03c506c9be747c3b9c,2011-08-14T00:39:56+00:00
MYFACES-3276,afeac367c024b88d5ccdbc9e84df8d14358825d6,2011-08-13T22:17:43+00:00
MYFACES-4122,9096a0b0be4a84f2661d416ff3d4043398ca59f5,2017-10-10T11:53:54+00:00
MYFACES-4122,9dca34e9d8e74e0ff04444ad3709db0163da3836,2017-10-10T11:46:39+00:00
MYFACES-3275,7f1ed3eadd10b6334afc02a5113281c9d5ecf20d,2011-08-13T22:14:11+00:00
MYFACES-4142,241bfe2785ee001a340ea4537f1518d91dc68288,2017-08-24T15:05:06+00:00
MYFACES-4141,fedb973ffd1b4edf4a7da710e65c58d8533d6d7c,2018-01-08T14:28:05+00:00
MYFACES-4141,731e40cdb4ce5d336192b705c070e3c0f8175305,2018-01-05T13:41:34+00:00
MYFACES-3294,95f327ed2e00672817f348e198cb0b292af15f53,2011-08-29T18:38:33+00:00
MYFACES-3294,0489a10e0a9b907bec1c97dabda5d5020021efda,2011-08-29T18:38:17+00:00
MYFACES-4136,2bacd2c57abb83be8fc20979950b77124bf2ad8e,2017-08-22T16:53:17+00:00
MYFACES-3289,9f375a2ca126099a38002cee0b27254789fe3f39,2011-08-19T19:07:19+00:00
MYFACES-3289,8cd5ba86345b85d362e35d572bfdc9b645a06d26,2011-08-19T19:07:00+00:00
MYFACES-3288,7559eebddefcab2620dc00d04bbe02ecc66614b1,2011-08-19T17:43:00+00:00
MYFACES-3288,a14f69512d44a616a5e11d5647f4d5b4d51d0b75,2011-08-19T17:42:42+00:00
MYFACES-3287,5faac8d823db58720507f310ae650928437ade25,2011-08-19T17:47:55+00:00
MYFACES-3287,517b7da33cbbfad89070defada6fa162e61fcf33,2011-08-19T17:47:27+00:00
MYFACES-3286,fa97104380f67c444dc462bb86d1862936b4599f,2011-08-19T17:12:35+00:00
MYFACES-3286,aca24976f0b9574753dad7d6e68d6e0e3174b9bc,2011-08-19T17:11:45+00:00
MYFACES-4151,ad97b9bb18dbbd219d27d9626274fd8b2df33fde,2017-09-09T08:21:39+00:00
MYFACES-4149,811cfda8012ac680c2c55512d31c31acc3bc52cd,2017-09-12T15:45:45+00:00
MYFACES-3298,72ad6a8b96e4efebbdbb2dada16568434e0b0afd,2011-09-02T20:01:01+00:00
MYFACES-3298,7ab56005a110a51e1248effda19544e6e79fc1a8,2011-09-02T20:00:11+00:00
MYFACES-4165,853d6b759a8d276e1eaf27c708ac8bdd16b64473,2017-10-24T06:54:12+00:00
MYFACES-4164,bd9d8aa2e89501307fa3f37c50ac1ce21a560a94,2017-10-27T21:05:13+00:00
MYFACES-4164,32cfeec7d05a192c6c82791696d8c71dc0ab0c4f,2017-10-27T21:00:05+00:00
MYFACES-4163,605399b88ed7cf03885d3d1a162bf8b676ce6ea4,2017-10-16T07:16:42+00:00
MYFACES-4163,042aa8811ebae1b1aff94b832d79ec93174f109a,2017-10-13T11:43:01+00:00
MYFACES-4163,bedaade91416fd823b8c378d6e8e2db5be97950d,2017-10-13T11:23:53+00:00
MYFACES-4163,b4d9a85ec64699bbb9617d23d00b2f4f3d70861d,2017-10-13T08:40:43+00:00
MYFACES-4160,3cc96cf6b4bfbc4b103acb12ac052ccaf138a900,2017-12-02T21:01:45+00:00
MYFACES-4160,2602a9735573869c6d1fa631a2a3aa8c93e63d15,2017-12-02T20:28:45+00:00
MYFACES-4160,d9615478e0789dd0be85794e91af7a8c61aed43c,2017-10-10T09:55:31+00:00
MYFACES-4159,e22d3b6cbe359534bcded89b086558dece16db36,2017-09-28T00:47:29+00:00
MYFACES-4158,06e418f1e68772c0847482ee2a86f64c6b50022f,2017-09-23T01:18:41+00:00
MYFACES-4155,3f0eb1e593d7b2ec822930a95d68f0cf25b534a4,2017-09-24T19:54:38+00:00
MYFACES-4155,77d5145be223f764b3c8aeae3340f111709e3af0,2017-09-24T19:25:29+00:00
MYFACES-2393,1a0a191d684aa99233e2e1818d9f4235d9d0dce0,2009-10-30T15:53:55+00:00
MYFACES-2394,e3f80c25895ff68e6daa91e08837c9fb7a49d94d,2009-10-30T18:47:34+00:00
MYFACES-2391,457a1bfa81dccb7057566c2c33b5f9b57de0784a,2009-10-28T15:50:16+00:00
MYFACES-2390,49f63f5813877f34b2b1622ee24edb512c1da841,2009-10-28T15:47:09+00:00
MYFACES-3234,03f4b8ad66c160e8a778da711d53a9deda726dd7,2011-07-21T00:21:29+00:00
MYFACES-3234,c8e13d6e9dca306b978a1e9085a4afc4af592ee2,2011-07-21T00:21:13+00:00
MYFACES-2386,e5708f97c603511d2d5ffb0aa09aad3bfe5976ca,2009-10-25T10:35:05+00:00
MYFACES-3233,6a4ef755f4144399f6003aa0dfab68abe170ad7f,2015-04-03T20:14:46+00:00
MYFACES-3233,4c8e1b2e298dcb7fcef4366555d645acf498d7cc,2015-04-03T20:03:31+00:00
MYFACES-2387,fff38f00ad250844b086d8d1117b3ff96432c5da,2009-10-22T22:46:10+00:00
MYFACES-2384,cfaed6f843f74a9c724b8b74b9fbe7525e098f3a,2009-10-21T14:46:35+00:00
MYFACES-3249,9c5115f5fff31182a206a89f55b95e5a743024d1,2011-07-28T02:46:48+00:00
MYFACES-3249,51f3e442c7c3c58bf9cec385c2e38acf676df0e1,2011-07-28T02:45:59+00:00
MYFACES-3248,af5a4d7d689489df4d99f92b1864a463c212243f,2011-07-28T01:44:09+00:00
MYFACES-3248,857e14a95beccdbe6f7241e79db193bfc5c05075,2011-07-28T01:43:40+00:00
MYFACES-3246,355b500f486b653dfdd9883c97eb0c8b7b469f2c,2011-07-28T18:03:32+00:00
MYFACES-3246,f4e864ba0d5d6ab25d34924e7bc1657a7bb9ad24,2011-07-28T18:03:20+00:00
MYFACES-2398,26f7c7f58a02a42971ee964caf0ee40cb30a945b,2009-11-18T15:18:41+00:00
MYFACES-2395,b3c3c4aab5ec461be29fc55269328f4a581d86f7,2011-06-17T19:12:55+00:00
MYFACES-2395,f2eba9acfe81bc2f7057d7100f85683899b1d096,2011-06-17T19:11:54+00:00
MYFACES-2396,0feb010173399b9cb74cea1f6545ed46a433a723,2009-12-05T04:30:22+00:00
MYFACES-2396,0a480ca812c460062b43ec02b9831ff59b3d5a82,2009-11-24T20:55:28+00:00
MYFACES-2396,5f67c75ac3da3a15612e0a0a63771655b7538360,2009-11-24T01:24:37+00:00
MYFACES-1085,9eb837c7c59ddab4349195dda82a30effdef1160,2006-02-02T05:48:24+00:00
MYFACES-3261,1feaa0735337fbc3a1bb694db9549c26428460be,2011-08-05T09:21:30+00:00
