2.0.0,karaf-2.0.0
2.1.0,karaf-2.1.0
2.1.1,karaf-2.1.1
2.1.2,karaf-2.1.2
2.1.3,karaf-2.1.3
2.1.4,karaf-2.1.4
2.2.0,karaf-2.2.0
2.1.5,karaf-2.1.5
2.2.1,karaf-2.2.1
2.2.2,karaf-2.2.2
cellar-2.2.1,XXX
2.1.6,karaf-2.1.6
cellar-2.2.2,XXX
2.2.3,karaf-2.2.3
2.2.4,karaf-2.2.4
2.2.5,karaf-2.2.5
cellar-2.2.3,XXX
2.2.6,karaf-2.2.6
2.2.7,karaf-2.2.7
cellar-2.2.4,XXX
2.2.8,karaf-2.2.8
2.2.9,karaf-2.2.9
2.3.0,karaf-2.3.0
cellar-2.2.5,XXX
2.2.10,karaf-2.2.10
eik-0.9.0,XXX
2.3.1,karaf-2.3.1
3.0.0.RC1,karaf-3.0.0.RC1
2.2.11,karaf-2.2.11
cellar-2.2.6,XXX
cellar-2.3.1,XXX
2.3.2,karaf-2.3.2
2.3.3,karaf-2.3.3
cellar-2.3.2,XXX
3.0.0,karaf-3.0.0
cave-2.3.0,XXX
2.3.4,karaf-2.3.4
2.3.5,karaf-2.3.5
cellar-3.0.0,XXX
cave-3.0.0,XXX
2.3.6,karaf-2.3.6
2.3.7,karaf-2.3.7
2.3.8,karaf-2.3.8
2.4.0,karaf-2.4.0
3.0.2,karaf-3.0.2
4.0.0.M1,karaf-4.0.0.M1
2.3.9,karaf-2.3.9
cellar-2.3.3,XXX
2.4.1,karaf-2.4.1
cellar-2.3.4,XXX
3.0.3,karaf-3.0.3
2.3.10,karaf-2.3.10
4.0.0.M2,karaf-4.0.0.M2
cellar-2.3.5,XXX
2.3.11,karaf-2.3.11
2.4.2,karaf-2.4.2
cellar-2.3.6,XXX
4.0.0.M3,karaf-4.0.0.M3
4.0.0,karaf-4.0.0
3.0.4,karaf-3.0.4
cave-4.0.0,XXX
2.4.3,karaf-2.4.3
decanter-1.0.0,XXX
4.0.1,karaf-4.0.1
cellar-4.0.0,XXX
3.0.5,karaf-3.0.5
4.0.2,karaf-4.0.2
4.0.3,karaf-4.0.3
decanter-1.0.1,XXX
4.0.4,karaf-4.0.4
2.4.4,karaf-2.4.4
3.0.6,karaf-3.0.6
4.0.5,karaf-4.0.5
decanter-1.1.0,XXX
3.0.7,karaf-3.0.7
cellar-4.0.1,XXX
3.0.8,karaf-3.0.8
decanter-1.2.0,XXX
4.0.6,karaf-4.0.6
cellar-4.0.2,XXX
4.0.7,karaf-4.0.7
cellar-4.0.3,XXX
decanter-1.3.0,XXX
4.0.8,karaf-4.0.8
4.1.0,karaf-4.1.0
4.1.1,karaf-4.1.1
4.0.9,karaf-4.0.9
cellar-4.1.0,XXX
decanter-1.4.0,XXX
4.1.2,karaf-4.1.2
4.0.10,karaf-4.0.10
cellar-4.1.1,XXX
4.1.3,karaf-4.1.3
4.2.0.M1,karaf-4.2.0.M1
4.1.4,karaf-4.1.4
4.2.0.M2,karaf-4.2.0.M2
decanter-2.0.0,XXX
4.1.5,karaf-4.1.5
3.0.9,karaf-3.0.9
4.2.0,karaf-4.2.0
4.1.6,karaf-4.1.6
4.2.1,karaf-4.2.1
cave-4.1.1,XXX
decanter-2.1.0,XXX
cellar-4.1.2,XXX
4.1.7,karaf-4.1.7
4.2.2,karaf-4.2.2
cave-4.1.2,XXX
4.2.3,karaf-4.2.3
cellar-4.1.3,XXX
4.2.4,karaf-4.2.4
decanter-2.2.0,XXX
4.2.5,karaf-4.2.5
4.2.6,karaf-4.2.6
4.2.7,karaf-4.2.7
