1.2.2,wicket-1.2.2
1.2.3,wicket-1.2.3
1.2.4,wicket-1.2.4
1.2.5,wicket-1.2.5
1.2.6,wicket-1.2.6
1.3.0-beta1,XXX
1.3.0-beta2,wicket-1.3.0-beta2
1.3.0-beta3,wicket-1.3.0-beta3
1.3.0-beta4,wicket-1.3.0-beta4
1.3.0-rc1,wicket-1.3.0-rc1
1.3.0-rc2,wicket-1.3.0-rc2
1.3.0-final,XXX
1.3.1,wicket-1.3.1
1.3.2,wicket-1.3.2
1.2.7,wicket-1.2.7
1.3.3,wicket-1.3.3
1.4-M1,wicket-1.4-m1
1.4-M2,wicket-1.4-m2
1.3.4,wicket-1.3.4
1.4-M3,wicket-1.4-m3
1.3.5,wicket-1.3.5
1.4-RC1,wicket-1.4-rc1
1.4-RC2,wicket-1.4-rc2
1.3.6,wicket-1.3.6
1.4-RC4,wicket-1.4-rc4
1.4-RC5,wicket-1.4-rc5
1.4-RC6,XXX
1.4-RC7,XXX
1.4.0,wicket-1.4.0
1.4.1,XXX
1.4.2,wicket-1.4.2
1.4.3,wicket-1.4.3
1.4.4,wicket-1.4.4
1.4.5,wicket-1.4.5
1.4.6,wicket-1.4.6
1.4.7,wicket-1.4.7
1.4.8,wicket-1.4.8
1.4.9,wicket-1.4.9
1.4.10,wicket-1.4.10
1.5-M1,wicket-1.5-M1
1.4.11,wicket-1.4.11
1.5-M2.1,wicket-1.5-M2.1
1.4.13,wicket-1.4.13
1.5-M3,wicket-1.5-M3
1.4.14,wicket-1.4.14
1.4.15,wicket-1.4.15
1.5-RC1,wicket-1.5-RC1
1.5-RC2,wicket-1.5-RC2
1.5-RC3,wicket-1.5-RC3
1.5-RC4,wicket-1.5-RC4
1.5-RC5,wicket-1.5-RC5
1.5-RC5.1,XXX
1.4.18,wicket-1.4.18
1.5-RC6,wicket-1.5-RC6
1.5-RC7,wicket-1.5-RC7
1.5.0,wicket-1.5.0
1.5.1,wicket-1.5.1
1.4.19,wicket-1.4.19
1.5.2,wicket-1.5.2
1.5.3,wicket-1.5.3
1.5.4,wicket-1.5.4
1.5.5,wicket-1.5.5
6.0.0-beta1,release/wicket-6.0.0-beta1
1.5.6,release/wicket-1.5.6
6.0.0-beta2,wicket-6.0.0-beta2
6.0.0-beta3,wicket-6.0.0-beta3
1.5.8,release/wicket.1.5.8
6.0.0,wicket-6.0.0
1.4.21,release/wicket-1.4.21
6.1.0,wicket-6.1.0
6.1.1,wicket-6.1.1
6.2.0,wicket-6.2.0
1.5.9,release/wicket-1.5.9
6.3.0,wicket-6.3.0
6.4.0,wicket-6.4.0
6.5.0,wicket-6.5.0
6.6.0,wicket-6.6.0
1.5.10,release/wicket-1.5.10
1.4.22,XXX
6.7.0,wicket-6.7.0
6.8.0,wicket-6.8.0
6.9.0,wicket-6.9.0
6.9.1,wicket-6.9.1
6.10.0,wicket-6.10.0
6.11.0,wicket-6.11.0
6.12.0,wicket-6.12.0
6.13.0,wicket-6.13.0
1.5.11,wicket-1.5.11
1.4.23,wicket-1.4.23
6.14.0,wicket-6.14.0
6.15.0,wicket-6.15.0
7.0.0-M1,wicket-7.0.0-M1
7.0.0-M2,wicket-7.0.0-M2
1.5.12,wicket-1.5.12
6.17.0,wicket-6.17.0
7.0.0-M4,wicket-7.0.0-M4
6.19.0,wicket-6.19.0
1.5.13,wicket-1.5.13
6.20.0,wicket-6.20.0
7.0.0-M6,wicket-7.0.0-M6
7.0.0,rel/wicket-7.0.0
1.5.14,XXX
7.1.0,rel/wicket-7.1.0
6.21.0,wicket-6.21.0
7.2.0,rel/wicket-7.2.0
1.5.15,XXX
6.23.0,rel/wicket-6.23.0
1.5.16,XXX
8.0.0-M1,rel/wicket-8.0.0-M1
6.24.0,rel/wicket-6.24.0
7.5.0,rel/wicket-7.5.0
6.26.0,rel/wicket-6.26.0
8.0.0-M4,rel/wicket-8.0.0-M4
8.0.0-M5,rel/wicket-8.0.0-M5
7.7.0,rel/wicket-7.7.0
8.0.0-M6,rel/wicket-8.0.0-M6
6.27.0,rel/wicket-6.27.0
7.8.0,rel/wicket-7.8.0
8.0.0-M7,rel/wicket-8.0.0-M7
7.9.0,rel/wicket-7.9.0
6.28.0,rel/wicket-6.28.0
8.0.0-M8,rel/wicket-8.0.0-M8
7.10.0,rel/wicket-7.10.0
8.0.0-M9,rel/wicket-8.0.0-M9
6.29.0,rel/wicket-6.29.0
8.0.0,rel/wicket-8.0.0
8.1.0,rel/wicket-8.1.0
8.2.0,rel/wicket-8.2.0
7.11.0,rel/wicket-7.11.0
6.30.0,rel/wicket-6.30.0
8.3.0,rel/wicket-8.3.0
7.12.0,rel/wicket-7.12.0
8.4.0,rel/wicket-8.4.0
7.13.0,rel/wicket-7.13.0
9.0.0-M1,rel/wicket-9.0.0-M1
7.14.0,rel/wicket-7.14.0
9.0.0-M2,rel/wicket-9.0.0-M2
7.15.0,rel/wicket-7.15.0
9.0.0-M3,rel/wicket-9.0.0-M3
