('2.2.4', 'jackrabbit-standalone/src/main/java/org/apache/jackrabbit/standalone/cli/JcrParser.java', 'JCR-2922', 'c42566ee10361e7697c15eeea9259a46a215826c')
('2.2.2', 'jackrabbit-standalone/src/main/java/org/apache/jackrabbit/standalone/cli/JcrParser.java', 'JCR-2922', 'c42566ee10361e7697c15eeea9259a46a215826c')
('2.2.1', 'jackrabbit-standalone/src/main/java/org/apache/jackrabbit/standalone/cli/JcrParser.java', 'JCR-2922', 'c42566ee10361e7697c15eeea9259a46a215826c')
('2.2.0', 'jackrabbit-standalone/src/main/java/org/apache/jackrabbit/standalone/cli/JcrParser.java', 'JCR-2922', 'c42566ee10361e7697c15eeea9259a46a215826c')
('2.1.3', 'jackrabbit-standalone/src/main/java/org/apache/jackrabbit/standalone/cli/JcrParser.java', 'JCR-2922', 'c42566ee10361e7697c15eeea9259a46a215826c')
('2.1.2', 'jackrabbit-standalone/src/main/java/org/apache/jackrabbit/standalone/cli/JcrParser.java', 'JCR-2922', 'c42566ee10361e7697c15eeea9259a46a215826c')
('2.1.1', 'jackrabbit-standalone/src/main/java/org/apache/jackrabbit/standalone/cli/JcrParser.java', 'JCR-2922', 'c42566ee10361e7697c15eeea9259a46a215826c')
('2.1.0', 'jackrabbit-standalone/src/main/java/org/apache/jackrabbit/standalone/cli/JcrParser.java', 'JCR-2922', 'c42566ee10361e7697c15eeea9259a46a215826c')
('2.2.4', 'jackrabbit-spi2dav/src/main/java/org/apache/jackrabbit/spi2dav/URIResolverImpl.java', 'JCR-2921', 'e0b314175fe651dc934189566ac0ec0b6fb55390')
('2.2.2', 'jackrabbit-spi2dav/src/main/java/org/apache/jackrabbit/spi2dav/URIResolverImpl.java', 'JCR-2921', 'e0b314175fe651dc934189566ac0ec0b6fb55390')
('2.2.1', 'jackrabbit-spi2dav/src/main/java/org/apache/jackrabbit/spi2dav/URIResolverImpl.java', 'JCR-2921', 'e0b314175fe651dc934189566ac0ec0b6fb55390')
('2.2.0', 'jackrabbit-spi2dav/src/main/java/org/apache/jackrabbit/spi2dav/URIResolverImpl.java', 'JCR-2921', 'e0b314175fe651dc934189566ac0ec0b6fb55390')
('2.2.4', 'jackrabbit-spi2dav/src/main/java/org/apache/jackrabbit/spi2dav/RepositoryServiceImpl.java', 'JCR-2920', '788cc469d199d1af2bb1b7f8e7c81bb132cbc264')
('2.2.2', 'jackrabbit-spi2dav/src/main/java/org/apache/jackrabbit/spi2dav/RepositoryServiceImpl.java', 'JCR-2920', '788cc469d199d1af2bb1b7f8e7c81bb132cbc264')
('2.2.1', 'jackrabbit-spi2dav/src/main/java/org/apache/jackrabbit/spi2dav/RepositoryServiceImpl.java', 'JCR-2920', '788cc469d199d1af2bb1b7f8e7c81bb132cbc264')
('2.2.0', 'jackrabbit-spi2dav/src/main/java/org/apache/jackrabbit/spi2dav/RepositoryServiceImpl.java', 'JCR-2920', '788cc469d199d1af2bb1b7f8e7c81bb132cbc264')
('jackrabbit-core-1.4.6', 'jackrabbit-text-extractors/src/main/java/org/apache/jackrabbit/extractor/XMLTextExtractor.java', 'JCR-1830', 'c9d06782942e0444d611a04f21f27425cda4e463')
('2.2.7', 'jackrabbit-core/src/main/java/org/apache/jackrabbit/core/security/authentication/token/TokenBasedAuthentication.java', 'JCR-2919', 'bdadb45460e28837f87a6ad074ce05c13efe165d')
('2.2.5', 'jackrabbit-core/src/main/java/org/apache/jackrabbit/core/security/authentication/DefaultLoginModule.java', 'JCR-2919', '33d7aa0ed8efca2890b74003c9254d8fb076be19')
('2.2.5', 'jackrabbit-core/src/main/java/org/apache/jackrabbit/core/security/authentication/token/TokenBasedAuthentication.java', 'JCR-2919', '33d7aa0ed8efca2890b74003c9254d8fb076be19')
('2.2.4', 'jackrabbit-core/src/main/java/org/apache/jackrabbit/core/security/authentication/DefaultLoginModule.java', 'JCR-2919', '33d7aa0ed8efca2890b74003c9254d8fb076be19')
('2.2.2', 'jackrabbit-core/src/main/java/org/apache/jackrabbit/core/security/authentication/DefaultLoginModule.java', 'JCR-2919', '33d7aa0ed8efca2890b74003c9254d8fb076be19')
('2.2.1', 'jackrabbit-core/src/main/java/org/apache/jackrabbit/core/security/authentication/DefaultLoginModule.java', 'JCR-2919', '33d7aa0ed8efca2890b74003c9254d8fb076be19')
('2.2.0', 'jackrabbit-core/src/main/java/org/apache/jackrabbit/core/security/authentication/DefaultLoginModule.java', 'JCR-2919', '33d7aa0ed8efca2890b74003c9254d8fb076be19')
('jackrabbit-core-1.4.6', 'jackrabbit-text-extractors/src/main/java/org/apache/jackrabbit/extractor/PlainTextExtractor.java', 'JCR-1829', '6af6575877383a3b662147c09f96541066e5ac9a')
('2.2.5', 'jackrabbit-core/src/main/java/org/apache/jackrabbit/core/query/lucene/NodeIndexer.java', 'JCR-2917', '58237e9b5dc810d50d672592b610d4d99850256d')
('2.2.4', 'jackrabbit-core/src/main/java/org/apache/jackrabbit/core/query/lucene/NodeIndexer.java', 'JCR-2917', '58237e9b5dc810d50d672592b610d4d99850256d')
('2.2.2', 'jackrabbit-core/src/main/java/org/apache/jackrabbit/core/query/lucene/NodeIndexer.java', 'JCR-2917', '58237e9b5dc810d50d672592b610d4d99850256d')
('2.2.1', 'jackrabbit-core/src/main/java/org/apache/jackrabbit/core/query/lucene/NodeIndexer.java', 'JCR-2917', '58237e9b5dc810d50d672592b610d4d99850256d')
('2.2.0', 'jackrabbit-core/src/main/java/org/apache/jackrabbit/core/query/lucene/NodeIndexer.java', 'JCR-2917', '58237e9b5dc810d50d672592b610d4d99850256d')
('2.2.5', 'jackrabbit-core/src/main/java/org/apache/jackrabbit/core/query/lucene/join/ConstraintSplitInfo.java', 'JCR-2933', '7f795f15a59a95d5ed92fdd7266839797c07ffea')
