('2_0_1', 'api/src/main/java/javax/faces/validator/BeanValidator.java', 'MYFACES-2827', '6a385c4393dd46d220ddb31256051ff1c4bf5b2f')
('2_0_1', 'impl/src/main/java/org/apache/myfaces/view/facelets/el/CompositeComponentELUtils.java', 'MYFACES-2826', '71416b41a775975b2b4a01c9ec5a67baf95d1805')
('2_0_1', 'impl/src/main/java/org/apache/myfaces/view/facelets/tag/TagAttributeImpl.java', 'MYFACES-2826', '191ac012f4332c903ae911df7e288309d21ecaf3')
('2_0_1', 'impl/src/main/java/org/apache/myfaces/view/facelets/el/CompositeComponentELUtils.java', 'MYFACES-2826', '191ac012f4332c903ae911df7e288309d21ecaf3')
('1_2_9', 'impl/src/main/java/org/apache/myfaces/webapp/AbstractFacesInitializer.java', 'MYFACES-2822', 'a75b33ff2a3bc95606388990dcbe5d73c83a6f0c')
('1_2_8', 'impl/src/main/java/org/apache/myfaces/webapp/AbstractFacesInitializer.java', 'MYFACES-2822', 'a75b33ff2a3bc95606388990dcbe5d73c83a6f0c')
('1_2_6', 'impl/src/main/java/org/apache/myfaces/application/ApplicationFactoryImpl.java', 'MYFACES-1975', '98a527fc8a792b95aef940570578087ff5742fb4')
('1_2_6', 'api/src/main/java/javax/faces/webapp/FacesServlet.java', 'MYFACES-1975', '98a527fc8a792b95aef940570578087ff5742fb4')
('1_2_6', 'impl/src/main/java/org/apache/myfaces/config/ManagedBeanBuilder.java', 'MYFACES-1975', '98a527fc8a792b95aef940570578087ff5742fb4')
('1_2_6', 'impl/src/main/java/org/apache/myfaces/webapp/Jsp20FacesInitializer.java', 'MYFACES-1975', '98a527fc8a792b95aef940570578087ff5742fb4')
('1_2_6', 'impl/src/main/java/org/apache/myfaces/config/annotation/NoAnnotationLifecyleProvider.java', 'MYFACES-1975', '98a527fc8a792b95aef940570578087ff5742fb4')
('1_2_6', 'api/src/main/java/javax/faces/application/Application.java', 'MYFACES-1975', '98a527fc8a792b95aef940570578087ff5742fb4')
('1_2_6', 'impl/src/main/java/org/apache/myfaces/config/annotation/TomcatAnnotationLifecycleProvider.java', 'MYFACES-1975', '98a527fc8a792b95aef940570578087ff5742fb4')
('1_2_6', 'impl/src/main/java/org/apache/myfaces/config/FacesConfigurator.java', 'MYFACES-1975', '98a527fc8a792b95aef940570578087ff5742fb4')
