('1.3.1', 'pdfbox/src/main/java/org/apache/pdfbox/cos/COSName.java', 'PDFBOX-907', 'd41cbf92b2b6c994405628920470744bdb8e9661')
('1.3.1', 'pdfbox/src/main/java/org/apache/pdfbox/pdmodel/encryption/PDEncryptionDictionary.java', 'PDFBOX-907', 'd41cbf92b2b6c994405628920470744bdb8e9661')
('1.3.1', 'pdfbox/src/main/java/org/apache/pdfbox/pdmodel/encryption/SecurityHandler.java', 'PDFBOX-907', 'd41cbf92b2b6c994405628920470744bdb8e9661')
('1.3.1', 'pdfbox/src/main/java/org/apache/pdfbox/pdmodel/encryption/StandardSecurityHandler.java', 'PDFBOX-907', 'd41cbf92b2b6c994405628920470744bdb8e9661')
('1.2.1', 'pdfbox/src/main/java/org/apache/pdfbox/pdmodel/encryption/PDEncryptionDictionary.java', 'PDFBOX-907', 'd41cbf92b2b6c994405628920470744bdb8e9661')
('1.2.1', 'pdfbox/src/main/java/org/apache/pdfbox/pdmodel/encryption/StandardSecurityHandler.java', 'PDFBOX-907', 'd41cbf92b2b6c994405628920470744bdb8e9661')
('1.2.0', 'pdfbox/src/main/java/org/apache/pdfbox/pdmodel/encryption/PDEncryptionDictionary.java', 'PDFBOX-907', 'd41cbf92b2b6c994405628920470744bdb8e9661')
('1.2.0', 'pdfbox/src/main/java/org/apache/pdfbox/pdmodel/encryption/StandardSecurityHandler.java', 'PDFBOX-907', 'd41cbf92b2b6c994405628920470744bdb8e9661')
('1.1.0', 'pdfbox/src/main/java/org/apache/pdfbox/pdmodel/encryption/StandardSecurityHandler.java', 'PDFBOX-907', 'd41cbf92b2b6c994405628920470744bdb8e9661')
('1.8.5', 'pdfbox/src/main/java/org/apache/pdfbox/pdfparser/NonSequentialPDFParser.java', 'PDFBOX-908', 'b288eea75a7f3845c6aa89a859b9719beae0eb1b')
('1.8.5', 'pdfbox/src/main/java/org/apache/pdfbox/pdfparser/BaseParser.java', 'PDFBOX-908', '953a4386f07bd7f95f1fd1ee43f10e41051f9bf5')
('0.8.0-incubating', 'src/main/java/org/apache/pdfbox/pdmodel/interactive/form/PDRadioCollection.java', 'PDFBOX-50', '7edb7c64c13740b3019435b47ecddaee60acc8e0')
('1.3.1', 'pdfbox/src/main/java/org/apache/pdfbox/pdmodel/interactive/annotation/PDAnnotation.java', 'PDFBOX-902', 'fb9ab33a4943741ad165de2036128946d17e58b2')
('1.2.1', 'pdfbox/src/main/java/org/apache/pdfbox/pdmodel/interactive/annotation/PDAnnotation.java', 'PDFBOX-902', 'fb9ab33a4943741ad165de2036128946d17e58b2')
('1.2.0', 'pdfbox/src/main/java/org/apache/pdfbox/pdmodel/interactive/annotation/PDAnnotation.java', 'PDFBOX-902', 'fb9ab33a4943741ad165de2036128946d17e58b2')
('1.1.0', 'pdfbox/src/main/java/org/apache/pdfbox/pdmodel/interactive/annotation/PDAnnotation.java', 'PDFBOX-902', 'fb9ab33a4943741ad165de2036128946d17e58b2')
('1.3.1', 'pdfbox/src/main/java/org/apache/pdfbox/pdmodel/common/PDPageLabels.java', 'PDFBOX-900', 'b93c13c466251364a4fee9ac39896789f324e9a6')
('2.0.5', 'pdfbox/src/main/java/org/apache/pdfbox/pdfparser/PDFStreamParser.java', 'PDFBOX-3742', '6e85770f18370a89b822d98e0cfe7979ff78e0ee')
('1.8.7', 'pdfbox/src/main/java/org/apache/pdfbox/pdfparser/NonSequentialPDFParser.java', 'PDFBOX-2411', '7945016ba07d2b6cb73a66f83d86f068b8c0bb42')
('1.8.9', 'xmpbox/src/main/java/org/apache/xmpbox/xml/XmpSerializer.java', 'PDFBOX-2896', '50cbd48877f3f75ed651cf720b28181cd173bfcd')
('1.8.8', 'xmpbox/src/main/java/org/apache/xmpbox/xml/XmpSerializer.java', 'PDFBOX-2896', '50cbd48877f3f75ed651cf720b28181cd173bfcd')
('1.8.7', 'xmpbox/src/main/java/org/apache/xmpbox/xml/XmpSerializer.java', 'PDFBOX-2896', '50cbd48877f3f75ed651cf720b28181cd173bfcd')
('1.8.6', 'xmpbox/src/main/java/org/apache/xmpbox/xml/XmpSerializer.java', 'PDFBOX-2896', '50cbd48877f3f75ed651cf720b28181cd173bfcd')
('1.8.5', 'xmpbox/src/main/java/org/apache/xmpbox/xml/XmpSerializer.java', 'PDFBOX-2896', '50cbd48877f3f75ed651cf720b28181cd173bfcd')
('1.8.4', 'xmpbox/src/main/java/org/apache/xmpbox/xml/XmpSerializer.java', 'PDFBOX-2896', '50cbd48877f3f75ed651cf720b28181cd173bfcd')
('1.8.3', 'xmpbox/src/main/java/org/apache/xmpbox/xml/XmpSerializer.java', 'PDFBOX-2896', '50cbd48877f3f75ed651cf720b28181cd173bfcd')
('1.8.2', 'xmpbox/src/main/java/org/apache/xmpbox/xml/XmpSerializer.java', 'PDFBOX-2896', '50cbd48877f3f75ed651cf720b28181cd173bfcd')
('1.8.1', 'xmpbox/src/main/java/org/apache/xmpbox/xml/XmpSerializer.java', 'PDFBOX-2896', '50cbd48877f3f75ed651cf720b28181cd173bfcd')
('1.8.0', 'xmpbox/src/main/java/org/apache/xmpbox/xml/XmpSerializer.java', 'PDFBOX-2896', '50cbd48877f3f75ed651cf720b28181cd173bfcd')
('1.8.9', 'xmpbox/src/main/java/org/apache/xmpbox/schema/XMPSchema.java', 'PDFBOX-2896', 'e6a40ae0a87a872e8f12ecfc68c39aee14da272e')
('1.8.8', 'xmpbox/src/main/java/org/apache/xmpbox/schema/XMPSchema.java', 'PDFBOX-2896', 'e6a40ae0a87a872e8f12ecfc68c39aee14da272e')
('1.8.7', 'xmpbox/src/main/java/org/apache/xmpbox/schema/XMPSchema.java', 'PDFBOX-2896', 'e6a40ae0a87a872e8f12ecfc68c39aee14da272e')
('1.8.6', 'xmpbox/src/main/java/org/apache/xmpbox/schema/XMPSchema.java', 'PDFBOX-2896', 'e6a40ae0a87a872e8f12ecfc68c39aee14da272e')
('1.8.5', 'xmpbox/src/main/java/org/apache/xmpbox/schema/XMPSchema.java', 'PDFBOX-2896', 'e6a40ae0a87a872e8f12ecfc68c39aee14da272e')
('1.8.4', 'xmpbox/src/main/java/org/apache/xmpbox/schema/XMPSchema.java', 'PDFBOX-2896', 'e6a40ae0a87a872e8f12ecfc68c39aee14da272e')
('1.8.9', 'xmpbox/src/main/java/org/apache/xmpbox/xml/XmpSerializer.java', 'PDFBOX-2896', '27d9387f3cae9312eb238c0f64930b9915917a06')
('1.8.8', 'xmpbox/src/main/java/org/apache/xmpbox/xml/XmpSerializer.java', 'PDFBOX-2896', '27d9387f3cae9312eb238c0f64930b9915917a06')
('1.8.7', 'xmpbox/src/main/java/org/apache/xmpbox/xml/XmpSerializer.java', 'PDFBOX-2896', '27d9387f3cae9312eb238c0f64930b9915917a06')
('1.8.6', 'xmpbox/src/main/java/org/apache/xmpbox/xml/XmpSerializer.java', 'PDFBOX-2896', '27d9387f3cae9312eb238c0f64930b9915917a06')
('1.8.5', 'xmpbox/src/main/java/org/apache/xmpbox/xml/XmpSerializer.java', 'PDFBOX-2896', '27d9387f3cae9312eb238c0f64930b9915917a06')
('1.8.4', 'xmpbox/src/main/java/org/apache/xmpbox/xml/XmpSerializer.java', 'PDFBOX-2896', '27d9387f3cae9312eb238c0f64930b9915917a06')
('1.8.3', 'xmpbox/src/main/java/org/apache/xmpbox/xml/XmpSerializer.java', 'PDFBOX-2896', '27d9387f3cae9312eb238c0f64930b9915917a06')
('1.8.2', 'xmpbox/src/main/java/org/apache/xmpbox/xml/XmpSerializer.java', 'PDFBOX-2896', '27d9387f3cae9312eb238c0f64930b9915917a06')
('1.8.1', 'xmpbox/src/main/java/org/apache/xmpbox/xml/XmpSerializer.java', 'PDFBOX-2896', '27d9387f3cae9312eb238c0f64930b9915917a06')
('1.8.0', 'xmpbox/src/main/java/org/apache/xmpbox/xml/XmpSerializer.java', 'PDFBOX-2896', '27d9387f3cae9312eb238c0f64930b9915917a06')
('2.0.5', 'pdfbox/src/main/java/org/apache/pdfbox/pdmodel/font/PDTrueTypeFont.java', 'PDFBOX-3740', '4962b1f023c2bc7f2ce3ade7a016208ab5678250')
('2.0.5', 'pdfbox/src/main/java/org/apache/pdfbox/pdmodel/font/PDType1Font.java', 'PDFBOX-3740', '4962b1f023c2bc7f2ce3ade7a016208ab5678250')
('2.0.5', 'pdfbox/src/main/java/org/apache/pdfbox/pdmodel/font/PDType1CFont.java', 'PDFBOX-3740', '4962b1f023c2bc7f2ce3ade7a016208ab5678250')
('2.0.4', 'pdfbox/src/main/java/org/apache/pdfbox/pdmodel/font/PDType1CFont.java', 'PDFBOX-3740', '4962b1f023c2bc7f2ce3ade7a016208ab5678250')
('2.0.3', 'pdfbox/src/main/java/org/apache/pdfbox/pdmodel/font/PDType1CFont.java', 'PDFBOX-3740', '4962b1f023c2bc7f2ce3ade7a016208ab5678250')
('2.0.5', 'preflight/src/main/java/org/apache/pdfbox/preflight/content/PreflightStreamEngine.java', 'PDFBOX-3741', '7df2e256dc9676be65b3cc8d46dcf31a3b525b5a')
('2.0.5', 'preflight/src/main/java/org/apache/pdfbox/preflight/content/PreflightContentStream.java', 'PDFBOX-3741', '7df2e256dc9676be65b3cc8d46dcf31a3b525b5a')
('2.0.4', 'preflight/src/main/java/org/apache/pdfbox/preflight/content/PreflightStreamEngine.java', 'PDFBOX-3741', '7df2e256dc9676be65b3cc8d46dcf31a3b525b5a')
('2.0.4', 'preflight/src/main/java/org/apache/pdfbox/preflight/content/PreflightContentStream.java', 'PDFBOX-3741', '7df2e256dc9676be65b3cc8d46dcf31a3b525b5a')
('1.8.1', 'pdfbox/src/main/java/org/apache/pdfbox/pdfparser/PDFStreamParser.java', 'PDFBOX-1561', '6afd14937260f9ee49da901e03bd7b5f3a1e8972')
('1.8.0', 'pdfbox/src/main/java/org/apache/pdfbox/pdfparser/PDFStreamParser.java', 'PDFBOX-1561', '6afd14937260f9ee49da901e03bd7b5f3a1e8972')
('1.8.7', 'pdfbox/src/main/java/org/apache/pdfbox/pdmodel/fdf/FDFField.java', 'PDFBOX-2419', 'f8831dfe7be348caafb2961e5a2ccdf0b0d0e543')
('1.8.6', 'pdfbox/src/main/java/org/apache/pdfbox/pdmodel/fdf/FDFField.java', 'PDFBOX-2419', 'f8831dfe7be348caafb2961e5a2ccdf0b0d0e543')
('1.8.5', 'pdfbox/src/main/java/org/apache/pdfbox/pdmodel/fdf/FDFField.java', 'PDFBOX-2419', 'f8831dfe7be348caafb2961e5a2ccdf0b0d0e543')
('1.8.4', 'pdfbox/src/main/java/org/apache/pdfbox/pdmodel/fdf/FDFField.java', 'PDFBOX-2419', 'f8831dfe7be348caafb2961e5a2ccdf0b0d0e543')
('1.8.3', 'pdfbox/src/main/java/org/apache/pdfbox/pdmodel/fdf/FDFField.java', 'PDFBOX-2419', 'f8831dfe7be348caafb2961e5a2ccdf0b0d0e543')
('1.8.2', 'pdfbox/src/main/java/org/apache/pdfbox/pdmodel/fdf/FDFField.java', 'PDFBOX-2419', 'f8831dfe7be348caafb2961e5a2ccdf0b0d0e543')
('1.8.1', 'pdfbox/src/main/java/org/apache/pdfbox/pdmodel/fdf/FDFField.java', 'PDFBOX-2419', 'f8831dfe7be348caafb2961e5a2ccdf0b0d0e543')
