//,Simple,PC,PI,PM,SZZ_U,SZZ_B,SZZ_RA,PC+,PI+,PM+,SZZ_U+,SZZ_B+,SZZ_RA+
CAMEL,0.9881422924901185,0.996078431372549,0.996078431372549,0.996078431372549,0.996078431372549,0.996078431372549,0.996078431372549,0.996078431372549,0.996078431372549,0.996078431372549,0.996078431372549,0.996078431372549,0.996078431372549
CXF,0.9932885906040269,0.9932885906040269,0.9932885906040269,0.9932885906040269,0.9932885906040269,0.9932885906040269,0.9932885906040269,0.9932885906040269,0.9932885906040269,0.9932885906040269,0.9932885906040269,0.9932885906040269,0.9932885906040269
IGNITE,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871
JCR,0.9344729344729344,0.9696969696969697,0.9973190348525469,0.9973190348525469,0.9973190348525469,0.9973190348525469,0.9973190348525469,0.9696969696969697,0.9973190348525469,0.9973190348525469,0.9973190348525469,0.9973190348525469,0.9973190348525469
KARAF,0.953020134228188,0.9870129870129869,0.9935483870967742,0.9935483870967742,0.9935483870967742,0.9935483870967742,0.9935483870967742,0.9870129870129869,0.9935483870967742,0.9935483870967742,0.9935483870967742,0.9935483870967742,0.9935483870967742
MNG,0.9850746268656716,0.9850746268656716,0.9850746268656716,0.9850746268656716,0.9850746268656716,0.9850746268656716,0.9850746268656716,0.9850746268656716,0.9850746268656716,0.9850746268656716,0.9850746268656716,0.9850746268656716,0.9850746268656716
MYFACES,0.9491525423728813,0.991869918699187,0.991869918699187,0.991869918699187,0.991869918699187,0.991869918699187,0.991869918699187,0.991869918699187,0.991869918699187,0.991869918699187,0.991869918699187,0.991869918699187,0.991869918699187
OPENMEETINGS,0.7894736842105263,0.9545454545454545,0.9545454545454545,0.9777777777777777,0.9777777777777777,0.9777777777777777,0.9777777777777777,0.9545454545454545,0.9545454545454545,0.9777777777777777,0.9777777777777777,0.9777777777777777,0.9777777777777777
PDFBOX,0.9879518072289156,0.9879518072289156,0.9879518072289156,0.9879518072289156,0.9879518072289156,0.9879518072289156,0.9879518072289156,0.9879518072289156,0.9879518072289156,0.9879518072289156,0.9879518072289156,0.9879518072289156,0.9879518072289156
WICKET,0.9942857142857142,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
