 ,Proportion_ColdStart,Proportion_ColdStart+,Proportion_Increment,Proportion_Increment+,Proportion_MovingWindow,Proportion_MovingWindow+,SZZ_B,SZZ_B+,SZZ_RA,SZZ_RA+,SZZ_U,SZZ_U+,Simple
Proportion_ColdStart,1.0,1.0,0.7872105843439912,0.7872105843439912,0.652044779529358,0.652044779529358,0.2258177060619276,0.22825992150021807,0.2170838299562972,0.2170838299562972,0.2178339073861462,0.2178339073861462,0.2654774396642183
Proportion_ColdStart+,1.0,1.0,0.7872105843439912,0.7872105843439912,0.652044779529358,0.652044779529358,0.2258177060619276,0.22825992150021807,0.2170838299562972,0.2170838299562972,0.2178339073861462,0.2178339073861462,0.2654774396642183
Proportion_Increment,0.7872105843439912,0.7872105843439912,1.0,1.0,0.7886378886155223,0.7886378886155223,0.2810095946062754,0.2834298556487164,0.27470872632162957,0.27470872632162957,0.2761707988980716,0.2761707988980716,0.2093793103448276
Proportion_Increment+,0.7872105843439912,0.7872105843439912,1.0,1.0,0.7886378886155223,0.7886378886155223,0.2810095946062754,0.2834298556487164,0.27470872632162957,0.27470872632162957,0.2761707988980716,0.2761707988980716,0.2093793103448276
Proportion_MovingWindow,0.652044779529358,0.652044779529358,0.7886378886155223,0.7886378886155223,1.0,1.0,0.33748603831944324,0.33989174327691385,0.3305399636334888,0.3305399636334888,0.33353742537884584,0.33353742537884584,0.17360475754803292
Proportion_MovingWindow+,0.652044779529358,0.652044779529358,0.7886378886155223,0.7886378886155223,1.0,1.0,0.33748603831944324,0.33989174327691385,0.3305399636334888,0.3305399636334888,0.33353742537884584,0.33353742537884584,0.17360475754803292
SZZ_B,0.2258177060619276,0.2258177060619276,0.2810095946062754,0.2810095946062754,0.33748603831944324,0.33748603831944324,1.0,0.9975051234072886,0.8729115527753583,0.8729115527753583,0.8461245622049642,0.8461245622049642,0.06513409961685823
SZZ_B+,0.22825992150021807,0.22825992150021807,0.2834298556487164,0.2834298556487164,0.33989174327691385,0.33989174327691385,0.9975051234072886,1.0,0.8737933217281215,0.8737933217281215,0.8482564336835694,0.8482564336835694,0.06762897620956963
SZZ_RA,0.2170838299562972,0.2170838299562972,0.27470872632162957,0.27470872632162957,0.3305399636334888,0.3305399636334888,0.8729115527753583,0.8737933217281215,1.0,1.0,0.9241212852617288,0.9241212852617288,0.05998877215494426
SZZ_RA+,0.2170838299562972,0.2170838299562972,0.27470872632162957,0.27470872632162957,0.3305399636334888,0.3305399636334888,0.8729115527753583,0.8737933217281215,1.0,1.0,0.9241212852617288,0.9241212852617288,0.05998877215494426
SZZ_U,0.2178339073861462,0.2178339073861462,0.2761707988980716,0.2761707988980716,0.33353742537884584,0.33353742537884584,0.8461245622049642,0.8482564336835694,0.9241212852617288,0.9241212852617288,1.0,1.0,0.05815200735519461
SZZ_U+,0.2178339073861462,0.2178339073861462,0.2761707988980716,0.2761707988980716,0.33353742537884584,0.33353742537884584,0.8461245622049642,0.8482564336835694,0.9241212852617288,0.9241212852617288,1.0,1.0,0.05815200735519461
Simple,0.2654774396642183,0.2654774396642183,0.2093793103448276,0.2093793103448276,0.17360475754803292,0.17360475754803292,0.06513409961685823,0.06762897620956963,0.05998877215494426,0.05998877215494426,0.05815200735519461,0.05815200735519461,1.0
