 ,Proportion_ColdStart,Proportion_ColdStart+,Proportion_Increment,Proportion_Increment+,Proportion_MovingWindow,Proportion_MovingWindow+,SZZ_B,SZZ_B+,SZZ_RA,SZZ_RA+,SZZ_U,SZZ_U+,Simple
Proportion_ColdStart,1.0,1.0,0.9560253699788583,0.9560253699788583,0.8245871559633028,0.8245871559633028,0.2882895280033026,0.29228017063437456,0.2882859033752482,0.2882859033752482,0.28645767229343827,0.28645767229343827,0.29929266136162685
Proportion_ColdStart+,1.0,1.0,0.9560253699788583,0.9560253699788583,0.8245871559633028,0.8245871559633028,0.2882895280033026,0.29228017063437456,0.2882859033752482,0.2882859033752482,0.28645767229343827,0.28645767229343827,0.29929266136162685
Proportion_Increment,0.9560253699788583,0.9560253699788583,1.0,1.0,0.8518248175182481,0.8518248175182481,0.3007146783947224,0.30470038482682793,0.3019592268996558,0.3019592268996558,0.29940347759868,0.29940347759868,0.28637901861252113
Proportion_Increment+,0.9560253699788583,0.9560253699788583,1.0,1.0,0.8518248175182481,0.8518248175182481,0.3007146783947224,0.30470038482682793,0.3019592268996558,0.3019592268996558,0.29940347759868,0.29940347759868,0.28637901861252113
Proportion_MovingWindow,0.8245871559633028,0.8245871559633028,0.8518248175182481,0.8518248175182481,1.0,1.0,0.34328358208955223,0.34725455292345614,0.34526955602536996,0.34526955602536996,0.34331767990861783,0.34331767990861783,0.24981549815498155
Proportion_MovingWindow+,0.8245871559633028,0.8245871559633028,0.8518248175182481,0.8518248175182481,1.0,1.0,0.34328358208955223,0.34725455292345614,0.34526955602536996,0.34526955602536996,0.34331767990861783,0.34331767990861783,0.24981549815498155
SZZ_B,0.2882895280033026,0.2882895280033026,0.3007146783947224,0.3007146783947224,0.34328358208955223,0.34328358208955223,1.0,0.9959321082900827,0.9235643564356436,0.9235643564356436,0.9017018034036068,0.9017018034036068,0.09089633889746107
SZZ_B+,0.29228017063437456,0.29228017063437456,0.30470038482682793,0.30470038482682793,0.34725455292345614,0.34725455292345614,0.9959321082900827,1.0,0.9256132946452124,0.9256132946452124,0.9053848107696215,0.9053848107696215,0.09496423060737831
SZZ_RA,0.2882859033752482,0.2882859033752482,0.3019592268996558,0.3019592268996558,0.34526955602536996,0.34526955602536996,0.9235643564356436,0.9256132946452124,1.0,1.0,0.9387239418825016,0.9387239418825016,0.08857715430861723
SZZ_RA+,0.2882859033752482,0.2882859033752482,0.3019592268996558,0.3019592268996558,0.34526955602536996,0.34526955602536996,0.9235643564356436,0.9256132946452124,1.0,1.0,0.9387239418825016,0.9387239418825016,0.08857715430861723
SZZ_U,0.28645767229343827,0.28645767229343827,0.29940347759868,0.29940347759868,0.34331767990861783,0.34331767990861783,0.9017018034036068,0.9053848107696215,0.9387239418825016,0.9387239418825016,1.0,1.0,0.08597917195834391
SZZ_U+,0.28645767229343827,0.28645767229343827,0.29940347759868,0.29940347759868,0.34331767990861783,0.34331767990861783,0.9017018034036068,0.9053848107696215,0.9387239418825016,0.9387239418825016,1.0,1.0,0.08597917195834391
Simple,0.29929266136162685,0.29929266136162685,0.28637901861252113,0.28637901861252113,0.24981549815498155,0.24981549815498155,0.09089633889746107,0.09496423060737831,0.08857715430861723,0.08857715430861723,0.08597917195834391,0.08597917195834391,1.0
