 ,Proportion_ColdStart,Proportion_ColdStart+,Proportion_Increment,Proportion_Increment+,Proportion_MovingWindow,Proportion_MovingWindow+,SZZ_B,SZZ_B+,SZZ_RA,SZZ_RA+,SZZ_U,SZZ_U+,Simple
Proportion_ColdStart,1.0,1.0,1.0,1.0,0.8312342569269522,0.8312342569269522,0.447178002894356,0.45875542691751087,0.44508670520231214,0.44508670520231214,0.44906166219839144,0.44906166219839144,0.41492537313432837
Proportion_ColdStart+,1.0,1.0,1.0,1.0,0.8312342569269522,0.8312342569269522,0.447178002894356,0.45875542691751087,0.44508670520231214,0.44508670520231214,0.44906166219839144,0.44906166219839144,0.41492537313432837
Proportion_Increment,1.0,1.0,1.0,1.0,0.8312342569269522,0.8312342569269522,0.447178002894356,0.45875542691751087,0.44508670520231214,0.44508670520231214,0.44906166219839144,0.44906166219839144,0.41492537313432837
Proportion_Increment+,1.0,1.0,1.0,1.0,0.8312342569269522,0.8312342569269522,0.447178002894356,0.45875542691751087,0.44508670520231214,0.44508670520231214,0.44906166219839144,0.44906166219839144,0.41492537313432837
Proportion_MovingWindow,0.8312342569269522,0.8312342569269522,0.8312342569269522,0.8312342569269522,1.0,1.0,0.520863309352518,0.5323741007194245,0.5186781609195402,0.5186781609195402,0.5254691689008043,0.5254691689008043,0.35459183673469385
Proportion_MovingWindow+,0.8312342569269522,0.8312342569269522,0.8312342569269522,0.8312342569269522,1.0,1.0,0.520863309352518,0.5323741007194245,0.5186781609195402,0.5186781609195402,0.5254691689008043,0.5254691689008043,0.35459183673469385
SZZ_B,0.447178002894356,0.447178002894356,0.447178002894356,0.447178002894356,0.520863309352518,0.520863309352518,1.0,0.9881129271916791,0.9136690647482014,0.9136690647482014,0.8914209115281502,0.8914209115281502,0.19465081723625557
SZZ_B+,0.45875542691751087,0.45875542691751087,0.45875542691751087,0.45875542691751087,0.5323741007194245,0.5323741007194245,0.9881129271916791,1.0,0.9087018544935807,0.9087018544935807,0.9021447721179625,0.9021447721179625,0.2065378900445765
SZZ_RA,0.44508670520231214,0.44508670520231214,0.44508670520231214,0.44508670520231214,0.5186781609195402,0.5186781609195402,0.9136690647482014,0.9087018544935807,1.0,1.0,0.8914209115281502,0.8914209115281502,0.1893491124260355
SZZ_RA+,0.44508670520231214,0.44508670520231214,0.44508670520231214,0.44508670520231214,0.5186781609195402,0.5186781609195402,0.9136690647482014,0.9087018544935807,1.0,1.0,0.8914209115281502,0.8914209115281502,0.1893491124260355
SZZ_U,0.44906166219839144,0.44906166219839144,0.44906166219839144,0.44906166219839144,0.5254691689008043,0.5254691689008043,0.8914209115281502,0.9021447721179625,0.8914209115281502,0.8914209115281502,1.0,1.0,0.1863270777479893
SZZ_U+,0.44906166219839144,0.44906166219839144,0.44906166219839144,0.44906166219839144,0.5254691689008043,0.5254691689008043,0.8914209115281502,0.9021447721179625,0.8914209115281502,0.8914209115281502,1.0,1.0,0.1863270777479893
Simple,0.41492537313432837,0.41492537313432837,0.41492537313432837,0.41492537313432837,0.35459183673469385,0.35459183673469385,0.19465081723625557,0.2065378900445765,0.1893491124260355,0.1893491124260355,0.1863270777479893,0.1863270777479893,1.0
