 ,Proportion_ColdStart,Proportion_ColdStart+,Proportion_Increment,Proportion_Increment+,Proportion_MovingWindow,Proportion_MovingWindow+,SZZ_B,SZZ_B+,SZZ_RA,SZZ_RA+,SZZ_U,SZZ_U+,Simple
Proportion_ColdStart,1.0,1.0,0.9935275080906149,0.9935275080906149,0.8256756756756757,0.8256756756756757,0.2865979381443299,0.2963917525773196,0.2773359840954274,0.2773359840954274,0.3020469296055916,0.3020469296055916,0.2928802588996764
Proportion_ColdStart+,1.0,1.0,0.9935275080906149,0.9935275080906149,0.8256756756756757,0.8256756756756757,0.2865979381443299,0.2963917525773196,0.2773359840954274,0.2773359840954274,0.3020469296055916,0.3020469296055916,0.2928802588996764
Proportion_Increment,0.9935275080906149,0.9935275080906149,1.0,1.0,0.8227334235453315,0.8227334235453315,0.28652555498193083,0.2963345379452762,0.2772523643603783,0.2772523643603783,0.30004992511233153,0.30004992511233153,0.2947882736156352
Proportion_Increment+,0.9935275080906149,0.9935275080906149,1.0,1.0,0.8227334235453315,0.8227334235453315,0.28652555498193083,0.2963345379452762,0.2772523643603783,0.2772523643603783,0.30004992511233153,0.30004992511233153,0.2947882736156352
Proportion_MovingWindow,0.8256756756756757,0.8256756756756757,0.8227334235453315,0.8227334235453315,1.0,1.0,0.33691756272401435,0.3466461853558628,0.3292079207920792,0.3292079207920792,0.3560756972111554,0.3560756972111554,0.24693042291950887
Proportion_MovingWindow+,0.8256756756756757,0.8256756756756757,0.8227334235453315,0.8227334235453315,1.0,1.0,0.33691756272401435,0.3466461853558628,0.3292079207920792,0.3292079207920792,0.3560756972111554,0.3560756972111554,0.24693042291950887
SZZ_B,0.2865979381443299,0.2865979381443299,0.28652555498193083,0.28652555498193083,0.33691756272401435,0.33691756272401435,1.0,0.9899841855561413,0.9372787051087507,0.9372787051087507,0.9186507936507936,0.9186507936507936,0.08539799683711123
SZZ_B+,0.2963917525773196,0.2963917525773196,0.2963345379452762,0.2963345379452762,0.3466461853558628,0.3466461853558628,0.9899841855561413,1.0,0.9302908726178536,0.9302908726178536,0.9280753968253969,0.9280753968253969,0.09541381128096996
SZZ_RA,0.2773359840954274,0.2773359840954274,0.2772523643603783,0.2772523643603783,0.3292079207920792,0.3292079207920792,0.9372787051087507,0.9302908726178536,1.0,1.0,0.8906474820143885,0.8906474820143885,0.08109477952356817
SZZ_RA+,0.2773359840954274,0.2773359840954274,0.2772523643603783,0.2772523643603783,0.3292079207920792,0.3292079207920792,0.9372787051087507,0.9302908726178536,1.0,1.0,0.8906474820143885,0.8906474820143885,0.08109477952356817
SZZ_U,0.3020469296055916,0.3020469296055916,0.30004992511233153,0.30004992511233153,0.3560756972111554,0.3560756972111554,0.9186507936507936,0.9280753968253969,0.8906474820143885,0.8906474820143885,1.0,1.0,0.09095477386934674
SZZ_U+,0.3020469296055916,0.3020469296055916,0.30004992511233153,0.30004992511233153,0.3560756972111554,0.3560756972111554,0.9186507936507936,0.9280753968253969,0.8906474820143885,0.8906474820143885,1.0,1.0,0.09095477386934674
Simple,0.2928802588996764,0.2928802588996764,0.2947882736156352,0.2947882736156352,0.24693042291950887,0.24693042291950887,0.08539799683711123,0.09541381128096996,0.08109477952356817,0.08109477952356817,0.09095477386934674,0.09095477386934674,1.0
