 ,Proportion_ColdStart,Proportion_ColdStart+,Proportion_Increment,Proportion_Increment+,Proportion_MovingWindow,Proportion_MovingWindow+,SZZ_B,SZZ_B+,SZZ_RA,SZZ_RA+,SZZ_U,SZZ_U+,Simple
Proportion_ColdStart,1.0,1.0,1.0,1.0,0.9470588235294117,0.9470588235294117,0.42686567164179107,0.43283582089552236,0.43283582089552236,0.43283582089552236,0.4404432132963989,0.4404432132963989,0.14285714285714285
Proportion_ColdStart+,1.0,1.0,1.0,1.0,0.9470588235294117,0.9470588235294117,0.42686567164179107,0.43283582089552236,0.43283582089552236,0.43283582089552236,0.4404432132963989,0.4404432132963989,0.14285714285714285
Proportion_Increment,1.0,1.0,1.0,1.0,0.9470588235294117,0.9470588235294117,0.42686567164179107,0.43283582089552236,0.43283582089552236,0.43283582089552236,0.4404432132963989,0.4404432132963989,0.14285714285714285
Proportion_Increment+,1.0,1.0,1.0,1.0,0.9470588235294117,0.9470588235294117,0.42686567164179107,0.43283582089552236,0.43283582089552236,0.43283582089552236,0.4404432132963989,0.4404432132963989,0.14285714285714285
Proportion_MovingWindow,0.9470588235294117,0.9470588235294117,0.9470588235294117,0.9470588235294117,1.0,1.0,0.4494047619047619,0.45535714285714285,0.45103857566765576,0.45103857566765576,0.46537396121883656,0.46537396121883656,0.13529411764705881
Proportion_MovingWindow+,0.9470588235294117,0.9470588235294117,0.9470588235294117,0.9470588235294117,1.0,1.0,0.4494047619047619,0.45535714285714285,0.45103857566765576,0.45103857566765576,0.46537396121883656,0.46537396121883656,0.13529411764705881
SZZ_B,0.42686567164179107,0.42686567164179107,0.42686567164179107,0.42686567164179107,0.4494047619047619,0.4494047619047619,1.0,0.9937304075235109,0.950920245398773,0.950920245398773,0.883008356545961,0.883008356545961,0.06583072100313479
SZZ_B+,0.43283582089552236,0.43283582089552236,0.43283582089552236,0.43283582089552236,0.45535714285714285,0.45535714285714285,0.9937304075235109,1.0,0.9510703363914373,0.9510703363914373,0.8885793871866295,0.8885793871866295,0.07210031347962383
SZZ_RA,0.43283582089552236,0.43283582089552236,0.43283582089552236,0.43283582089552236,0.45103857566765576,0.45103857566765576,0.950920245398773,0.9510703363914373,1.0,1.0,0.8833333333333333,0.8833333333333333,0.06875
SZZ_RA+,0.43283582089552236,0.43283582089552236,0.43283582089552236,0.43283582089552236,0.45103857566765576,0.45103857566765576,0.950920245398773,0.9510703363914373,1.0,1.0,0.8833333333333333,0.8833333333333333,0.06875
SZZ_U,0.4404432132963989,0.4404432132963989,0.4404432132963989,0.4404432132963989,0.46537396121883656,0.46537396121883656,0.883008356545961,0.8885793871866295,0.8833333333333333,0.8833333333333333,1.0,1.0,0.06406685236768803
SZZ_U+,0.4404432132963989,0.4404432132963989,0.4404432132963989,0.4404432132963989,0.46537396121883656,0.46537396121883656,0.883008356545961,0.8885793871866295,0.8833333333333333,0.8833333333333333,1.0,1.0,0.06406685236768803
Simple,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.13529411764705881,0.13529411764705881,0.06583072100313479,0.07210031347962383,0.06875,0.06875,0.06406685236768803,0.06406685236768803,1.0
