 ,Proportion_ColdStart,Proportion_ColdStart+,Proportion_Increment,Proportion_Increment+,Proportion_MovingWindow,Proportion_MovingWindow+,SZZ_B,SZZ_B+,SZZ_RA,SZZ_RA+,SZZ_U,SZZ_U+,Simple
Proportion_ColdStart,1.0,1.0,0.9623115577889447,0.9623115577889447,0.8771121351766513,0.8771121351766513,0.3472931562819203,0.36806264896152535,0.34574818721160183,0.34574818721160183,0.3518079430942502,0.3518079430942502,0.3132328308207705
Proportion_ColdStart+,1.0,1.0,0.9623115577889447,0.9623115577889447,0.8771121351766513,0.8771121351766513,0.3472931562819203,0.36806264896152535,0.34574818721160183,0.34574818721160183,0.3518079430942502,0.3518079430942502,0.3132328308207705
Proportion_Increment,0.9623115577889447,0.9623115577889447,1.0,1.0,0.8815686274509804,0.8815686274509804,0.3378932968536252,0.3587551299589603,0.33708609271523177,0.33708609271523177,0.3384706579727327,0.3384706579727327,0.32550043516100957
Proportion_Increment+,0.9623115577889447,0.9623115577889447,1.0,1.0,0.8815686274509804,0.8815686274509804,0.3378932968536252,0.3587551299589603,0.33708609271523177,0.33708609271523177,0.3384706579727327,0.3384706579727327,0.32550043516100957
Proportion_MovingWindow,0.8771121351766513,0.8771121351766513,0.8815686274509804,0.8815686274509804,1.0,1.0,0.36636023152877084,0.3871297242083759,0.3655559221379083,0.3655559221379083,0.368,0.368,0.2992
Proportion_MovingWindow+,0.8771121351766513,0.8771121351766513,0.8815686274509804,0.8815686274509804,1.0,1.0,0.36636023152877084,0.3871297242083759,0.3655559221379083,0.3655559221379083,0.368,0.368,0.2992
SZZ_B,0.3472931562819203,0.3472931562819203,0.3378932968536252,0.3378932968536252,0.36636023152877084,0.36636023152877084,1.0,0.978399433427762,0.9094594594594595,0.9094594594594595,0.8206118206118206,0.8206118206118206,0.1108356940509915
SZZ_B+,0.36806264896152535,0.36806264896152535,0.3587551299589603,0.3587551299589603,0.3871297242083759,0.3871297242083759,0.978399433427762,1.0,0.9075125208681135,0.9075125208681135,0.8387288387288387,0.8387288387288387,0.13243626062322947
SZZ_RA,0.34574818721160183,0.34574818721160183,0.33708609271523177,0.33708609271523177,0.3655559221379083,0.3655559221379083,0.9094594594594595,0.9075125208681135,1.0,1.0,0.8427098674521355,0.8427098674521355,0.11099761661559414
SZZ_RA+,0.34574818721160183,0.34574818721160183,0.33708609271523177,0.33708609271523177,0.3655559221379083,0.3655559221379083,0.9094594594594595,0.9075125208681135,1.0,1.0,0.8427098674521355,0.8427098674521355,0.11099761661559414
SZZ_U,0.3518079430942502,0.3518079430942502,0.3384706579727327,0.3384706579727327,0.368,0.368,0.8206118206118206,0.8387288387288387,0.8427098674521355,0.8427098674521355,1.0,1.0,0.11107811107811108
SZZ_U+,0.3518079430942502,0.3518079430942502,0.3384706579727327,0.3384706579727327,0.368,0.368,0.8206118206118206,0.8387288387288387,0.8427098674521355,0.8427098674521355,1.0,1.0,0.11107811107811108
Simple,0.3132328308207705,0.3132328308207705,0.32550043516100957,0.32550043516100957,0.2992,0.2992,0.1108356940509915,0.13243626062322947,0.11099761661559414,0.11099761661559414,0.11107811107811108,0.11107811107811108,1.0
