 ,Proportion_ColdStart,Proportion_ColdStart+,Proportion_Increment,Proportion_Increment+,Proportion_MovingWindow,Proportion_MovingWindow+,SZZ_B,SZZ_B+,SZZ_RA,SZZ_RA+,SZZ_U,SZZ_U+,Simple
Proportion_ColdStart,1.0,1.0,0.8383888612630532,0.8383888612630532,0.8549540347293156,0.8549540347293156,0.27313246568015687,0.28418612943483684,0.2768251723528372,0.2768251723528372,0.2716248989490703,0.2716248989490703,0.3935981031416716
Proportion_ColdStart+,1.0,1.0,0.8383888612630532,0.8383888612630532,0.8549540347293156,0.8549540347293156,0.27313246568015687,0.28418612943483684,0.2768251723528372,0.2768251723528372,0.2716248989490703,0.2716248989490703,0.3935981031416716
Proportion_Increment,0.8383888612630532,0.8383888612630532,1.0,1.0,0.8429636533084809,0.8429636533084809,0.3243435060326473,0.3353442157558552,0.3282872733673649,0.3282872733673649,0.32342007434944237,0.32342007434944237,0.33034825870646767
Proportion_Increment+,0.8383888612630532,0.8383888612630532,1.0,1.0,0.8429636533084809,0.8429636533084809,0.3243435060326473,0.3353442157558552,0.3282872733673649,0.3282872733673649,0.32342007434944237,0.32342007434944237,0.33034825870646767
Proportion_MovingWindow,0.8549540347293156,0.8549540347293156,0.8429636533084809,0.8429636533084809,1.0,1.0,0.316079686944148,0.3271077908217716,0.31986591390261115,0.31986591390261115,0.31312641448431944,0.31312641448431944,0.34138817480719796
Proportion_MovingWindow+,0.8549540347293156,0.8549540347293156,0.8429636533084809,0.8429636533084809,1.0,1.0,0.316079686944148,0.3271077908217716,0.31986591390261115,0.31986591390261115,0.31312641448431944,0.31312641448431944,0.34138817480719796
SZZ_B,0.27313246568015687,0.27313246568015687,0.3243435060326473,0.3243435060326473,0.316079686944148,0.316079686944148,1.0,0.9887599709934736,0.948236128346038,0.948236128346038,0.8825052597507688,0.8825052597507688,0.10913705583756345
SZZ_B+,0.28418612943483684,0.28418612943483684,0.3353442157558552,0.3353442157558552,0.3271077908217716,0.3271077908217716,0.9887599709934736,1.0,0.947488986784141,0.947488986784141,0.892539245832659,0.892539245832659,0.12037708484408992
SZZ_RA,0.2768251723528372,0.2768251723528372,0.3282872733673649,0.3282872733673649,0.31986591390261115,0.31986591390261115,0.948236128346038,0.947488986784141,1.0,1.0,0.8939369442198868,0.8939369442198868,0.11150950161348154
SZZ_RA+,0.2768251723528372,0.2768251723528372,0.3282872733673649,0.3282872733673649,0.31986591390261115,0.31986591390261115,0.948236128346038,0.947488986784141,1.0,1.0,0.8939369442198868,0.8939369442198868,0.11150950161348154
SZZ_U,0.2716248989490703,0.2716248989490703,0.32342007434944237,0.32342007434944237,0.31312641448431944,0.31312641448431944,0.8825052597507688,0.892539245832659,0.8939369442198868,0.8939369442198868,1.0,1.0,0.10747814826804791
SZZ_U+,0.2716248989490703,0.2716248989490703,0.32342007434944237,0.32342007434944237,0.31312641448431944,0.31312641448431944,0.8825052597507688,0.892539245832659,0.8939369442198868,0.8939369442198868,1.0,1.0,0.10747814826804791
Simple,0.3935981031416716,0.3935981031416716,0.33034825870646767,0.33034825870646767,0.34138817480719796,0.34138817480719796,0.10913705583756345,0.12037708484408992,0.11150950161348154,0.11150950161348154,0.10747814826804791,0.10747814826804791,1.0
