 ,Simple,Proportion_ColdStart,Proportion_Increment,Proportion_MovingWindow,SZZ_U,SZZ_B,SZZ_RA,Proportion_ColdStart+,Proportion_Increment+,Proportion_MovingWindow+,SZZ_U+,SZZ_B+,SZZ_RA+
Simple,1.0,0.9318181818181818,0.8817204301075269,0.8817204301075269,0.8817204301075269,0.8817204301075269,0.8817204301075269,0.9318181818181818,0.8817204301075269,0.8817204301075269,0.8817204301075269,0.8817204301075269,0.8817204301075269
Proportion_ColdStart,0.9318181818181818,1.0,0.946236559139785,0.946236559139785,0.946236559139785,0.946236559139785,0.946236559139785,1.0,0.946236559139785,0.946236559139785,0.946236559139785,0.946236559139785,0.946236559139785
Proportion_Increment,0.8817204301075269,0.946236559139785,1.0,1.0,1.0,1.0,1.0,0.946236559139785,1.0,1.0,1.0,1.0,1.0
Proportion_MovingWindow,0.8817204301075269,0.946236559139785,1.0,1.0,1.0,1.0,1.0,0.946236559139785,1.0,1.0,1.0,1.0,1.0
SZZ_U,0.8817204301075269,0.946236559139785,1.0,1.0,1.0,1.0,1.0,0.946236559139785,1.0,1.0,1.0,1.0,1.0
SZZ_B,0.8817204301075269,0.946236559139785,1.0,1.0,1.0,1.0,1.0,0.946236559139785,1.0,1.0,1.0,1.0,1.0
SZZ_RA,0.8817204301075269,0.946236559139785,1.0,1.0,1.0,1.0,1.0,0.946236559139785,1.0,1.0,1.0,1.0,1.0
Proportion_ColdStart+,0.9318181818181818,1.0,0.946236559139785,0.946236559139785,0.946236559139785,0.946236559139785,0.946236559139785,1.0,0.946236559139785,0.946236559139785,0.946236559139785,0.946236559139785,0.946236559139785
Proportion_Increment+,0.8817204301075269,0.946236559139785,1.0,1.0,1.0,1.0,1.0,0.946236559139785,1.0,1.0,1.0,1.0,1.0
Proportion_MovingWindow+,0.8817204301075269,0.946236559139785,1.0,1.0,1.0,1.0,1.0,0.946236559139785,1.0,1.0,1.0,1.0,1.0
SZZ_U+,0.8817204301075269,0.946236559139785,1.0,1.0,1.0,1.0,1.0,0.946236559139785,1.0,1.0,1.0,1.0,1.0
SZZ_B+,0.8817204301075269,0.946236559139785,1.0,1.0,1.0,1.0,1.0,0.946236559139785,1.0,1.0,1.0,1.0,1.0
SZZ_RA+,0.8817204301075269,0.946236559139785,1.0,1.0,1.0,1.0,1.0,0.946236559139785,1.0,1.0,1.0,1.0,1.0
