 ,Simple,Proportion_ColdStart,Proportion_Increment,Proportion_MovingWindow,SZZ_U,SZZ_B,SZZ_RA,Proportion_ColdStart+,Proportion_Increment+,Proportion_MovingWindow+,SZZ_U+,SZZ_B+,SZZ_RA+
Simple,1.0,0.9342105263157895,0.922077922077922,0.922077922077922,0.922077922077922,0.922077922077922,0.922077922077922,0.9342105263157895,0.922077922077922,0.922077922077922,0.922077922077922,0.922077922077922,0.922077922077922
Proportion_ColdStart,0.9342105263157895,1.0,0.987012987012987,0.987012987012987,0.987012987012987,0.987012987012987,0.987012987012987,1.0,0.987012987012987,0.987012987012987,0.987012987012987,0.987012987012987,0.987012987012987
Proportion_Increment,0.922077922077922,0.987012987012987,1.0,1.0,1.0,1.0,1.0,0.987012987012987,1.0,1.0,1.0,1.0,1.0
Proportion_MovingWindow,0.922077922077922,0.987012987012987,1.0,1.0,1.0,1.0,1.0,0.987012987012987,1.0,1.0,1.0,1.0,1.0
SZZ_U,0.922077922077922,0.987012987012987,1.0,1.0,1.0,1.0,1.0,0.987012987012987,1.0,1.0,1.0,1.0,1.0
SZZ_B,0.922077922077922,0.987012987012987,1.0,1.0,1.0,1.0,1.0,0.987012987012987,1.0,1.0,1.0,1.0,1.0
SZZ_RA,0.922077922077922,0.987012987012987,1.0,1.0,1.0,1.0,1.0,0.987012987012987,1.0,1.0,1.0,1.0,1.0
Proportion_ColdStart+,0.9342105263157895,1.0,0.987012987012987,0.987012987012987,0.987012987012987,0.987012987012987,0.987012987012987,1.0,0.987012987012987,0.987012987012987,0.987012987012987,0.987012987012987,0.987012987012987
Proportion_Increment+,0.922077922077922,0.987012987012987,1.0,1.0,1.0,1.0,1.0,0.987012987012987,1.0,1.0,1.0,1.0,1.0
Proportion_MovingWindow+,0.922077922077922,0.987012987012987,1.0,1.0,1.0,1.0,1.0,0.987012987012987,1.0,1.0,1.0,1.0,1.0
SZZ_U+,0.922077922077922,0.987012987012987,1.0,1.0,1.0,1.0,1.0,0.987012987012987,1.0,1.0,1.0,1.0,1.0
SZZ_B+,0.922077922077922,0.987012987012987,1.0,1.0,1.0,1.0,1.0,0.987012987012987,1.0,1.0,1.0,1.0,1.0
SZZ_RA+,0.922077922077922,0.987012987012987,1.0,1.0,1.0,1.0,1.0,0.987012987012987,1.0,1.0,1.0,1.0,1.0
