 ,Simple,Proportion_ColdStart,Proportion_Increment,Proportion_MovingWindow,SZZ_U,SZZ_B,SZZ_RA,Proportion_ColdStart+,Proportion_Increment+,Proportion_MovingWindow+,SZZ_U+,SZZ_B+,SZZ_RA+
Simple,1.0,0.7142857142857143,0.7142857142857143,0.6818181818181818,0.6818181818181818,0.6818181818181818,0.6818181818181818,0.7142857142857143,0.7142857142857143,0.6818181818181818,0.6818181818181818,0.6818181818181818,0.6818181818181818
Proportion_ColdStart,0.7142857142857143,1.0,1.0,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9545454545454546,1.0,1.0,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9545454545454546
Proportion_Increment,0.7142857142857143,1.0,1.0,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9545454545454546,1.0,1.0,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9545454545454546
Proportion_MovingWindow,0.6818181818181818,0.9545454545454546,0.9545454545454546,1.0,1.0,1.0,1.0,0.9545454545454546,0.9545454545454546,1.0,1.0,1.0,1.0
SZZ_U,0.6818181818181818,0.9545454545454546,0.9545454545454546,1.0,1.0,1.0,1.0,0.9545454545454546,0.9545454545454546,1.0,1.0,1.0,1.0
SZZ_B,0.6818181818181818,0.9545454545454546,0.9545454545454546,1.0,1.0,1.0,1.0,0.9545454545454546,0.9545454545454546,1.0,1.0,1.0,1.0
SZZ_RA,0.6818181818181818,0.9545454545454546,0.9545454545454546,1.0,1.0,1.0,1.0,0.9545454545454546,0.9545454545454546,1.0,1.0,1.0,1.0
Proportion_ColdStart+,0.7142857142857143,1.0,1.0,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9545454545454546,1.0,1.0,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9545454545454546
Proportion_Increment+,0.7142857142857143,1.0,1.0,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9545454545454546,1.0,1.0,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9545454545454546
Proportion_MovingWindow+,0.6818181818181818,0.9545454545454546,0.9545454545454546,1.0,1.0,1.0,1.0,0.9545454545454546,0.9545454545454546,1.0,1.0,1.0,1.0
SZZ_U+,0.6818181818181818,0.9545454545454546,0.9545454545454546,1.0,1.0,1.0,1.0,0.9545454545454546,0.9545454545454546,1.0,1.0,1.0,1.0
SZZ_B+,0.6818181818181818,0.9545454545454546,0.9545454545454546,1.0,1.0,1.0,1.0,0.9545454545454546,0.9545454545454546,1.0,1.0,1.0,1.0
SZZ_RA+,0.6818181818181818,0.9545454545454546,0.9545454545454546,1.0,1.0,1.0,1.0,0.9545454545454546,0.9545454545454546,1.0,1.0,1.0,1.0
