 ,Proportion_ColdStart,Proportion_ColdStart+,Proportion_Increment,Proportion_Increment+,Proportion_MovingWindow,Proportion_MovingWindow+,SZZ_B,SZZ_B+,SZZ_RA,SZZ_RA+,SZZ_U,SZZ_U+,Simple
Proportion_ColdStart,1.0,1.0,0.838023560209424,0.838023560209424,0.6585303186022611,0.6585303186022611,0.24245328222328702,0.24264494489698132,0.2351187703772706,0.2351187703772706,0.23259608411892677,0.23259608411892677,0.2357755261106781
Proportion_ColdStart+,1.0,1.0,0.838023560209424,0.838023560209424,0.6585303186022611,0.6585303186022611,0.24245328222328702,0.24264494489698132,0.2351187703772706,0.2351187703772706,0.23259608411892677,0.23259608411892677,0.2357755261106781
Proportion_Increment,0.838023560209424,0.838023560209424,1.0,1.0,0.7609743719868054,0.7609743719868054,0.28708133971291866,0.2872727272727273,0.27874953479717157,0.27874953479717157,0.2765591007976795,0.2765591007976795,0.19829564077351688
Proportion_Increment+,0.838023560209424,0.838023560209424,1.0,1.0,0.7609743719868054,0.7609743719868054,0.28708133971291866,0.2872727272727273,0.27874953479717157,0.27874953479717157,0.2765591007976795,0.2765591007976795,0.19829564077351688
Proportion_MovingWindow,0.6585303186022611,0.6585303186022611,0.7609743719868054,0.7609743719868054,1.0,1.0,0.3660961851037384,0.3662874079739937,0.3547008547008547,0.3547008547008547,0.3525199419869471,0.3525199419869471,0.15556698380046285
Proportion_MovingWindow+,0.6585303186022611,0.6585303186022611,0.7609743719868054,0.7609743719868054,1.0,1.0,0.3660961851037384,0.3662874079739937,0.3547008547008547,0.3547008547008547,0.3525199419869471,0.3525199419869471,0.15556698380046285
SZZ_B,0.24245328222328702,0.24245328222328702,0.28708133971291866,0.28708133971291866,0.3660961851037384,0.3660961851037384,1.0,0.9998077107970388,0.944142317264264,0.944142317264264,0.9426214648295866,0.9426214648295866,0.057975194692818
SZZ_B+,0.24264494489698132,0.24264494489698132,0.2872727272727273,0.2872727272727273,0.3662874079739937,0.3662874079739937,0.9998077107970388,1.0,0.9439682978527325,0.9439682978527325,0.9428027556200145,0.9428027556200145,0.058167483895779255
SZZ_RA,0.2351187703772706,0.2351187703772706,0.27874953479717157,0.27874953479717157,0.3547008547008547,0.3547008547008547,0.944142317264264,0.9439682978527325,1.0,1.0,0.9582657292230035,0.9582657292230035,0.056282722513089
SZZ_RA+,0.2351187703772706,0.2351187703772706,0.27874953479717157,0.27874953479717157,0.3547008547008547,0.3547008547008547,0.944142317264264,0.9439682978527325,1.0,1.0,0.9582657292230035,0.9582657292230035,0.056282722513089
SZZ_U,0.23259608411892677,0.23259608411892677,0.2765591007976795,0.2765591007976795,0.3525199419869471,0.3525199419869471,0.9426214648295866,0.9428027556200145,0.9582657292230035,0.9582657292230035,1.0,1.0,0.054840464104423496
SZZ_U+,0.23259608411892677,0.23259608411892677,0.2765591007976795,0.2765591007976795,0.3525199419869471,0.3525199419869471,0.9426214648295866,0.9428027556200145,0.9582657292230035,0.9582657292230035,1.0,1.0,0.054840464104423496
Simple,0.2357755261106781,0.2357755261106781,0.19829564077351688,0.19829564077351688,0.15556698380046285,0.15556698380046285,0.057975194692818,0.058167483895779255,0.056282722513089,0.056282722513089,0.054840464104423496,0.054840464104423496,1.0
