 ,Proportion_ColdStart,Proportion_ColdStart+,Proportion_Increment,Proportion_Increment+,Proportion_MovingWindow,Proportion_MovingWindow+,SZZ_B,SZZ_B+,SZZ_RA,SZZ_RA+,SZZ_U,SZZ_U+,Simple
Proportion_ColdStart,1.0,1.0,0.9914337240757439,0.9914337240757439,0.8548259493670886,0.8548259493670886,0.3080715593745598,0.3082124242851106,0.3066554338668913,0.3066554338668913,0.30419145109973716,0.30419145109973716,0.42701227830832195
Proportion_ColdStart+,1.0,1.0,0.9914337240757439,0.9914337240757439,0.8548259493670886,0.8548259493670886,0.3080715593745598,0.3082124242851106,0.3066554338668913,0.3066554338668913,0.30419145109973716,0.30419145109973716,0.42701227830832195
Proportion_Increment,0.9914337240757439,0.9914337240757439,1.0,1.0,0.8579321231254933,0.8579321231254933,0.3107479926750247,0.31088885758557544,0.3093232238135355,0.3093232238135355,0.30681975376953935,0.30681975376953935,0.42335437330928766
Proportion_Increment+,0.9914337240757439,0.9914337240757439,1.0,1.0,0.8579321231254933,0.8579321231254933,0.3107479926750247,0.31088885758557544,0.3093232238135355,0.3093232238135355,0.30681975376953935,0.30681975376953935,0.42335437330928766
Proportion_MovingWindow,0.8548259493670886,0.8548259493670886,0.8579321231254933,0.8579321231254933,1.0,1.0,0.34811373873873874,0.3482545045045045,0.3467583497053045,0.3467583497053045,0.3444459814635496,0.3444459814635496,0.37710843373493974
Proportion_MovingWindow+,0.8548259493670886,0.8548259493670886,0.8579321231254933,0.8579321231254933,1.0,1.0,0.34811373873873874,0.3482545045045045,0.3467583497053045,0.3467583497053045,0.3444459814635496,0.3444459814635496,0.37710843373493974
SZZ_B,0.3080715593745598,0.3080715593745598,0.3107479926750247,0.3107479926750247,0.34811373873873874,0.34811373873873874,1.0,0.9998589164785553,0.9824022346368715,0.9824022346368715,0.9803568958362152,0.9803568958362152,0.13233634311512416
SZZ_B+,0.3082124242851106,0.3082124242851106,0.31088885758557544,0.31088885758557544,0.3482545045045045,0.3482545045045045,0.9998589164785553,1.0,0.9825418994413407,0.9825418994413407,0.9804952275556785,0.9804952275556785,0.13247742663656886
SZZ_RA,0.3066554338668913,0.3066554338668913,0.3093232238135355,0.3093232238135355,0.3467583497053045,0.3467583497053045,0.9824022346368715,0.9825418994413407,1.0,1.0,0.9760165403170228,0.9760165403170228,0.13196398424310635
SZZ_RA+,0.3066554338668913,0.3066554338668913,0.3093232238135355,0.3093232238135355,0.3467583497053045,0.3467583497053045,0.9824022346368715,0.9825418994413407,1.0,1.0,0.9760165403170228,0.9760165403170228,0.13196398424310635
SZZ_U,0.30419145109973716,0.30419145109973716,0.30681975376953935,0.30681975376953935,0.3444459814635496,0.3444459814635496,0.9803568958362152,0.9804952275556785,0.9760165403170228,0.9760165403170228,1.0,1.0,0.12989348457601327
SZZ_U+,0.30419145109973716,0.30419145109973716,0.30681975376953935,0.30681975376953935,0.3444459814635496,0.3444459814635496,0.9803568958362152,0.9804952275556785,0.9760165403170228,0.9760165403170228,1.0,1.0,0.12989348457601327
Simple,0.42701227830832195,0.42701227830832195,0.42335437330928766,0.42335437330928766,0.37710843373493974,0.37710843373493974,0.13233634311512416,0.13247742663656886,0.13196398424310635,0.13196398424310635,0.12989348457601327,0.12989348457601327,1.0
