('cxf-2.3.1', 'rt/transports/jms/src/main/java/org/apache/cxf/transport/jms/JMSConstants.java')
('cxf-2.2.4', 'rt/transports/jms/src/main/java/org/apache/cxf/transport/jms/JMSConstants.java')
('cxf-2.4.4', 'rt/transports/jms/src/main/java/org/apache/cxf/transport/jms/JMSConstants.java')
('cxf-2.7.0', 'rt/transports/jms/src/main/java/org/apache/cxf/transport/jms/JMSConstants.java')
('cxf-2.7.3', 'rt/transports/jms/src/main/java/org/apache/cxf/transport/jms/JMSConstants.java')
('cxf-2.6.2', 'rt/transports/jms/src/main/java/org/apache/cxf/transport/jms/JMSConstants.java')
('cxf-2.3.3', 'rt/transports/jms/src/main/java/org/apache/cxf/transport/jms/JMSConstants.java')
('cxf-2.4.2', 'rt/transports/jms/src/main/java/org/apache/cxf/transport/jms/JMSConstants.java')
('cxf-2.3.2', 'rt/transports/jms/src/main/java/org/apache/cxf/transport/jms/JMSConstants.java')
('cxf-2.2.3', 'rt/transports/jms/src/main/java/org/apache/cxf/transport/jms/JMSConstants.java')
('cxf-2.2.6', 'rt/transports/jms/src/main/java/org/apache/cxf/transport/jms/JMSConstants.java')
('cxf-2.2.8', 'rt/transports/jms/src/main/java/org/apache/cxf/transport/jms/JMSConstants.java')
('cxf-2.5.0', 'rt/transports/jms/src/main/java/org/apache/cxf/transport/jms/JMSConstants.java')
('cxf-2.7.1', 'rt/transports/jms/src/main/java/org/apache/cxf/transport/jms/JMSConstants.java')
('cxf-2.2.7', 'rt/transports/jms/src/main/java/org/apache/cxf/transport/jms/JMSConstants.java')
('cxf-2.3.5', 'rt/transports/jms/src/main/java/org/apache/cxf/transport/jms/JMSConstants.java')
('cxf-2.6.1', 'rt/transports/jms/src/main/java/org/apache/cxf/transport/jms/JMSConstants.java')
('cxf-2.3.4', 'rt/transports/jms/src/main/java/org/apache/cxf/transport/jms/JMSConstants.java')
('cxf-2.4.3', 'rt/transports/jms/src/main/java/org/apache/cxf/transport/jms/JMSConstants.java')
('cxf-2.6.0', 'rt/transports/jms/src/main/java/org/apache/cxf/transport/jms/JMSConstants.java')
('cxf-2.7.2', 'rt/transports/jms/src/main/java/org/apache/cxf/transport/jms/JMSConstants.java')
('cxf-2.5.2', 'rt/transports/jms/src/main/java/org/apache/cxf/transport/jms/JMSConstants.java')
('cxf-2.2.11', 'rt/transports/jms/src/main/java/org/apache/cxf/transport/jms/JMSConstants.java')
('cxf-2.5.1', 'rt/transports/jms/src/main/java/org/apache/cxf/transport/jms/JMSConstants.java')
('cxf-2.2.5', 'rt/transports/jms/src/main/java/org/apache/cxf/transport/jms/JMSConstants.java')
('cxf-2.2.10', 'rt/transports/jms/src/main/java/org/apache/cxf/transport/jms/JMSConstants.java')
