 ,Proportion_ColdStart,Proportion_ColdStart+,Proportion_Increment,Proportion_Increment+,Proportion_MovingWindow,Proportion_MovingWindow+,SZZ_B,SZZ_B+,SZZ_RA,SZZ_RA+,SZZ_U,SZZ_U+,Simple
Proportion_ColdStart,1.0,1.0,0.9620786516853933,0.9620786516853933,0.9748603351955307,0.9748603351955307,0.5989847715736041,0.5998307952622673,0.6025641025641025,0.6025641025641025,0.5953177257525084,0.5953177257525084,0.3637640449438202
Proportion_ColdStart+,1.0,1.0,0.9620786516853933,0.9620786516853933,0.9748603351955307,0.9748603351955307,0.5989847715736041,0.5998307952622673,0.6025641025641025,0.6025641025641025,0.5953177257525084,0.5953177257525084,0.3637640449438202
Proportion_Increment,0.9620786516853933,0.9620786516853933,1.0,1.0,0.9645892351274787,0.9645892351274787,0.5761421319796954,0.5769881556683587,0.5794871794871795,0.5794871794871795,0.572742474916388,0.572742474916388,0.3781021897810219
Proportion_Increment+,0.9620786516853933,0.9620786516853933,1.0,1.0,0.9645892351274787,0.9645892351274787,0.5761421319796954,0.5769881556683587,0.5794871794871795,0.5794871794871795,0.572742474916388,0.572742474916388,0.3781021897810219
Proportion_MovingWindow,0.9748603351955307,0.9748603351955307,0.9645892351274787,0.9645892351274787,1.0,1.0,0.5905245346869712,0.5913705583756346,0.594017094017094,0.594017094017094,0.5869565217391305,0.5869565217391305,0.36894586894586895
Proportion_MovingWindow+,0.9748603351955307,0.9748603351955307,0.9645892351274787,0.9645892351274787,1.0,1.0,0.5905245346869712,0.5913705583756346,0.594017094017094,0.594017094017094,0.5869565217391305,0.5869565217391305,0.36894586894586895
SZZ_B,0.5989847715736041,0.5989847715736041,0.5761421319796954,0.5761421319796954,0.5905245346869712,0.5905245346869712,1.0,0.9991518235793045,0.9838983050847457,0.9838983050847457,0.9849498327759197,0.9849498327759197,0.21882951653944022
SZZ_B+,0.5998307952622673,0.5998307952622673,0.5769881556683587,0.5769881556683587,0.5913705583756346,0.5913705583756346,0.9991518235793045,1.0,0.983065198983912,0.983065198983912,0.9857859531772575,0.9857859531772575,0.2196776929601357
SZZ_RA,0.6025641025641025,0.6025641025641025,0.5794871794871795,0.5794871794871795,0.594017094017094,0.594017094017094,0.9838983050847457,0.983065198983912,1.0,1.0,0.9724080267558528,0.9724080267558528,0.22164948453608246
SZZ_RA+,0.6025641025641025,0.6025641025641025,0.5794871794871795,0.5794871794871795,0.594017094017094,0.594017094017094,0.9838983050847457,0.983065198983912,1.0,1.0,0.9724080267558528,0.9724080267558528,0.22164948453608246
SZZ_U,0.5953177257525084,0.5953177257525084,0.572742474916388,0.572742474916388,0.5869565217391305,0.5869565217391305,0.9849498327759197,0.9857859531772575,0.9724080267558528,0.9724080267558528,1.0,1.0,0.2165551839464883
SZZ_U+,0.5953177257525084,0.5953177257525084,0.572742474916388,0.572742474916388,0.5869565217391305,0.5869565217391305,0.9849498327759197,0.9857859531772575,0.9724080267558528,0.9724080267558528,1.0,1.0,0.2165551839464883
Simple,0.3637640449438202,0.3637640449438202,0.3781021897810219,0.3781021897810219,0.36894586894586895,0.36894586894586895,0.21882951653944022,0.2196776929601357,0.22164948453608246,0.22164948453608246,0.2165551839464883,0.2165551839464883,1.0
