 ,Proportion_ColdStart,Proportion_ColdStart+,Proportion_Increment,Proportion_Increment+,Proportion_MovingWindow,Proportion_MovingWindow+,SZZ_B,SZZ_B+,SZZ_RA,SZZ_RA+,SZZ_U,SZZ_U+,Simple
Proportion_ColdStart,1.0,1.0,0.7592835299257318,0.7592835299257318,0.7008892481810832,0.7008892481810832,0.32712215320910976,0.32712215320910976,0.3299353068025877,0.3299353068025877,0.3273069679849341,0.3273069679849341,0.5811277330264673
Proportion_ColdStart+,1.0,1.0,0.7592835299257318,0.7592835299257318,0.7008892481810832,0.7008892481810832,0.32712215320910976,0.32712215320910976,0.3299353068025877,0.3299353068025877,0.3273069679849341,0.3273069679849341,0.5811277330264673
Proportion_Increment,0.7592835299257318,0.7592835299257318,1.0,1.0,0.8088179399467883,0.8088179399467883,0.4308300395256917,0.4308300395256917,0.4328970502051182,0.4328970502051182,0.43107344632768363,0.43107344632768363,0.4412407164700743
Proportion_Increment+,0.7592835299257318,0.7592835299257318,1.0,1.0,0.8088179399467883,0.8088179399467883,0.4308300395256917,0.4308300395256917,0.4328970502051182,0.4328970502051182,0.43107344632768363,0.43107344632768363,0.4412407164700743
Proportion_MovingWindow,0.7008892481810832,0.7008892481810832,0.8088179399467883,0.8088179399467883,1.0,1.0,0.4648974214191606,0.4648974214191606,0.4651072124756335,0.4651072124756335,0.46460843373493976,0.46460843373493976,0.4089068825910931
Proportion_MovingWindow+,0.7008892481810832,0.7008892481810832,0.8088179399467883,0.8088179399467883,1.0,1.0,0.4648974214191606,0.4648974214191606,0.4651072124756335,0.4651072124756335,0.46460843373493976,0.46460843373493976,0.4089068825910931
SZZ_B,0.32712215320910976,0.32712215320910976,0.4308300395256917,0.4308300395256917,0.4648974214191606,0.4648974214191606,1.0,1.0,0.9497459062676454,0.9497459062676454,0.9994353472614342,0.9994353472614342,0.19009975531714662
SZZ_B+,0.32712215320910976,0.32712215320910976,0.4308300395256917,0.4308300395256917,0.4648974214191606,0.4648974214191606,1.0,1.0,0.9497459062676454,0.9497459062676454,0.9994353472614342,0.9994353472614342,0.19009975531714662
SZZ_RA,0.3299353068025877,0.3299353068025877,0.4328970502051182,0.4328970502051182,0.4651072124756335,0.4651072124756335,0.9497459062676454,0.9497459062676454,1.0,1.0,0.9495481927710844,0.9495481927710844,0.19306540583136328
SZZ_RA+,0.3299353068025877,0.3299353068025877,0.4328970502051182,0.4328970502051182,0.4651072124756335,0.4651072124756335,0.9497459062676454,0.9497459062676454,1.0,1.0,0.9495481927710844,0.9495481927710844,0.19306540583136328
SZZ_U,0.3273069679849341,0.3273069679849341,0.43107344632768363,0.43107344632768363,0.46460843373493976,0.46460843373493976,0.9994353472614342,0.9994353472614342,0.9495481927710844,0.9495481927710844,1.0,1.0,0.1902071563088512
SZZ_U+,0.3273069679849341,0.3273069679849341,0.43107344632768363,0.43107344632768363,0.46460843373493976,0.46460843373493976,0.9994353472614342,0.9994353472614342,0.9495481927710844,0.9495481927710844,1.0,1.0,0.1902071563088512
Simple,0.5811277330264673,0.5811277330264673,0.4412407164700743,0.4412407164700743,0.4089068825910931,0.4089068825910931,0.19009975531714662,0.19009975531714662,0.19306540583136328,0.19306540583136328,0.1902071563088512,0.1902071563088512,1.0
