 ,Proportion_ColdStart,Proportion_ColdStart+,Proportion_Increment,Proportion_Increment+,Proportion_MovingWindow,Proportion_MovingWindow+,SZZ_B,SZZ_B+,SZZ_RA,SZZ_RA+,SZZ_U,SZZ_U+,Simple
Proportion_ColdStart,1.0,1.0,0.8567415730337079,0.8567415730337079,0.678082191780822,0.678082191780822,0.2580919931856899,0.2580919931856899,0.2555366269165247,0.2555366269165247,0.2481692432872254,0.2481692432872254,0.38562091503267976
Proportion_ColdStart+,1.0,1.0,0.8567415730337079,0.8567415730337079,0.678082191780822,0.678082191780822,0.2580919931856899,0.2580919931856899,0.2555366269165247,0.2555366269165247,0.2481692432872254,0.2481692432872254,0.38562091503267976
Proportion_Increment,0.8567415730337079,0.8567415730337079,1.0,1.0,0.7422222222222222,0.7422222222222222,0.2987234042553191,0.2987234042553191,0.2950680272108844,0.2950680272108844,0.28803905614320585,0.28803905614320585,0.3323943661971831
Proportion_Increment+,0.8567415730337079,0.8567415730337079,1.0,1.0,0.7422222222222222,0.7422222222222222,0.2987234042553191,0.2987234042553191,0.2950680272108844,0.2950680272108844,0.28803905614320585,0.28803905614320585,0.3323943661971831
Proportion_MovingWindow,0.678082191780822,0.678082191780822,0.7422222222222222,0.7422222222222222,1.0,1.0,0.3570822731128075,0.3570822731128075,0.35568760611205436,0.35568760611205436,0.34715447154471546,0.34715447154471546,0.27505827505827507
Proportion_MovingWindow+,0.678082191780822,0.678082191780822,0.7422222222222222,0.7422222222222222,1.0,1.0,0.3570822731128075,0.3570822731128075,0.35568760611205436,0.35568760611205436,0.34715447154471546,0.34715447154471546,0.27505827505827507
SZZ_B,0.2580919931856899,0.2580919931856899,0.2987234042553191,0.2987234042553191,0.3570822731128075,0.3570822731128075,1.0,1.0,0.9524207011686143,0.9524207011686143,0.9535830618892508,0.9535830618892508,0.10076857386848848
SZZ_B+,0.2580919931856899,0.2580919931856899,0.2987234042553191,0.2987234042553191,0.3570822731128075,0.3570822731128075,1.0,1.0,0.9524207011686143,0.9524207011686143,0.9535830618892508,0.9535830618892508,0.10076857386848848
SZZ_RA,0.2555366269165247,0.2555366269165247,0.2950680272108844,0.2950680272108844,0.35568760611205436,0.35568760611205436,0.9524207011686143,0.9524207011686143,1.0,1.0,0.9448051948051948,0.9448051948051948,0.10102739726027397
SZZ_RA+,0.2555366269165247,0.2555366269165247,0.2950680272108844,0.2950680272108844,0.35568760611205436,0.35568760611205436,0.9524207011686143,0.9524207011686143,1.0,1.0,0.9448051948051948,0.9448051948051948,0.10102739726027397
SZZ_U,0.2481692432872254,0.2481692432872254,0.28803905614320585,0.28803905614320585,0.34715447154471546,0.34715447154471546,0.9535830618892508,0.9535830618892508,0.9448051948051948,0.9448051948051948,1.0,1.0,0.09609120521172639
SZZ_U+,0.2481692432872254,0.2481692432872254,0.28803905614320585,0.28803905614320585,0.34715447154471546,0.34715447154471546,0.9535830618892508,0.9535830618892508,0.9448051948051948,0.9448051948051948,1.0,1.0,0.09609120521172639
Simple,0.38562091503267976,0.38562091503267976,0.3323943661971831,0.3323943661971831,0.27505827505827507,0.27505827505827507,0.10076857386848848,0.10076857386848848,0.10102739726027397,0.10102739726027397,0.09609120521172639,0.09609120521172639,1.0
