 ,Proportion_ColdStart,Proportion_ColdStart+,Proportion_Increment,Proportion_Increment+,Proportion_MovingWindow,Proportion_MovingWindow+,SZZ_B,SZZ_B+,SZZ_RA,SZZ_RA+,SZZ_U,SZZ_U+,Simple
Proportion_ColdStart,1.0,1.0,1.0,1.0,0.8366336633663366,0.8366336633663366,0.47368421052631576,0.47368421052631576,0.4803370786516854,0.4803370786516854,0.4572192513368984,0.4572192513368984,0.7076023391812866
Proportion_ColdStart+,1.0,1.0,1.0,1.0,0.8366336633663366,0.8366336633663366,0.47368421052631576,0.47368421052631576,0.4803370786516854,0.4803370786516854,0.4572192513368984,0.4572192513368984,0.7076023391812866
Proportion_Increment,1.0,1.0,1.0,1.0,0.8366336633663366,0.8366336633663366,0.47368421052631576,0.47368421052631576,0.4803370786516854,0.4803370786516854,0.4572192513368984,0.4572192513368984,0.7076023391812866
Proportion_Increment+,1.0,1.0,1.0,1.0,0.8366336633663366,0.8366336633663366,0.47368421052631576,0.47368421052631576,0.4803370786516854,0.4803370786516854,0.4572192513368984,0.4572192513368984,0.7076023391812866
Proportion_MovingWindow,0.8366336633663366,0.8366336633663366,0.8366336633663366,0.8366336633663366,1.0,1.0,0.554016620498615,0.554016620498615,0.5617977528089888,0.5617977528089888,0.5347593582887701,0.5347593582887701,0.605
Proportion_MovingWindow+,0.8366336633663366,0.8366336633663366,0.8366336633663366,0.8366336633663366,1.0,1.0,0.554016620498615,0.554016620498615,0.5617977528089888,0.5617977528089888,0.5347593582887701,0.5347593582887701,0.605
SZZ_B,0.47368421052631576,0.47368421052631576,0.47368421052631576,0.47368421052631576,0.554016620498615,0.554016620498615,1.0,1.0,0.9752066115702479,0.9752066115702479,0.9652406417112299,0.9652406417112299,0.33518005540166207
SZZ_B+,0.47368421052631576,0.47368421052631576,0.47368421052631576,0.47368421052631576,0.554016620498615,0.554016620498615,1.0,1.0,0.9752066115702479,0.9752066115702479,0.9652406417112299,0.9652406417112299,0.33518005540166207
SZZ_RA,0.4803370786516854,0.4803370786516854,0.4803370786516854,0.4803370786516854,0.5617977528089888,0.5617977528089888,0.9752066115702479,0.9752066115702479,1.0,1.0,0.9518716577540107,0.9518716577540107,0.3398876404494382
SZZ_RA+,0.4803370786516854,0.4803370786516854,0.4803370786516854,0.4803370786516854,0.5617977528089888,0.5617977528089888,0.9752066115702479,0.9752066115702479,1.0,1.0,0.9518716577540107,0.9518716577540107,0.3398876404494382
SZZ_U,0.4572192513368984,0.4572192513368984,0.4572192513368984,0.4572192513368984,0.5347593582887701,0.5347593582887701,0.9652406417112299,0.9652406417112299,0.9518716577540107,0.9518716577540107,1.0,1.0,0.3235294117647059
SZZ_U+,0.4572192513368984,0.4572192513368984,0.4572192513368984,0.4572192513368984,0.5347593582887701,0.5347593582887701,0.9652406417112299,0.9652406417112299,0.9518716577540107,0.9518716577540107,1.0,1.0,0.3235294117647059
Simple,0.7076023391812866,0.7076023391812866,0.7076023391812866,0.7076023391812866,0.605,0.605,0.33518005540166207,0.33518005540166207,0.3398876404494382,0.3398876404494382,0.3235294117647059,0.3235294117647059,1.0
