 ,Proportion_ColdStart,Proportion_ColdStart+,Proportion_Increment,Proportion_Increment+,Proportion_MovingWindow,Proportion_MovingWindow+,SZZ_B,SZZ_B+,SZZ_RA,SZZ_RA+,SZZ_U,SZZ_U+,Simple
Proportion_ColdStart,1.0,1.0,0.9596928982725528,0.9596928982725528,0.8471001757469244,0.8471001757469244,0.3682256867112101,0.37564959168522644,0.35045742434905,0.35045742434905,0.37976539589442815,0.37976539589442815,0.418426103646833
Proportion_ColdStart+,1.0,1.0,0.9596928982725528,0.9596928982725528,0.8471001757469244,0.8471001757469244,0.3682256867112101,0.37564959168522644,0.35045742434905,0.35045742434905,0.37976539589442815,0.37976539589442815,0.418426103646833
Proportion_Increment,0.9596928982725528,0.9596928982725528,1.0,1.0,0.8458781362007168,0.8458781362007168,0.3526354862657758,0.36005939123979214,0.33756166314305847,0.33756166314305847,0.36436950146627567,0.36436950146627567,0.436
Proportion_Increment+,0.9596928982725528,0.9596928982725528,1.0,1.0,0.8458781362007168,0.8458781362007168,0.3526354862657758,0.36005939123979214,0.33756166314305847,0.33756166314305847,0.36436950146627567,0.36436950146627567,0.436
Proportion_MovingWindow,0.8471001757469244,0.8471001757469244,0.8458781362007168,0.8458781362007168,1.0,1.0,0.37797619047619047,0.3854166666666667,0.3625441696113074,0.3625441696113074,0.38534798534798537,0.38534798534798537,0.41132075471698115
Proportion_MovingWindow+,0.8471001757469244,0.8471001757469244,0.8458781362007168,0.8458781362007168,1.0,1.0,0.37797619047619047,0.3854166666666667,0.3625441696113074,0.3625441696113074,0.38534798534798537,0.38534798534798537,0.41132075471698115
SZZ_B,0.3682256867112101,0.3682256867112101,0.3526354862657758,0.3526354862657758,0.37797619047619047,0.37797619047619047,1.0,0.9924924924924925,0.9141449683321604,0.9141449683321604,0.9246771879483501,0.9246771879483501,0.15615615615615616
SZZ_B+,0.37564959168522644,0.37564959168522644,0.36005939123979214,0.36005939123979214,0.3854166666666667,0.3854166666666667,0.9924924924924925,1.0,0.9117647058823529,0.9117647058823529,0.9318507890961263,0.9318507890961263,0.16366366366366367
SZZ_RA,0.35045742434905,0.35045742434905,0.33756166314305847,0.33756166314305847,0.3625441696113074,0.3625441696113074,0.9141449683321604,0.9117647058823529,1.0,1.0,0.8755948334466349,0.8755948334466349,0.1501779359430605
SZZ_RA+,0.35045742434905,0.35045742434905,0.33756166314305847,0.33756166314305847,0.3625441696113074,0.3625441696113074,0.9141449683321604,0.9117647058823529,1.0,1.0,0.8755948334466349,0.8755948334466349,0.1501779359430605
SZZ_U,0.37976539589442815,0.37976539589442815,0.36436950146627567,0.36436950146627567,0.38534798534798537,0.38534798534798537,0.9246771879483501,0.9318507890961263,0.8755948334466349,0.8755948334466349,1.0,1.0,0.16017634092578986
SZZ_U+,0.37976539589442815,0.37976539589442815,0.36436950146627567,0.36436950146627567,0.38534798534798537,0.38534798534798537,0.9246771879483501,0.9318507890961263,0.8755948334466349,0.8755948334466349,1.0,1.0,0.16017634092578986
Simple,0.418426103646833,0.418426103646833,0.436,0.436,0.41132075471698115,0.41132075471698115,0.15615615615615616,0.16366366366366367,0.1501779359430605,0.1501779359430605,0.16017634092578986,0.16017634092578986,1.0
