 ,Proportion_ColdStart,Proportion_ColdStart+,Proportion_Increment,Proportion_Increment+,Proportion_MovingWindow,Proportion_MovingWindow+,SZZ_B,SZZ_B+,SZZ_RA,SZZ_RA+,SZZ_U,SZZ_U+,Simple
Proportion_ColdStart,1.0,1.0,1.0,1.0,0.8762886597938144,0.8762886597938144,0.29304029304029305,0.2967032967032967,0.2967032967032967,0.2967032967032967,0.29473684210526313,0.29473684210526313,0.4588235294117647
Proportion_ColdStart+,1.0,1.0,1.0,1.0,0.8762886597938144,0.8762886597938144,0.29304029304029305,0.2967032967032967,0.2967032967032967,0.2967032967032967,0.29473684210526313,0.29473684210526313,0.4588235294117647
Proportion_Increment,1.0,1.0,1.0,1.0,0.8762886597938144,0.8762886597938144,0.29304029304029305,0.2967032967032967,0.2967032967032967,0.2967032967032967,0.29473684210526313,0.29473684210526313,0.4588235294117647
Proportion_Increment+,1.0,1.0,1.0,1.0,0.8762886597938144,0.8762886597938144,0.29304029304029305,0.2967032967032967,0.2967032967032967,0.2967032967032967,0.29473684210526313,0.29473684210526313,0.4588235294117647
Proportion_MovingWindow,0.8762886597938144,0.8762886597938144,0.8762886597938144,0.8762886597938144,1.0,1.0,0.336996336996337,0.34065934065934067,0.34065934065934067,0.34065934065934067,0.3368421052631579,0.3368421052631579,0.4020618556701031
Proportion_MovingWindow+,0.8762886597938144,0.8762886597938144,0.8762886597938144,0.8762886597938144,1.0,1.0,0.336996336996337,0.34065934065934067,0.34065934065934067,0.34065934065934067,0.3368421052631579,0.3368421052631579,0.4020618556701031
SZZ_B,0.29304029304029305,0.29304029304029305,0.29304029304029305,0.29304029304029305,0.336996336996337,0.336996336996337,1.0,0.9962825278810409,0.9456521739130435,0.9456521739130435,0.9436619718309859,0.9436619718309859,0.1412639405204461
SZZ_B+,0.2967032967032967,0.2967032967032967,0.2967032967032967,0.2967032967032967,0.34065934065934067,0.34065934065934067,0.9962825278810409,1.0,0.9492753623188406,0.9492753623188406,0.9471830985915493,0.9471830985915493,0.1449814126394052
SZZ_RA,0.2967032967032967,0.2967032967032967,0.2967032967032967,0.2967032967032967,0.34065934065934067,0.34065934065934067,0.9456521739130435,0.9492753623188406,1.0,1.0,0.9471830985915493,0.9471830985915493,0.1449814126394052
SZZ_RA+,0.2967032967032967,0.2967032967032967,0.2967032967032967,0.2967032967032967,0.34065934065934067,0.34065934065934067,0.9456521739130435,0.9492753623188406,1.0,1.0,0.9471830985915493,0.9471830985915493,0.1449814126394052
SZZ_U,0.29473684210526313,0.29473684210526313,0.29473684210526313,0.29473684210526313,0.3368421052631579,0.3368421052631579,0.9436619718309859,0.9471830985915493,0.9471830985915493,0.9471830985915493,1.0,1.0,0.13732394366197184
SZZ_U+,0.29473684210526313,0.29473684210526313,0.29473684210526313,0.29473684210526313,0.3368421052631579,0.3368421052631579,0.9436619718309859,0.9471830985915493,0.9471830985915493,0.9471830985915493,1.0,1.0,0.13732394366197184
Simple,0.4588235294117647,0.4588235294117647,0.4588235294117647,0.4588235294117647,0.4020618556701031,0.4020618556701031,0.1412639405204461,0.1449814126394052,0.1449814126394052,0.1449814126394052,0.13732394366197184,0.13732394366197184,1.0
