 ,Proportion_ColdStart,Proportion_ColdStart+,Proportion_Increment,Proportion_Increment+,Proportion_MovingWindow,Proportion_MovingWindow+,SZZ_B,SZZ_B+,SZZ_RA,SZZ_RA+,SZZ_U,SZZ_U+,Simple
Proportion_ColdStart,1.0,1.0,0.9384288747346072,0.9384288747346072,0.8877551020408163,0.8877551020408163,0.39750752041254833,0.39750752041254833,0.39584217225286383,0.39584217225286383,0.3557401812688822,0.3557401812688822,0.5690021231422505
Proportion_ColdStart+,1.0,1.0,0.9384288747346072,0.9384288747346072,0.8877551020408163,0.8877551020408163,0.39750752041254833,0.39750752041254833,0.39584217225286383,0.39584217225286383,0.3557401812688822,0.3557401812688822,0.5690021231422505
Proportion_Increment,0.9384288747346072,0.9384288747346072,1.0,1.0,0.9124866595517609,0.9124866595517609,0.37553832902670115,0.37553832902670115,0.37181663837011886,0.37181663837011886,0.3338368580060423,0.3338368580060423,0.6063348416289592
Proportion_Increment+,0.9384288747346072,0.9384288747346072,1.0,1.0,0.9124866595517609,0.9124866595517609,0.37553832902670115,0.37553832902670115,0.37181663837011886,0.37181663837011886,0.3338368580060423,0.3338368580060423,0.6063348416289592
Proportion_MovingWindow,0.8877551020408163,0.8877551020408163,0.9124866595517609,0.9124866595517609,1.0,1.0,0.38527765820060267,0.38527765820060267,0.38024586689275114,0.38024586689275114,0.3429003021148036,0.3429003021148036,0.5903083700440529
Proportion_MovingWindow+,0.8877551020408163,0.8877551020408163,0.9124866595517609,0.9124866595517609,1.0,1.0,0.38527765820060267,0.38527765820060267,0.38024586689275114,0.38024586689275114,0.3429003021148036,0.3429003021148036,0.5903083700440529
SZZ_B,0.39750752041254833,0.39750752041254833,0.37553832902670115,0.37553832902670115,0.38527765820060267,0.38527765820060267,1.0,1.0,0.9538590604026845,0.9538590604026845,0.872356495468278,0.872356495468278,0.23203463203463204
SZZ_B+,0.39750752041254833,0.39750752041254833,0.37553832902670115,0.37553832902670115,0.38527765820060267,0.38527765820060267,1.0,1.0,0.9538590604026845,0.9538590604026845,0.872356495468278,0.872356495468278,0.23203463203463204
SZZ_RA,0.39584217225286383,0.39584217225286383,0.37181663837011886,0.37181663837011886,0.38024586689275114,0.38024586689275114,0.9538590604026845,0.9538590604026845,1.0,1.0,0.8704605016847623,0.8704605016847623,0.2277564921243082
SZZ_RA+,0.39584217225286383,0.39584217225286383,0.37181663837011886,0.37181663837011886,0.38024586689275114,0.38024586689275114,0.9538590604026845,0.9538590604026845,1.0,1.0,0.8704605016847623,0.8704605016847623,0.2277564921243082
SZZ_U,0.3557401812688822,0.3557401812688822,0.3338368580060423,0.3338368580060423,0.3429003021148036,0.3429003021148036,0.872356495468278,0.872356495468278,0.8704605016847623,0.8704605016847623,1.0,1.0,0.20241691842900303
SZZ_U+,0.3557401812688822,0.3557401812688822,0.3338368580060423,0.3338368580060423,0.3429003021148036,0.3429003021148036,0.872356495468278,0.872356495468278,0.8704605016847623,0.8704605016847623,1.0,1.0,0.20241691842900303
Simple,0.5690021231422505,0.5690021231422505,0.6063348416289592,0.6063348416289592,0.5903083700440529,0.5903083700440529,0.23203463203463204,0.23203463203463204,0.2277564921243082,0.2277564921243082,0.20241691842900303,0.20241691842900303,1.0
