 ,Proportion_ColdStart,Proportion_ColdStart+,Proportion_Increment,Proportion_Increment+,Proportion_MovingWindow,Proportion_MovingWindow+,SZZ_B,SZZ_B+,SZZ_RA,SZZ_RA+,SZZ_U,SZZ_U+,Simple
Proportion_ColdStart,1.0,1.0,0.8837075417386299,0.8837075417386299,0.8925861062463515,0.8925861062463515,0.33215234720992026,0.33436669619131976,0.3365470852017937,0.3365470852017937,0.3283486434522538,0.3283486434522538,0.468445022771633
Proportion_ColdStart+,1.0,1.0,0.8837075417386299,0.8837075417386299,0.8925861062463515,0.8925861062463515,0.33215234720992026,0.33436669619131976,0.3365470852017937,0.3365470852017937,0.3283486434522538,0.3283486434522538,0.468445022771633
Proportion_Increment,0.8837075417386299,0.8837075417386299,1.0,1.0,0.8484685652874798,0.8484685652874798,0.3741707209199469,0.37638213180008845,0.37908643081056875,0.37908643081056875,0.3706472975859859,0.3706472975859859,0.414985590778098
Proportion_Increment+,0.8837075417386299,0.8837075417386299,1.0,1.0,0.8484685652874798,0.8484685652874798,0.3741707209199469,0.37638213180008845,0.37908643081056875,0.37908643081056875,0.3706472975859859,0.3706472975859859,0.414985590778098
Proportion_MovingWindow,0.8925861062463515,0.8925861062463515,0.8484685652874798,0.8484685652874798,1.0,1.0,0.368141592920354,0.37035398230088495,0.37298387096774194,0.37298387096774194,0.36423841059602646,0.36423841059602646,0.4222873900293255
Proportion_MovingWindow+,0.8925861062463515,0.8925861062463515,0.8484685652874798,0.8484685652874798,1.0,1.0,0.368141592920354,0.37035398230088495,0.37298387096774194,0.37298387096774194,0.36423841059602646,0.36423841059602646,0.4222873900293255
SZZ_B,0.33215234720992026,0.33215234720992026,0.3741707209199469,0.3741707209199469,0.368141592920354,0.368141592920354,1.0,0.9977723323680107,0.9788841964881084,0.9788841964881084,0.9560111039931668,0.9560111039931668,0.1581644018712408
SZZ_B+,0.33436669619131976,0.33436669619131976,0.37638213180008845,0.37638213180008845,0.37035398230088495,0.37035398230088495,0.9977723323680107,1.0,0.978029294274301,0.978029294274301,0.9581464872944694,0.9581464872944694,0.16039206950323012
SZZ_RA,0.3365470852017937,0.3365470852017937,0.37908643081056875,0.37908643081056875,0.37298387096774194,0.37298387096774194,0.9788841964881084,0.978029294274301,1.0,1.0,0.9438514090520922,0.9438514090520922,0.1603879990976765
SZZ_RA+,0.3365470852017937,0.3365470852017937,0.37908643081056875,0.37908643081056875,0.37298387096774194,0.37298387096774194,0.9788841964881084,0.978029294274301,1.0,1.0,0.9438514090520922,0.9438514090520922,0.1603879990976765
SZZ_U,0.3283486434522538,0.3283486434522538,0.3706472975859859,0.3706472975859859,0.36423841059602646,0.36423841059602646,0.9560111039931668,0.9581464872944694,0.9438514090520922,0.9438514090520922,1.0,1.0,0.15381328775902586
SZZ_U+,0.3283486434522538,0.3283486434522538,0.3706472975859859,0.3706472975859859,0.36423841059602646,0.36423841059602646,0.9560111039931668,0.9581464872944694,0.9438514090520922,0.9438514090520922,1.0,1.0,0.15381328775902586
Simple,0.468445022771633,0.468445022771633,0.414985590778098,0.414985590778098,0.4222873900293255,0.4222873900293255,0.1581644018712408,0.16039206950323012,0.1603879990976765,0.1603879990976765,0.15381328775902586,0.15381328775902586,1.0
