version,class
1.1.4,modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java
1.1.4,modules/core/src/main/java/org/apache/ignite/internal/GridKernalContext.java
1.1.4,modules/core/src/main/java/org/apache/ignite/internal/GridLoggerProxy.java
1.1.4,modules/core/src/main/java/org/apache/ignite/internal/IgniteKernal.java
1.1.4,modules/core/src/main/java/org/apache/ignite/internal/MarshallerContextImpl.java
1.1.4,modules/core/src/main/java/org/apache/ignite/internal/managers/communication/GridIoManager.java
1.1.4,modules/core/src/main/java/org/apache/ignite/internal/processors/cache/DynamicCacheDescriptor.java
1.1.4,modules/core/src/main/java/org/apache/ignite/internal/processors/cache/GridCacheAdapter.java
1.1.4,modules/core/src/main/java/org/apache/ignite/internal/processors/cache/GridCacheProcessor.java
1.1.4,modules/core/src/main/java/org/apache/ignite/internal/processors/cache/GridCacheUtils.java
1.1.4,modules/core/src/main/java/org/apache/ignite/internal/processors/cache/IgniteCacheProxy.java
1.1.4,modules/core/src/main/java/org/apache/ignite/internal/processors/cache/distributed/GridDistributedCacheEntry.java
1.1.4,modules/core/src/main/java/org/apache/ignite/internal/processors/cache/distributed/GridDistributedTxRemoteAdapter.java
1.1.4,modules/core/src/main/java/org/apache/ignite/internal/processors/cache/distributed/dht/GridDhtLocalPartition.java
1.1.4,modules/core/src/main/java/org/apache/ignite/internal/processors/cache/distributed/dht/GridDhtPartitionTopologyImpl.java
1.1.4,modules/core/src/main/java/org/apache/ignite/internal/processors/cache/distributed/dht/GridDhtTxFinishFuture.java
1.1.4,modules/core/src/main/java/org/apache/ignite/internal/processors/cache/distributed/dht/GridDhtTxPrepareFuture.java
1.1.4,modules/core/src/main/java/org/apache/ignite/internal/processors/cache/distributed/dht/GridDhtTxPrepareResponse.java
1.1.4,modules/core/src/main/java/org/apache/ignite/internal/processors/cache/distributed/dht/atomic/GridDhtAtomicUpdateRequest.java
1.1.4,modules/core/src/main/java/org/apache/ignite/internal/processors/cache/distributed/dht/preloader/GridDhtPartitionsExchangeFuture.java
1.1.4,modules/core/src/main/java/org/apache/ignite/internal/processors/cache/distributed/near/GridNearGetFuture.java
1.1.4,modules/core/src/main/java/org/apache/ignite/internal/processors/cache/distributed/near/GridNearLockFuture.java
1.1.4,modules/core/src/main/java/org/apache/ignite/internal/processors/cache/distributed/near/GridNearOptimisticTxPrepareFuture.java
1.1.4,modules/core/src/main/java/org/apache/ignite/internal/processors/cache/query/GridCacheQueryAdapter.java
1.1.4,modules/core/src/main/java/org/apache/ignite/internal/processors/cache/query/GridCacheQueryFutureAdapter.java
1.1.4,modules/core/src/main/java/org/apache/ignite/internal/processors/cache/query/GridCacheQueryManager.java
1.1.4,modules/core/src/main/java/org/apache/ignite/internal/processors/cache/query/GridCacheSqlQuery.java
1.1.4,modules/core/src/main/java/org/apache/ignite/internal/processors/cache/query/continuous/CacheContinuousQueryManager.java
1.1.4,modules/core/src/main/java/org/apache/ignite/internal/processors/cache/transactions/IgniteTxAdapter.java
1.1.4,modules/core/src/main/java/org/apache/ignite/internal/processors/cache/transactions/IgniteTxLocalAdapter.java
1.1.4,modules/core/src/main/java/org/apache/ignite/internal/processors/continuous/GridContinuousProcessor.java
1.1.4,modules/core/src/main/java/org/apache/ignite/internal/processors/datastructures/DataStructuresProcessor.java
1.1.4,modules/core/src/main/java/org/apache/ignite/internal/processors/datastructures/GridCacheAtomicSequenceImpl.java
1.1.4,modules/core/src/main/java/org/apache/ignite/internal/processors/datastructures/GridCacheCountDownLatchImpl.java
1.1.4,modules/core/src/main/java/org/apache/ignite/internal/processors/igfs/IgfsImpl.java
1.1.4,modules/core/src/main/java/org/apache/ignite/internal/processors/igfs/IgfsMetaManager.java
1.1.4,modules/core/src/main/java/org/apache/ignite/internal/processors/job/GridJobWorker.java
1.1.4,modules/core/src/main/java/org/apache/ignite/internal/processors/task/GridTaskWorker.java
1.1.4,modules/core/src/main/java/org/apache/ignite/internal/util/GridLogThrottle.java
1.1.4,modules/core/src/main/java/org/apache/ignite/internal/util/GridLongList.java
1.1.4,modules/core/src/main/java/org/apache/ignite/internal/util/IgniteUtils.java
1.1.4,modules/core/src/main/java/org/apache/ignite/internal/util/future/GridFutureAdapter.java
1.1.4,modules/core/src/main/java/org/apache/ignite/internal/util/future/IgniteFutureImpl.java
1.1.4,modules/core/src/main/java/org/apache/ignite/internal/util/lang/GridFunc.java
1.1.4,modules/core/src/main/java/org/apache/ignite/internal/util/nio/GridNioMessageTracker.java
1.1.4,modules/core/src/main/java/org/apache/ignite/spi/communication/tcp/TcpCommunicationSpi.java
1.1.4,modules/core/src/main/java/org/apache/ignite/spi/discovery/tcp/ClientImpl.java
1.1.4,modules/core/src/main/java/org/apache/ignite/spi/discovery/tcp/ServerImpl.java
1.1.4,modules/core/src/main/java/org/apache/ignite/spi/discovery/tcp/TcpDiscoveryImpl.java
1.1.4,modules/core/src/main/java/org/apache/ignite/spi/discovery/tcp/internal/TcpDiscoveryNodesRing.java
1.1.4,modules/core/src/main/java/org/apache/ignite/spi/discovery/tcp/messages/TcpDiscoveryNodeAddedMessage.java
1.1.4,modules/indexing/src/main/java/org/apache/ignite/internal/processors/query/h2/IgniteH2Indexing.java
1.1.4,modules/indexing/src/main/java/org/apache/ignite/internal/processors/query/h2/opt/GridH2IndexBase.java
1.1.4,modules/indexing/src/main/java/org/apache/ignite/internal/processors/query/h2/sql/GridSqlQuerySplitter.java
1.1.4,modules/indexing/src/main/java/org/apache/ignite/internal/processors/query/h2/twostep/GridMapQueryExecutor.java
1.1.4,modules/jta/src/main/java/org/apache/ignite/internal/processors/cache/jta/CacheJtaManager.java
1.1.4,modules/jta/src/main/java/org/apache/ignite/internal/processors/cache/jta/GridCacheXAResource.java
1.1.4,modules/schema-import/src/main/java/org/apache/ignite/schema/generator/CodeGenerator.java
1.1.4,modules/schema-import/src/main/java/org/apache/ignite/schema/model/PojoDescriptor.java
1.1.4,modules/schema-import/src/main/java/org/apache/ignite/schema/parser/dialect/DatabaseMetadataDialect.java
1.1.4,modules/schema-import/src/main/java/org/apache/ignite/schema/parser/dialect/JdbcMetadataDialect.java
1.1.4,modules/schema-import/src/main/java/org/apache/ignite/schema/parser/dialect/OracleMetadataDialect.java
1.1.4,modules/schema-import/src/main/java/org/apache/ignite/schema/ui/SchemaImportApp.java
1.4.0,modules/aws/src/main/java/org/apache/ignite/spi/discovery/tcp/ipfinder/s3/TcpDiscoveryS3IpFinder.java
1.4.0,modules/core/src/main/java/org/apache/ignite/cache/eviction/fifo/FifoEvictionPolicy.java
1.4.0,modules/core/src/main/java/org/apache/ignite/cache/eviction/sorted/SortedEvictionPolicy.java
1.4.0,modules/core/src/main/java/org/apache/ignite/cache/store/jdbc/CacheAbstractJdbcStore.java
1.4.0,modules/core/src/main/java/org/apache/ignite/cache/store/jdbc/CacheJdbcPojoStore.java
1.4.0,modules/core/src/main/java/org/apache/ignite/cache/store/jdbc/dialect/BasicJdbcDialect.java
1.4.0,modules/core/src/main/java/org/apache/ignite/cache/store/jdbc/dialect/SQLServerDialect.java
1.4.0,modules/core/src/main/java/org/apache/ignite/configuration/CacheConfiguration.java
1.4.0,modules/core/src/main/java/org/apache/ignite/configuration/FileSystemConfiguration.java
1.4.0,modules/core/src/main/java/org/apache/ignite/configuration/IgniteReflectionFactory.java
1.4.0,modules/core/src/main/java/org/apache/ignite/configuration/TransactionConfiguration.java
1.4.0,modules/core/src/main/java/org/apache/ignite/internal/ClusterMetricsSnapshot.java
1.4.0,modules/core/src/main/java/org/apache/ignite/internal/GridTaskSessionImpl.java
1.4.0,modules/core/src/main/java/org/apache/ignite/internal/IgniteVersionUtils.java
1.4.0,modules/core/src/main/java/org/apache/ignite/internal/client/impl/connection/GridClientTopology.java
1.4.0,modules/core/src/main/java/org/apache/ignite/internal/direct/DirectMessageWriter.java
1.4.0,modules/core/src/main/java/org/apache/ignite/internal/managers/loadbalancer/GridLoadBalancerManager.java
1.4.0,modules/core/src/main/java/org/apache/ignite/internal/portable/PortableClassDescriptor.java
1.4.0,modules/core/src/main/java/org/apache/ignite/internal/portable/PortableContext.java
1.4.0,modules/core/src/main/java/org/apache/ignite/internal/portable/PortableUtils.java
1.4.0,modules/core/src/main/java/org/apache/ignite/internal/portable/builder/PortableBuilderEnum.java
1.4.0,modules/core/src/main/java/org/apache/ignite/internal/portable/builder/PortableBuilderReader.java
1.4.0,modules/core/src/main/java/org/apache/ignite/internal/portable/builder/PortableBuilderSerializer.java
1.4.0,modules/core/src/main/java/org/apache/ignite/internal/processors/cache/CacheLockImpl.java
1.4.0,modules/core/src/main/java/org/apache/ignite/internal/processors/cache/CacheStoreBalancingWrapper.java
1.4.0,modules/core/src/main/java/org/apache/ignite/internal/processors/cache/GridCacheAdapter.java
1.4.0,modules/core/src/main/java/org/apache/ignite/internal/processors/cache/GridCacheTtlManager.java
1.4.0,modules/core/src/main/java/org/apache/ignite/internal/processors/cache/GridCacheUtils.java
1.4.0,modules/core/src/main/java/org/apache/ignite/internal/processors/cache/IgniteCacheProxy.java
1.4.0,modules/core/src/main/java/org/apache/ignite/internal/processors/cache/QueryCursorImpl.java
1.4.0,modules/core/src/main/java/org/apache/ignite/internal/processors/cache/datastructures/CacheDataStructuresManager.java
1.4.0,modules/core/src/main/java/org/apache/ignite/internal/processors/cache/distributed/dht/GridDhtLocalPartition.java
1.4.0,modules/core/src/main/java/org/apache/ignite/internal/processors/cache/distributed/dht/GridDhtTxPrepareFuture.java
1.4.0,modules/core/src/main/java/org/apache/ignite/internal/processors/cache/distributed/dht/colocated/GridDhtColocatedLockFuture.java
