version	class
1.1.4	modules/codegen/src/main/java/org/apache/ignite/codegen/MessageCodeGenerator.java
1.1.4	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java
1.1.4	modules/core/src/main/java/org/apache/ignite/configuration/CacheConfiguration.java
1.1.4	modules/core/src/main/java/org/apache/ignite/configuration/TransactionConfiguration.java
1.1.4	modules/core/src/main/java/org/apache/ignite/internal/GridJobCancelRequest.java
1.1.4	modules/core/src/main/java/org/apache/ignite/internal/GridJobExecuteRequest.java
1.1.4	modules/core/src/main/java/org/apache/ignite/internal/GridJobExecuteResponse.java
1.1.4	modules/core/src/main/java/org/apache/ignite/internal/GridJobSiblingsRequest.java
1.1.4	modules/core/src/main/java/org/apache/ignite/internal/GridJobSiblingsResponse.java
1.1.4	modules/core/src/main/java/org/apache/ignite/internal/GridKernalContext.java
1.1.4	modules/core/src/main/java/org/apache/ignite/internal/GridKernalContextImpl.java
1.1.4	modules/core/src/main/java/org/apache/ignite/internal/GridLoggerProxy.java
1.1.4	modules/core/src/main/java/org/apache/ignite/internal/GridTaskCancelRequest.java
1.1.4	modules/core/src/main/java/org/apache/ignite/internal/GridTaskSessionRequest.java
1.1.4	modules/core/src/main/java/org/apache/ignite/internal/IgniteInternalFuture.java
1.1.4	modules/core/src/main/java/org/apache/ignite/internal/IgniteKernal.java
1.1.4	modules/core/src/main/java/org/apache/ignite/internal/IgnitionEx.java
1.1.4	modules/core/src/main/java/org/apache/ignite/internal/MarshallerContextImpl.java
1.1.4	modules/core/src/main/java/org/apache/ignite/internal/direct/DirectByteBufferStream.java
1.1.4	modules/core/src/main/java/org/apache/ignite/internal/direct/DirectMessageReader.java
1.1.4	modules/core/src/main/java/org/apache/ignite/internal/executor/GridExecutorService.java
1.1.4	modules/core/src/main/java/org/apache/ignite/internal/managers/checkpoint/GridCheckpointRequest.java
1.1.4	modules/core/src/main/java/org/apache/ignite/internal/managers/communication/GridIoManager.java
1.1.4	modules/core/src/main/java/org/apache/ignite/internal/managers/communication/GridIoMessage.java
1.1.4	modules/core/src/main/java/org/apache/ignite/internal/managers/communication/GridIoUserMessage.java
1.1.4	modules/core/src/main/java/org/apache/ignite/internal/managers/deployment/GridDeploymentInfoBean.java
1.1.4	modules/core/src/main/java/org/apache/ignite/internal/managers/deployment/GridDeploymentRequest.java
1.1.4	modules/core/src/main/java/org/apache/ignite/internal/managers/deployment/GridDeploymentResponse.java
1.1.4	modules/core/src/main/java/org/apache/ignite/internal/managers/deployment/GridDeploymentStoreAdapter.java
1.1.4	modules/core/src/main/java/org/apache/ignite/internal/managers/eventstorage/GridEventStorageMessage.java
1.1.4	modules/core/src/main/java/org/apache/ignite/internal/portable/PortableContext.java
1.1.4	modules/core/src/main/java/org/apache/ignite/internal/processors/affinity/AffinityTopologyVersion.java
1.1.4	modules/core/src/main/java/org/apache/ignite/internal/processors/cache/CacheEntryInfoCollection.java
1.1.4	modules/core/src/main/java/org/apache/ignite/internal/processors/cache/CacheEntryPredicateAdapter.java
1.1.4	modules/core/src/main/java/org/apache/ignite/internal/processors/cache/CacheEntryPredicateContainsValue.java
1.1.4	modules/core/src/main/java/org/apache/ignite/internal/processors/cache/CacheEntrySerializablePredicate.java
1.1.4	modules/core/src/main/java/org/apache/ignite/internal/processors/cache/CacheEvictionEntry.java
1.1.4	modules/core/src/main/java/org/apache/ignite/internal/processors/cache/CacheInvokeDirectResult.java
1.1.4	modules/core/src/main/java/org/apache/ignite/internal/processors/cache/CacheObjectAdapter.java
1.1.4	modules/core/src/main/java/org/apache/ignite/internal/processors/cache/CacheObjectByteArrayImpl.java
1.1.4	modules/core/src/main/java/org/apache/ignite/internal/processors/cache/DynamicCacheDescriptor.java
1.1.4	modules/core/src/main/java/org/apache/ignite/internal/processors/cache/GridCacheAdapter.java
1.1.4	modules/core/src/main/java/org/apache/ignite/internal/processors/cache/GridCacheClearAllRunnable.java
1.1.4	modules/core/src/main/java/org/apache/ignite/internal/processors/cache/GridCacheContext.java
1.1.4	modules/core/src/main/java/org/apache/ignite/internal/processors/cache/GridCacheEntryInfo.java
1.1.4	modules/core/src/main/java/org/apache/ignite/internal/processors/cache/GridCacheEvictionRequest.java
1.1.4	modules/core/src/main/java/org/apache/ignite/internal/processors/cache/GridCacheEvictionResponse.java
1.1.4	modules/core/src/main/java/org/apache/ignite/internal/processors/cache/GridCacheIoManager.java
1.1.4	modules/core/src/main/java/org/apache/ignite/internal/processors/cache/GridCacheLoaderWriterStoreFactory.java
1.1.4	modules/core/src/main/java/org/apache/ignite/internal/processors/cache/GridCacheLogger.java
1.1.4	modules/core/src/main/java/org/apache/ignite/internal/processors/cache/GridCacheMapEntry.java
1.1.4	modules/core/src/main/java/org/apache/ignite/internal/processors/cache/GridCacheMessage.java
1.1.4	modules/core/src/main/java/org/apache/ignite/internal/processors/cache/GridCacheMvcc.java
1.1.4	modules/core/src/main/java/org/apache/ignite/internal/processors/cache/GridCachePartitionExchangeManager.java
1.1.4	modules/core/src/main/java/org/apache/ignite/internal/processors/cache/GridCacheProcessor.java
1.1.4	modules/core/src/main/java/org/apache/ignite/internal/processors/cache/GridCacheReturn.java
1.1.4	modules/core/src/main/java/org/apache/ignite/internal/processors/cache/GridCacheSharedContext.java
1.1.4	modules/core/src/main/java/org/apache/ignite/internal/processors/cache/GridCacheUtils.java
1.1.4	modules/core/src/main/java/org/apache/ignite/internal/processors/cache/IgniteCacheProxy.java
1.1.4	modules/core/src/main/java/org/apache/ignite/internal/processors/cache/IgniteCacheProxyImpl.java
1.1.4	modules/core/src/main/java/org/apache/ignite/internal/processors/cache/distributed/GridCacheTtlUpdateRequest.java
1.1.4	modules/core/src/main/java/org/apache/ignite/internal/processors/cache/distributed/GridCacheTxRecoveryFuture.java
1.1.4	modules/core/src/main/java/org/apache/ignite/internal/processors/cache/distributed/GridCacheTxRecoveryRequest.java
1.1.4	modules/core/src/main/java/org/apache/ignite/internal/processors/cache/distributed/GridCacheTxRecoveryResponse.java
1.1.4	modules/core/src/main/java/org/apache/ignite/internal/processors/cache/distributed/GridDistributedBaseMessage.java
1.1.4	modules/core/src/main/java/org/apache/ignite/internal/processors/cache/distributed/GridDistributedCacheEntry.java
1.1.4	modules/core/src/main/java/org/apache/ignite/internal/processors/cache/distributed/GridDistributedLockRequest.java
1.1.4	modules/core/src/main/java/org/apache/ignite/internal/processors/cache/distributed/GridDistributedLockResponse.java
1.1.4	modules/core/src/main/java/org/apache/ignite/internal/processors/cache/distributed/GridDistributedTxFinishRequest.java
1.1.4	modules/core/src/main/java/org/apache/ignite/internal/processors/cache/distributed/GridDistributedTxFinishResponse.java
1.1.4	modules/core/src/main/java/org/apache/ignite/internal/processors/cache/distributed/GridDistributedTxPrepareRequest.java
