version	class
karaf-2.1.5	shell/dev/src/main/java/org/apache/karaf/shell/dev/watch/BundleWatcher.java
karaf-2.1.6	shell/dev/src/main/java/org/apache/karaf/shell/dev/watch/BundleWatcher.java
karaf-2.2.0	shell/dev/src/main/java/org/apache/karaf/shell/dev/watch/BundleWatcher.java
karaf-2.2.1	shell/dev/src/main/java/org/apache/karaf/shell/dev/watch/BundleWatcher.java
karaf-2.2.2	shell/dev/src/main/java/org/apache/karaf/shell/dev/watch/BundleWatcher.java
karaf-2.2.3	shell/dev/src/main/java/org/apache/karaf/shell/dev/watch/BundleWatcher.java
karaf-2.2.4	shell/dev/src/main/java/org/apache/karaf/shell/dev/watch/BundleWatcher.java
karaf-2.2.10	tooling/karaf-maven-plugin/src/main/java/org/apache/karaf/tooling/features/GenerateDescriptorMojo.java
karaf-2.2.4	tooling/karaf-maven-plugin/src/main/java/org/apache/karaf/tooling/features/GenerateDescriptorMojo.java
karaf-2.2.5	tooling/karaf-maven-plugin/src/main/java/org/apache/karaf/tooling/features/GenerateDescriptorMojo.java
karaf-2.2.6	tooling/karaf-maven-plugin/src/main/java/org/apache/karaf/tooling/features/GenerateDescriptorMojo.java
karaf-2.2.7	tooling/karaf-maven-plugin/src/main/java/org/apache/karaf/tooling/features/GenerateDescriptorMojo.java
karaf-2.2.8	tooling/karaf-maven-plugin/src/main/java/org/apache/karaf/tooling/features/GenerateDescriptorMojo.java
karaf-2.2.9	tooling/karaf-maven-plugin/src/main/java/org/apache/karaf/tooling/features/GenerateDescriptorMojo.java
karaf-2.3.0	tooling/karaf-maven-plugin/src/main/java/org/apache/karaf/tooling/features/GenerateDescriptorMojo.java
karaf-2.3.1	tooling/karaf-maven-plugin/src/main/java/org/apache/karaf/tooling/features/GenerateDescriptorMojo.java
karaf-3.0.0.RC1	tooling/karaf-maven-plugin/src/main/java/org/apache/karaf/tooling/features/GenerateDescriptorMojo.java
karaf-2.0.0	shell/commands/src/main/java/org/apache/karaf/shell/commands/GrepAction.java
karaf-2.1.0	shell/commands/src/main/java/org/apache/karaf/shell/commands/GrepAction.java
karaf-2.1.1	shell/commands/src/main/java/org/apache/karaf/shell/commands/GrepAction.java
karaf-2.1.2	shell/commands/src/main/java/org/apache/karaf/shell/commands/GrepAction.java
karaf-2.1.3	shell/commands/src/main/java/org/apache/karaf/shell/commands/GrepAction.java
karaf-2.1.4	shell/commands/src/main/java/org/apache/karaf/shell/commands/GrepAction.java
karaf-2.1.5	shell/commands/src/main/java/org/apache/karaf/shell/commands/GrepAction.java
karaf-2.1.6	shell/commands/src/main/java/org/apache/karaf/shell/commands/GrepAction.java
karaf-2.2.0	shell/commands/src/main/java/org/apache/karaf/shell/commands/GrepAction.java
karaf-2.2.1	shell/commands/src/main/java/org/apache/karaf/shell/commands/GrepAction.java
karaf-2.2.2	shell/commands/src/main/java/org/apache/karaf/shell/commands/GrepAction.java
karaf-2.2.3	shell/commands/src/main/java/org/apache/karaf/shell/commands/GrepAction.java
karaf-2.2.4	shell/commands/src/main/java/org/apache/karaf/shell/commands/GrepAction.java
karaf-2.2.10	features/core/src/main/java/org/apache/karaf/features/internal/model/JaxbUtil.java
karaf-2.2.10	tooling/karaf-maven-plugin/src/main/java/org/apache/karaf/tooling/features/GenerateDescriptorMojo.java
karaf-2.2.4	features/core/src/main/java/org/apache/karaf/features/internal/model/JaxbUtil.java
karaf-2.2.4	tooling/karaf-maven-plugin/src/main/java/org/apache/karaf/tooling/features/GenerateDescriptorMojo.java
karaf-2.2.5	features/core/src/main/java/org/apache/karaf/features/internal/model/JaxbUtil.java
karaf-2.2.5	tooling/karaf-maven-plugin/src/main/java/org/apache/karaf/tooling/features/GenerateDescriptorMojo.java
karaf-2.2.6	features/core/src/main/java/org/apache/karaf/features/internal/model/JaxbUtil.java
karaf-2.2.6	tooling/karaf-maven-plugin/src/main/java/org/apache/karaf/tooling/features/GenerateDescriptorMojo.java
karaf-2.2.7	features/core/src/main/java/org/apache/karaf/features/internal/model/JaxbUtil.java
karaf-2.2.7	tooling/karaf-maven-plugin/src/main/java/org/apache/karaf/tooling/features/GenerateDescriptorMojo.java
karaf-2.2.8	features/core/src/main/java/org/apache/karaf/features/internal/model/JaxbUtil.java
karaf-2.2.8	tooling/karaf-maven-plugin/src/main/java/org/apache/karaf/tooling/features/GenerateDescriptorMojo.java
karaf-2.2.9	features/core/src/main/java/org/apache/karaf/features/internal/model/JaxbUtil.java
karaf-2.2.9	tooling/karaf-maven-plugin/src/main/java/org/apache/karaf/tooling/features/GenerateDescriptorMojo.java
karaf-2.3.0	features/core/src/main/java/org/apache/karaf/features/internal/model/JaxbUtil.java
karaf-2.3.0	tooling/karaf-maven-plugin/src/main/java/org/apache/karaf/tooling/features/GenerateDescriptorMojo.java
karaf-2.3.1	features/core/src/main/java/org/apache/karaf/features/internal/model/JaxbUtil.java
karaf-2.3.1	tooling/karaf-maven-plugin/src/main/java/org/apache/karaf/tooling/features/GenerateDescriptorMojo.java
karaf-3.0.0.RC1	features/core/src/main/java/org/apache/karaf/features/internal/model/JaxbUtil.java
karaf-3.0.0.RC1	tooling/karaf-maven-plugin/src/main/java/org/apache/karaf/tooling/features/GenerateDescriptorMojo.java
karaf-2.2.10	features/core/src/main/java/org/apache/karaf/features/internal/FeatureValidationUtil.java
karaf-2.2.4	features/core/src/main/java/org/apache/karaf/features/internal/FeatureValidationUtil.java
karaf-2.2.5	features/core/src/main/java/org/apache/karaf/features/internal/FeatureValidationUtil.java
karaf-2.2.6	features/core/src/main/java/org/apache/karaf/features/internal/FeatureValidationUtil.java
karaf-2.2.7	features/core/src/main/java/org/apache/karaf/features/internal/FeatureValidationUtil.java
karaf-2.2.8	features/core/src/main/java/org/apache/karaf/features/internal/FeatureValidationUtil.java
karaf-2.2.9	features/core/src/main/java/org/apache/karaf/features/internal/FeatureValidationUtil.java
karaf-2.3.0	features/core/src/main/java/org/apache/karaf/features/internal/FeatureValidationUtil.java
karaf-2.3.1	features/core/src/main/java/org/apache/karaf/features/internal/FeatureValidationUtil.java
karaf-3.0.0.RC1	features/core/src/main/java/org/apache/karaf/features/internal/FeatureValidationUtil.java
karaf-2.2.10	management/mbeans/config/src/main/java/org/apache/karaf/management/mbeans/config/ConfigMBean.java
karaf-2.2.10	management/mbeans/log/src/main/java/org/apache/karaf/management/mbeans/log/internal/LogMBeanImpl.java
karaf-2.2.10	management/mbeans/obr/src/main/java/org/apache/karaf/management/mbeans/obr/ObrMBean.java
karaf-2.2.10	management/mbeans/obr/src/main/java/org/apache/karaf/management/mbeans/obr/internal/ObrMBeanImpl.java
karaf-2.2.10	management/mbeans/packages/src/main/java/org/apache/karaf/management/mbeans/packages/internal/PackagesMBeanImpl.java
karaf-2.2.10	management/mbeans/services/src/main/java/org/apache/karaf/management/mbeans/services/ServicesMBean.java
karaf-2.2.4	management/mbeans/config/src/main/java/org/apache/karaf/management/mbeans/config/ConfigMBean.java
karaf-2.2.4	management/mbeans/log/src/main/java/org/apache/karaf/management/mbeans/log/internal/LogMBeanImpl.java
karaf-2.2.4	management/mbeans/obr/src/main/java/org/apache/karaf/management/mbeans/obr/ObrMBean.java
karaf-2.2.4	management/mbeans/obr/src/main/java/org/apache/karaf/management/mbeans/obr/internal/ObrMBeanImpl.java
karaf-2.2.4	management/mbeans/packages/src/main/java/org/apache/karaf/management/mbeans/packages/internal/PackagesMBeanImpl.java
karaf-2.2.4	management/mbeans/services/src/main/java/org/apache/karaf/management/mbeans/services/ServicesMBean.java
karaf-2.2.5	management/mbeans/config/src/main/java/org/apache/karaf/management/mbeans/config/ConfigMBean.java
karaf-2.2.5	management/mbeans/log/src/main/java/org/apache/karaf/management/mbeans/log/internal/LogMBeanImpl.java
karaf-2.2.5	management/mbeans/obr/src/main/java/org/apache/karaf/management/mbeans/obr/ObrMBean.java
karaf-2.2.5	management/mbeans/obr/src/main/java/org/apache/karaf/management/mbeans/obr/internal/ObrMBeanImpl.java
karaf-2.2.5	management/mbeans/packages/src/main/java/org/apache/karaf/management/mbeans/packages/internal/PackagesMBeanImpl.java
karaf-2.2.5	management/mbeans/services/src/main/java/org/apache/karaf/management/mbeans/services/ServicesMBean.java
karaf-2.2.6	management/mbeans/config/src/main/java/org/apache/karaf/management/mbeans/config/ConfigMBean.java
karaf-2.2.6	management/mbeans/log/src/main/java/org/apache/karaf/management/mbeans/log/internal/LogMBeanImpl.java
karaf-2.2.6	management/mbeans/obr/src/main/java/org/apache/karaf/management/mbeans/obr/ObrMBean.java
karaf-2.2.6	management/mbeans/obr/src/main/java/org/apache/karaf/management/mbeans/obr/internal/ObrMBeanImpl.java
karaf-2.2.6	management/mbeans/packages/src/main/java/org/apache/karaf/management/mbeans/packages/internal/PackagesMBeanImpl.java
karaf-2.2.6	management/mbeans/services/src/main/java/org/apache/karaf/management/mbeans/services/ServicesMBean.java
karaf-2.2.7	management/mbeans/config/src/main/java/org/apache/karaf/management/mbeans/config/ConfigMBean.java
karaf-2.2.7	management/mbeans/log/src/main/java/org/apache/karaf/management/mbeans/log/internal/LogMBeanImpl.java
karaf-2.2.7	management/mbeans/obr/src/main/java/org/apache/karaf/management/mbeans/obr/ObrMBean.java
karaf-2.2.7	management/mbeans/obr/src/main/java/org/apache/karaf/management/mbeans/obr/internal/ObrMBeanImpl.java
karaf-2.2.7	management/mbeans/packages/src/main/java/org/apache/karaf/management/mbeans/packages/internal/PackagesMBeanImpl.java
karaf-2.2.7	management/mbeans/services/src/main/java/org/apache/karaf/management/mbeans/services/ServicesMBean.java
karaf-2.2.8	management/mbeans/config/src/main/java/org/apache/karaf/management/mbeans/config/ConfigMBean.java
karaf-2.2.8	management/mbeans/log/src/main/java/org/apache/karaf/management/mbeans/log/internal/LogMBeanImpl.java
karaf-2.2.8	management/mbeans/obr/src/main/java/org/apache/karaf/management/mbeans/obr/ObrMBean.java
karaf-2.2.8	management/mbeans/obr/src/main/java/org/apache/karaf/management/mbeans/obr/internal/ObrMBeanImpl.java
karaf-2.2.8	management/mbeans/packages/src/main/java/org/apache/karaf/management/mbeans/packages/internal/PackagesMBeanImpl.java
karaf-2.2.8	management/mbeans/services/src/main/java/org/apache/karaf/management/mbeans/services/ServicesMBean.java
karaf-2.2.9	management/mbeans/config/src/main/java/org/apache/karaf/management/mbeans/config/ConfigMBean.java
karaf-2.2.9	management/mbeans/log/src/main/java/org/apache/karaf/management/mbeans/log/internal/LogMBeanImpl.java
karaf-2.2.9	management/mbeans/obr/src/main/java/org/apache/karaf/management/mbeans/obr/ObrMBean.java
karaf-2.2.9	management/mbeans/obr/src/main/java/org/apache/karaf/management/mbeans/obr/internal/ObrMBeanImpl.java
karaf-2.2.9	management/mbeans/packages/src/main/java/org/apache/karaf/management/mbeans/packages/internal/PackagesMBeanImpl.java
karaf-2.2.9	management/mbeans/services/src/main/java/org/apache/karaf/management/mbeans/services/ServicesMBean.java
karaf-2.3.0	management/mbeans/config/src/main/java/org/apache/karaf/management/mbeans/config/ConfigMBean.java
karaf-2.3.0	management/mbeans/log/src/main/java/org/apache/karaf/management/mbeans/log/internal/LogMBeanImpl.java
karaf-2.3.0	management/mbeans/obr/src/main/java/org/apache/karaf/management/mbeans/obr/ObrMBean.java
karaf-2.3.0	management/mbeans/obr/src/main/java/org/apache/karaf/management/mbeans/obr/internal/ObrMBeanImpl.java
karaf-2.3.0	management/mbeans/packages/src/main/java/org/apache/karaf/management/mbeans/packages/internal/PackagesMBeanImpl.java
karaf-2.3.0	management/mbeans/services/src/main/java/org/apache/karaf/management/mbeans/services/ServicesMBean.java
karaf-2.3.1	management/mbeans/config/src/main/java/org/apache/karaf/management/mbeans/config/ConfigMBean.java
karaf-2.3.1	management/mbeans/log/src/main/java/org/apache/karaf/management/mbeans/log/internal/LogMBeanImpl.java
karaf-2.3.1	management/mbeans/obr/src/main/java/org/apache/karaf/management/mbeans/obr/ObrMBean.java
karaf-2.3.1	management/mbeans/obr/src/main/java/org/apache/karaf/management/mbeans/obr/internal/ObrMBeanImpl.java
karaf-2.3.1	management/mbeans/packages/src/main/java/org/apache/karaf/management/mbeans/packages/internal/PackagesMBeanImpl.java
karaf-2.3.1	management/mbeans/services/src/main/java/org/apache/karaf/management/mbeans/services/ServicesMBean.java
karaf-3.0.0.RC1	management/mbeans/config/src/main/java/org/apache/karaf/management/mbeans/config/ConfigMBean.java
karaf-3.0.0.RC1	management/mbeans/log/src/main/java/org/apache/karaf/management/mbeans/log/internal/LogMBeanImpl.java
karaf-3.0.0.RC1	management/mbeans/obr/src/main/java/org/apache/karaf/management/mbeans/obr/ObrMBean.java
karaf-3.0.0.RC1	management/mbeans/obr/src/main/java/org/apache/karaf/management/mbeans/obr/internal/ObrMBeanImpl.java
karaf-3.0.0.RC1	management/mbeans/packages/src/main/java/org/apache/karaf/management/mbeans/packages/internal/PackagesMBeanImpl.java
karaf-3.0.0.RC1	management/mbeans/services/src/main/java/org/apache/karaf/management/mbeans/services/ServicesMBean.java
karaf-2.0.0	features/command/src/main/java/org/apache/karaf/features/command/AddUrlCommand.java
karaf-2.0.0	features/command/src/main/java/org/apache/karaf/features/command/FeaturesCommandSupport.java
karaf-2.0.0	features/command/src/main/java/org/apache/karaf/features/command/RefreshUrlCommand.java
karaf-2.1.0	features/command/src/main/java/org/apache/karaf/features/command/AddUrlCommand.java
karaf-2.1.0	features/command/src/main/java/org/apache/karaf/features/command/FeaturesCommandSupport.java
karaf-2.1.0	features/command/src/main/java/org/apache/karaf/features/command/RefreshUrlCommand.java
karaf-2.1.1	features/command/src/main/java/org/apache/karaf/features/command/AddUrlCommand.java
karaf-2.1.1	features/command/src/main/java/org/apache/karaf/features/command/FeaturesCommandSupport.java
karaf-2.1.1	features/command/src/main/java/org/apache/karaf/features/command/RefreshUrlCommand.java
karaf-2.1.2	features/command/src/main/java/org/apache/karaf/features/command/AddUrlCommand.java
karaf-2.1.2	features/command/src/main/java/org/apache/karaf/features/command/FeaturesCommandSupport.java
karaf-2.1.2	features/command/src/main/java/org/apache/karaf/features/command/RefreshUrlCommand.java
karaf-2.1.3	features/command/src/main/java/org/apache/karaf/features/command/AddUrlCommand.java
karaf-2.1.3	features/command/src/main/java/org/apache/karaf/features/command/FeaturesCommandSupport.java
karaf-2.1.3	features/command/src/main/java/org/apache/karaf/features/command/RefreshUrlCommand.java
karaf-2.1.4	features/command/src/main/java/org/apache/karaf/features/command/AddUrlCommand.java
karaf-2.1.4	features/command/src/main/java/org/apache/karaf/features/command/FeaturesCommandSupport.java
