version	class
1_1_2	api/src/main/java/javax/faces/convert/ConverterException.java
1_1_2	api/src/main/java/javax/faces/render/Renderer.java
1_1_2	api/src/main/java/javax/faces/webapp/FacesServlet.java
1_1_2	impl/src/main/java/org/apache/myfaces/application/ViewHandlerImpl.java
1_1_2	impl/src/main/java/org/apache/myfaces/config/FacesConfigValidator.java
1_1_2	impl/src/main/java/org/apache/myfaces/config/impl/FacesConfigEntityResolver.java
1_1_2	impl/src/main/java/org/apache/myfaces/config/impl/digester/DigesterFacesConfigDispenserImpl.java
1_1_2	impl/src/main/java/org/apache/myfaces/config/impl/digester/DigesterFacesConfigUnmarshallerImpl.java
1_1_2	impl/src/main/java/org/apache/myfaces/context/servlet/ServletFacesContextImpl.java
1_1_2	impl/src/main/java/org/apache/myfaces/el/PropertyResolverImpl.java
1_1_2	impl/src/main/java/org/apache/myfaces/taglib/core/SelectItemsTag.java
1_1_2	impl/src/main/java/org/apache/myfaces/view/facelets/FaceletViewDeclarationLanguage.java
1_1_3	impl/src/main/java/org/apache/myfaces/config/impl/digester/DigesterFacesConfigDispenserImpl.java
1_1_3	impl/src/main/java/org/apache/myfaces/el/PropertyResolverImpl.java
1_1_4	api/src/main/java/javax/faces/convert/ConverterException.java
1_1_4	api/src/main/java/javax/faces/render/Renderer.java
1_1_4	api/src/main/java/javax/faces/webapp/FacesServlet.java
1_1_4	impl/src/main/java/org/apache/myfaces/application/ViewHandlerImpl.java
1_1_4	impl/src/main/java/org/apache/myfaces/config/impl/FacesConfigEntityResolver.java
1_1_4	impl/src/main/java/org/apache/myfaces/config/impl/digester/DigesterFacesConfigUnmarshallerImpl.java
1_1_4	impl/src/main/java/org/apache/myfaces/taglib/core/ActionListenerTag.java
1_1_4	impl/src/main/java/org/apache/myfaces/taglib/core/SelectItemsTag.java
1_1_4	impl/src/main/java/org/apache/myfaces/view/facelets/FaceletViewDeclarationLanguage.java
1_1_5	api/src/main/java-templates/javax/faces/component/UIDataTemplate.java
1_1_5	api/src/main/java/javax/faces/component/_SharedRendererUtils.java
1_1_5	api/src/main/java/javax/faces/convert/ConverterException.java
1_1_5	api/src/main/java/javax/faces/convert/NumberConverter.java
1_1_5	api/src/main/java/javax/faces/render/Renderer.java
1_1_5	api/src/main/java/javax/faces/webapp/ConverterTag.java
