version,class
myfaces-core-project-1.1.10,api/src/main/java/javax/faces/component/UIInput.java
myfaces-core-project-1.1.10,api/src/main/java/javax/faces/component/UIViewRoot.java
myfaces-core-project-1.1.10,api/src/main/java/javax/faces/component/_ComponentAttributesMap.java
myfaces-core-project-1.1.10,api/src/main/java/javax/faces/webapp/FacesServlet.java
myfaces-core-project-1.1.10,impl/src/main/java/org/apache/myfaces/config/FacesConfigurator.java
myfaces-core-project-1.1.10,impl/src/main/java/org/apache/myfaces/lifecycle/LifecycleImpl.java
myfaces-core-project-1.1.10,impl/src/main/java/org/apache/myfaces/taglib/core/ViewTag.java
myfaces-core-project-1.1.10,impl/src/main/java/org/apache/myfaces/util/DebugUtils.java
1_1_2,api/src/main/java/javax/faces/convert/ConverterException.java
1_1_2,api/src/main/java/javax/faces/render/Renderer.java
1_1_2,api/src/main/java/javax/faces/webapp/FacesServlet.java
1_1_2,impl/src/main/java/org/apache/myfaces/config/FacesConfigValidator.java
1_1_2,impl/src/main/java/org/apache/myfaces/config/impl/FacesConfigEntityResolver.java
1_1_2,impl/src/main/java/org/apache/myfaces/config/impl/digester/DigesterFacesConfigDispenserImpl.java
1_1_2,impl/src/main/java/org/apache/myfaces/context/servlet/ServletFacesContextImpl.java
1_1_2,impl/src/main/java/org/apache/myfaces/el/PropertyResolverImpl.java
1_1_2,impl/src/main/java/org/apache/myfaces/taglib/core/SelectItemsTag.java
1_1_3,impl/src/main/java/org/apache/myfaces/config/impl/digester/DigesterFacesConfigDispenserImpl.java
1_1_3,impl/src/main/java/org/apache/myfaces/el/PropertyResolverImpl.java
1_1_4,api/src/main/java/javax/faces/convert/ConverterException.java
1_1_4,api/src/main/java/javax/faces/render/Renderer.java
1_1_4,api/src/main/java/javax/faces/webapp/FacesServlet.java
1_1_4,impl/src/main/java/org/apache/myfaces/config/impl/FacesConfigEntityResolver.java
1_1_4,impl/src/main/java/org/apache/myfaces/taglib/core/ActionListenerTag.java
1_1_4,impl/src/main/java/org/apache/myfaces/taglib/core/SelectItemsTag.java
1_1_5,api/src/main/java-templates/javax/faces/component/UIDataTemplate.java
1_1_5,api/src/main/java/javax/faces/component/_SharedRendererUtils.java
1_1_5,api/src/main/java/javax/faces/convert/ConverterException.java
1_1_5,api/src/main/java/javax/faces/convert/NumberConverter.java
1_1_5,api/src/main/java/javax/faces/render/Renderer.java
1_1_5,api/src/main/java/javax/faces/webapp/UIComponentClassicTagBase.java
1_1_5,impl/src/main/java/org/apache/myfaces/application/ApplicationImpl.java
1_1_5,impl/src/main/java/org/apache/myfaces/application/jsp/JspStateManagerImpl.java
1_1_5,impl/src/main/java/org/apache/myfaces/application/jsp/JspViewHandlerImpl.java
1_1_5,impl/src/main/java/org/apache/myfaces/application/jsp/ViewResponseWrapper.java
1_1_5,impl/src/main/java/org/apache/myfaces/config/impl/FacesConfigEntityResolver.java
1_1_5,impl/src/main/java/org/apache/myfaces/config/impl/digester/DigesterFacesConfigDispenserImpl.java
1_1_5,impl/src/main/java/org/apache/myfaces/el/PropertyResolverImpl.java
1_1_5,impl/src/main/java/org/apache/myfaces/el/convert/MethodExpressionToMethodBinding.java
1_1_5,impl/src/main/java/org/apache/myfaces/el/unified/resolver/ManagedBeanResolver.java
1_1_5,impl/src/main/java/org/apache/myfaces/el/unified/resolver/ResourceBundleResolver.java
1_1_5,impl/src/main/java/org/apache/myfaces/el/unified/resolver/implicitobject/ImplicitObjectResolver.java
1_1_5,impl/src/main/java/org/apache/myfaces/taglib/core/ConverterTag.java
1_1_5,impl/src/main/java/org/apache/myfaces/taglib/core/SelectItemsTag.java
1_2_0,api/src/main/java-templates/javax/faces/component/UIDataTemplate.java
1_2_0,api/src/main/java-templates/javax/faces/component/UIInputTemplate.java
1_2_0,api/src/main/java/javax/faces/FactoryFinder.java
1_2_0,api/src/main/java/javax/faces/application/Application.java
1_2_0,api/src/main/java/javax/faces/application/StateManager.java
1_2_0,api/src/main/java/javax/faces/component/UIComponent.java
1_2_0,api/src/main/java/javax/faces/component/_SelectItemsIterator.java
1_2_0,api/src/main/java/javax/faces/component/_SharedRendererUtils.java
1_2_0,api/src/main/java/javax/faces/context/ExternalContext.java
1_2_0,api/src/main/java/javax/faces/convert/ConverterException.java
1_2_0,api/src/main/java/javax/faces/convert/DateTimeConverter.java
1_2_0,api/src/main/java/javax/faces/convert/EnumConverter.java
1_2_0,api/src/main/java/javax/faces/convert/NumberConverter.java
1_2_0,api/src/main/java/javax/faces/convert/_MessageUtils.java
1_2_0,api/src/main/java/javax/faces/event/MethodExpressionActionListener.java
1_2_0,api/src/main/java/javax/faces/model/SelectItem.java
1_2_0,api/src/main/java/javax/faces/render/Renderer.java
1_2_0,api/src/main/java/javax/faces/render/ResponseStateManager.java
1_2_0,api/src/main/java/javax/faces/validator/LengthValidator.java
1_2_0,api/src/main/java/javax/faces/validator/MethodExpressionValidator.java
1_2_0,api/src/main/java/javax/faces/validator/_MessageUtils.java
1_2_0,api/src/main/java/javax/faces/webapp/FacesServlet.java
1_2_0,api/src/main/java/javax/faces/webapp/UIComponentClassicTagBase.java
1_2_0,api/src/main/java/javax/faces/webapp/UIComponentTag.java
1_2_0,impl/src/main/java/org/apache/myfaces/application/ApplicationImpl.java
1_2_0,impl/src/main/java/org/apache/myfaces/application/DefaultViewHandlerSupport.java
1_2_0,impl/src/main/java/org/apache/myfaces/application/NavigationHandlerImpl.java
1_2_0,impl/src/main/java/org/apache/myfaces/application/jsp/JspViewHandlerImpl.java
1_2_0,impl/src/main/java/org/apache/myfaces/application/jsp/ViewResponseWrapper.java
1_2_0,impl/src/main/java/org/apache/myfaces/config/annotation/DefaultLifecycleProviderFactory.java
1_2_0,impl/src/main/java/org/apache/myfaces/config/annotation/NoInjectionAnnotationLifecycleProvider.java
1_2_0,impl/src/main/java/org/apache/myfaces/config/impl/FacesConfigEntityResolver.java
1_2_0,impl/src/main/java/org/apache/myfaces/config/impl/digester/DigesterFacesConfigDispenserImpl.java
1_2_0,impl/src/main/java/org/apache/myfaces/context/FacesContextFactoryImpl.java
1_2_0,impl/src/main/java/org/apache/myfaces/context/servlet/ServletExternalContextImpl.java
1_2_0,impl/src/main/java/org/apache/myfaces/el/convert/PropertyResolverToELResolver.java
1_2_0,impl/src/main/java/org/apache/myfaces/el/unified/resolver/ScopedAttributeResolver.java
1_2_0,impl/src/main/java/org/apache/myfaces/event/SetPropertyActionListener.java
1_2_0,impl/src/main/java/org/apache/myfaces/lifecycle/DefaultRestoreViewSupport.java
1_2_0,impl/src/main/java/org/apache/myfaces/lifecycle/RestoreViewExecutor.java
1_2_0,impl/src/main/java/org/apache/myfaces/renderkit/html/HtmlResponseStateManager.java
1_2_0,impl/src/main/java/org/apache/myfaces/taglib/core/ActionListenerTag.java
1_2_0,impl/src/main/java/org/apache/myfaces/taglib/core/GenericListenerTag.java
1_2_0,impl/src/main/java/org/apache/myfaces/taglib/core/ValidateLengthTag.java
1_2_2,api/src/main/java/javax/faces/FactoryFinder.java
1_2_2,api/src/main/java/javax/faces/application/Application.java
1_2_2,api/src/main/java/javax/faces/application/StateManager.java
1_2_2,api/src/main/java/javax/faces/component/UIComponentBase.java
1_2_2,api/src/main/java/javax/faces/component/_SelectItemsIterator.java
1_2_2,api/src/main/java/javax/faces/component/_SharedRendererUtils.java
1_2_2,api/src/main/java/javax/faces/context/ExternalContext.java
1_2_2,api/src/main/java/javax/faces/convert/ConverterException.java
1_2_2,api/src/main/java/javax/faces/convert/DateTimeConverter.java
1_2_2,api/src/main/java/javax/faces/convert/NumberConverter.java
1_2_2,api/src/main/java/javax/faces/event/MethodExpressionActionListener.java
1_2_2,api/src/main/java/javax/faces/model/SelectItem.java
1_2_2,api/src/main/java/javax/faces/validator/LengthValidator.java
1_2_2,api/src/main/java/javax/faces/webapp/UIComponentClassicTagBase.java
1_2_2,api/src/main/java/javax/faces/webapp/UIComponentTag.java
1_2_2,impl/src/main/java/org/apache/myfaces/application/ApplicationImpl.java
1_2_2,impl/src/main/java/org/apache/myfaces/application/DefaultViewHandlerSupport.java
1_2_2,impl/src/main/java/org/apache/myfaces/application/NavigationHandlerImpl.java
1_2_2,impl/src/main/java/org/apache/myfaces/application/jsp/JspStateManagerImpl.java
1_2_2,impl/src/main/java/org/apache/myfaces/application/jsp/JspViewHandlerImpl.java
1_2_2,impl/src/main/java/org/apache/myfaces/application/jsp/ViewResponseWrapper.java
1_2_2,impl/src/main/java/org/apache/myfaces/config/FacesConfigurator.java
1_2_2,impl/src/main/java/org/apache/myfaces/config/ManagedBeanBuilder.java
1_2_2,impl/src/main/java/org/apache/myfaces/config/annotation/DefaultLifecycleProviderFactory.java
1_2_2,impl/src/main/java/org/apache/myfaces/config/annotation/NoInjectionAnnotationLifecycleProvider.java
1_2_2,impl/src/main/java/org/apache/myfaces/config/impl/FacesConfigEntityResolver.java
1_2_2,impl/src/main/java/org/apache/myfaces/config/impl/digester/DigesterFacesConfigDispenserImpl.java
