version	class
0.8.0-incubating	src/main/java/org/apache/pdfbox/cos/COSInteger.java
0.8.0-incubating	src/main/java/org/apache/pdfbox/cos/COSNumber.java
0.8.0-incubating	src/main/java/org/apache/pdfbox/pdfparser/BaseParser.java
0.8.0-incubating	src/main/java/org/apache/pdfbox/pdfparser/PDFXrefStreamParser.java
0.8.0-incubating	src/main/java/org/apache/pdfbox/pdfviewer/PageDrawer.java
0.8.0-incubating	src/main/java/org/apache/pdfbox/pdmodel/PDDocument.java
0.8.0-incubating	src/main/java/org/apache/pdfbox/pdmodel/PDDocumentCatalog.java
0.8.0-incubating	src/main/java/org/apache/pdfbox/pdmodel/PDPageNode.java
0.8.0-incubating	src/main/java/org/apache/pdfbox/pdmodel/documentinterchange/prepress/PDBoxStyle.java
0.8.0-incubating	src/main/java/org/apache/pdfbox/pdmodel/font/PDFont.java
0.8.0-incubating	src/main/java/org/apache/pdfbox/pdmodel/font/PDType1AfmPfbFont.java
0.8.0-incubating	src/main/java/org/apache/pdfbox/pdmodel/font/PDType1CFont.java
0.8.0-incubating	src/main/java/org/apache/pdfbox/pdmodel/graphics/PDLineDashPattern.java
0.8.0-incubating	src/main/java/org/apache/pdfbox/pdmodel/graphics/color/PDIndexed.java
0.8.0-incubating	src/main/java/org/apache/pdfbox/pdmodel/graphics/color/PDSeparation.java
0.8.0-incubating	src/main/java/org/apache/pdfbox/pdmodel/interactive/action/type/PDActionURI.java
0.8.0-incubating	src/main/java/org/apache/pdfbox/pdmodel/interactive/annotation/PDAnnotation.java
0.8.0-incubating	src/main/java/org/apache/pdfbox/pdmodel/interactive/annotation/PDAnnotationFileAttachment.java
0.8.0-incubating	src/main/java/org/apache/pdfbox/pdmodel/interactive/annotation/PDAnnotationLine.java
0.8.0-incubating	src/main/java/org/apache/pdfbox/pdmodel/interactive/annotation/PDAnnotationLink.java
0.8.0-incubating	src/main/java/org/apache/pdfbox/pdmodel/interactive/annotation/PDAnnotationMarkup.java
