Bug ID,Bug Fix Commit Hash,Date of Commit
CAMEL-12820,97f2cd00e2df66e21a63f5f3dbc0d496b174ef8a,2018-09-18T15:17:17+02:00
CAMEL-7383,bfca1f486e1b85f909c2420721fb08a8613c5d1d,2014-04-24T14:57:41+08:00
CAMEL-7389,7cc63e9d4a57297be0205066143920682b146ec6,2014-04-23T15:14:43+02:00
CAMEL-6059,6b39b82a949013fdf6eccb75290614f10152cca9,2013-02-09T14:29:48+00:00
CAMEL-6056,73643e51984fe66c8790b5c9e01ee756bdb0ec38,2013-03-20T16:06:36+00:00
CAMEL-6056,8193f4002ea6337ea0944729d12eae2346e3a6c5,2013-03-16T07:32:31+00:00
CAMEL-6056,2bdfdfe9e07d2a4baadaa47658ca4f200b1da7b0,2013-03-15T15:42:25+00:00
CAMEL-6056,4398dc24bb69521608439728dc829987ee7e173c,2013-03-15T15:39:34+00:00
CAMEL-6056,4d68a5974f396a9f701839f537f095a0280f998d,2013-03-15T13:18:05+00:00
CAMEL-6056,0e43fb5b9f59448f3be86b18db17fc8b679444c4,2013-03-15T09:04:41+00:00
CAMEL-6041,c15cf6080e8889963d7477ad9f92e1b85b4e9709,2013-02-08T03:15:38+00:00
CAMEL-6041,4ac13454501bb4657b64b4c90d05b303bd884ad2,2013-02-07T08:39:45+00:00
CAMEL-7379,314f6bbe5994323928bc7b01838d1bc9d58d46e5,2014-04-20T22:40:19+08:00
CAMEL-12805,6ca25db21fe0a7a43312260a73638ec629338762,2018-09-24T20:53:35+02:00
CAMEL-6048,0135f0311318d8596fdeabca9f266cdac8f5589b,2013-02-07T18:04:41+00:00
CAMEL-12807,dd39d79cadd8eba9f2a8273bb234980dea76e19c,2018-09-14T15:38:56+02:00
CAMEL-12807,fd463ab7f6ce18a6bea516393d6d01037de07b64,2018-09-14T15:36:35+02:00
CAMEL-12807,7c8df4751eaa45716b52cfa5e9da1bf47f1f2221,2018-09-14T15:32:57+02:00
CAMEL-7377,913d589b6959ff68c6f7b953fc848993368502f3,2014-04-25T08:23:24+02:00
CAMEL-6045,0d3f8f924b43af51e344f57ef0b840208357fca4,2013-02-07T14:50:26+00:00
CAMEL-6046,f8793f0e96396f561ca11eff94e4f55f3915d2d5,2013-02-07T15:15:14+00:00
CAMEL-12809,8517fdfc2d934bc4bd1254dcd983e02b3ef4f5e8,2018-09-14T16:03:42+02:00
CAMEL-6072,96539b9906a53148cea078bdfa381e54e70e1e92,2013-02-12T16:54:43+00:00
CAMEL-11510,1a347d2d93ae441e2e0c5cfb65a2dfd5bd970c03,2017-07-05T11:20:18+02:00
CAMEL-6073,96539b9906a53148cea078bdfa381e54e70e1e92,2013-02-12T16:54:43+00:00
CAMEL-12842,591e21a01389415c51e267c2c1279a9c3de5ab2c,2018-09-29T18:21:33+02:00
CAMEL-12842,bc9be002b0b482adff8b860c4b3882e1fab9cd64,2018-09-29T10:31:11+02:00
CAMEL-12843,e9b4d05d52aba5ce0e475ba478aa1db13b2f985a,2018-10-08T09:39:37+08:00
CAMEL-12838,666437ed8c04b4c5648eb186d01c1e8a91145b5c,2018-11-02T08:37:36+01:00
CAMEL-12838,520e821feaf5ebe175b9142c7d3131d0dc64a984,2018-09-27T10:02:22+02:00
CAMEL-11509,1131374e20db6e95c6e69cd7a64d7b54de4a38ae,2017-07-15T02:27:46+03:00
CAMEL-9106,1907750e7c4851fffe8b3ef1ab2fc6361d80aa08,2016-01-09T15:51:21+01:00
CAMEL-9104,37ad9d9ed364fee4604d5e81c1f8ef2c50a72e15,2015-08-28T00:37:38+01:00
CAMEL-12835,0c46180bc3fef6fb6daf9681a9b388ab74c86e30,2018-11-02T15:17:02+01:00
CAMEL-9101,2866a63487ee3efc8d41f7ead1f4cbf18e9b4464,2015-10-24T10:22:20+02:00
CAMEL-6078,720e09dc9fb9f9afcfd597a427898deeee3e9f5d,2013-05-23T11:31:17+02:00
CAMEL-12836,c696cb443a0f03d1bbb8ba8fdad45ed448299c5e,2018-09-26T08:21:43+02:00
CAMEL-6079,23154874f8278caa69b91e6d2fe2dbca6e6f0971,2013-02-16T09:33:55+00:00
CAMEL-12830,9a66510223689cb52975e2332f70e1fc8d1d7548,2018-10-02T08:16:57+02:00
CAMEL-12831,4b6773785e2031cf54485e4ad2c9634df3a10231,2018-09-24T21:02:47+02:00
CAMEL-6064,18cfeba259f9aba6584231ef1612dd7798bc0551,2013-02-12T09:07:52+00:00
CAMEL-7391,9105dd7f2285b53e53e3c1458974f43c0dd02c2e,2014-04-24T16:08:58+02:00
CAMEL-7391,5d5591e19be035a9a518281f72d9862652bb129a,2014-04-24T15:42:58+02:00
CAMEL-6060,f62daf41f4b206d05f1404a0c528564894e1f9d2,2013-02-11T12:28:27+00:00
CAMEL-12826,1babebbf3f46afdf1c6afae909173ecb438c6791,2018-09-23T16:17:50+02:00
CAMEL-12826,57533d4cf076ef0c1dc239fa1bc3085ee02297b4,2018-09-21T14:58:50+02:00
CAMEL-6069,fcd3d3a77479ae2f2d42a43b1ff7452759348044,2015-04-21T14:44:50+02:00
CAMEL-6069,8d57b8f2556bbddb001b87e985639e3e69f6fa73,2013-02-12T08:44:57+00:00
CAMEL-12827,dc16f483a4e380c373073af3d167d80bbe6c0828,2018-09-23T16:26:09+02:00
CAMEL-12827,902d6246c63884dfe458f4940a455156f675db18,2018-09-23T16:23:48+02:00
CAMEL-12829,5beab83bdfd49b5e671d0295127f5f9ae7950539,2018-09-25T09:28:10+02:00
CAMEL-12829,191be931bae381b617e779c286a6cc473f8e12ab,2018-09-24T14:40:41+02:00
CAMEL-7399,913c48d9288d520a3c67aa30946752b7ba0e25cf,2014-04-29T07:36:04-07:00
CAMEL-7398,d7a833424ab05a310b2724394ffb259c39a87a9f,2014-04-29T07:36:04-07:00
CAMEL-6068,e382ca545037f93f123fcc77eabc52d2651cd6c0,2013-02-12T08:55:36+00:00
CAMEL-8678,b7138260090ce88e2abf079095c32ed81ae120d0,2015-04-20T13:55:15-02:30
CAMEL-7347,a59414d3751a6ba0946dcc60193c6d32db92a115,2014-04-07T11:18:06+02:00
CAMEL-8673,381d53657f972ea03f6a3784c6bd42322c57551d,2015-04-21T21:43:29+08:00
CAMEL-8672,c6581f8bb0a31067b0944f77f48be4deebd564b6,2015-04-20T08:51:01+02:00
CAMEL-7341,5f6477c6f14b90aac58b9938e597e71cf9889b79,2014-04-04T11:37:08+08:00
CAMEL-7344,9122881581c14f2e4c3fe32ae6660d35bcccf34a,2014-04-07T14:42:35+02:00
CAMEL-8674,85ccae497e3771fa6e3e086f2796a1e6e2c05584,2015-04-22T19:15:22+08:00
CAMEL-6013,e550d5aa6433ea1929ff5c352bfc96e814fd2bbb,2013-01-30T05:25:36+00:00
CAMEL-6013,b2b67bd48d228d919db25ca3afd26b70ebf58897,2013-01-25T06:55:08+00:00
CAMEL-8660,96cfe14c96c3b946142eb2a7691d73adcc5a037c,2015-04-17T16:37:20+02:00
CAMEL-8665,c22c91e8d4876413ca52ed543e88d8c6bdf122c6,2015-04-18T09:20:15+02:00
CAMEL-6004,da163b70e5180ebb0386146f1e0abb9d73ca4ae7,2013-06-23T10:19:25+02:00
CAMEL-6004,bd6ebd1dd3c663455a76b0a22812f89663183a9b,2013-05-30T14:05:24+02:00
CAMEL-7337,dfaa44c4579535f26461f4a02a1dd97ea29ac737,2014-04-02T18:58:01+08:00
CAMEL-6005,4280369f61c49c97fd6b0e91630a4bddd7b31220,2013-01-24T14:32:32+00:00
CAMEL-7336,5b2d3d64749de737cd20c81e87b139475c36e9e9,2014-04-01T14:43:38+08:00
CAMEL-9993,a666da600991ecd6921ebfc41b8dd460943fab04,2016-05-26T10:58:13+08:00
CAMEL-8663,51c55dea27d97894d13f5f98773b23530224e7e4,2015-08-05T16:52:19+02:00
