Bug ID,Bug Fix Commit Hash,Date of Commit
JCR-2922,c42566ee10361e7697c15eeea9259a46a215826c,2011-03-17T17:56:38+00:00
JCR-2921,e0b314175fe651dc934189566ac0ec0b6fb55390,2011-03-17T17:26:36+00:00
JCR-2920,788cc469d199d1af2bb1b7f8e7c81bb132cbc264,2011-03-17T18:28:23+00:00
JCR-1830,c9d06782942e0444d611a04f21f27425cda4e463,2008-10-23T08:31:10+00:00
JCR-2919,bdadb45460e28837f87a6ad074ce05c13efe165d,2011-08-19T09:19:45+00:00
JCR-2919,eecceb6bae52e3e6a9bde0846fcfd2c081ec0bcd,2011-08-02T10:17:54+00:00
JCR-2919,33d7aa0ed8efca2890b74003c9254d8fb076be19,2011-05-31T09:15:40+00:00
JCR-1829,6af6575877383a3b662147c09f96541066e5ac9a,2008-10-23T08:05:51+00:00
JCR-2917,58237e9b5dc810d50d672592b610d4d99850256d,2011-04-05T14:05:46+00:00
JCR-19,148dc1074b52b8dc57f3ba00312746ae43ceb134,2004-11-16T18:16:35+00:00
JCR-15,672043e496ed5ce0bc75e2a0723cbf3c94d230bb,2004-11-05T14:19:20+00:00
JCR-15,cc14ab987cea8d4ad557b4084ab5ad5b28be918b,2004-11-02T21:34:17+00:00
JCR-16,4fa540b55e3852f64742bbe59e13fae9e9362956,2004-11-05T09:15:59+00:00
JCR-17,643276a150006731ee05d2b53049e7814fb84142,2004-11-17T10:00:58+00:00
JCR-18,c5df8e489edd178b5e6682e845ad46dddb061d0b,2007-06-26T07:59:00+00:00
JCR-18,643276a150006731ee05d2b53049e7814fb84142,2004-11-17T10:00:58+00:00
JCR-2937,15052eac961ac438b89d938aea40112e263e051b,2011-05-03T18:22:01+00:00
JCR-11,527a0dbcffc79d22e9b4ac2a5c063674c0b04d9b,2004-10-20T16:36:28+00:00
JCR-1846,d46e7b8da100674de14a14ad3922b7769ff9d92e,2009-01-14T12:27:09+00:00
JCR-13,580b82b3a0a23a594d5be4eb7e93a2f8be81df92,2004-10-26T16:03:50+00:00
JCR-13,7e9c47f2f812a97ab72cc31407b4b7c17d6367a0,2004-10-26T15:44:08+00:00
JCR-14,e709e26425a18c81332ea98a21b4bc9bc715bcc8,2004-10-28T14:15:55+00:00
JCR-2933,7f795f15a59a95d5ed92fdd7266839797c07ffea,2011-04-15T12:32:11+00:00
JCR-1602,69bbe79d5dcd395810139eeaed299341bce58e0f,2008-05-15T13:44:58+00:00
JCR-1602,39fd2a4c871b75bc016f3749de5e6b8139aec6f7,2008-05-15T13:32:57+00:00
JCR-1843,d7397c2371dff88cbb8603e15e7e5588cdd14d40,2008-10-30T17:05:12+00:00
JCR-1601,7f4af60c8adacf2498c29b9e89eeb1b4d3cadbcb,2008-05-14T13:34:52+00:00
JCR-2931,29e7eab24aa02c42107eb6c66c33a2118ac5a9ea,2011-03-24T18:52:29+00:00
JCR-2930,2954cf4d363a5559c283ef058d228ff1d343c802,2011-12-13T14:23:07+00:00
JCR-1841,60bb0acbb8be013e63363271b9eee365dce602a1,2008-10-30T11:20:22+00:00
JCR-10,e034de2f86ce8e44c3676aa3a7f76018f0361d70,2004-10-18T13:12:33+00:00
JCR-2928,a24cfbbc6cc2e92005c31071fe47ee25df89d150,2011-04-05T11:46:18+00:00
JCR-1838,5d618000a21d98a547d7ae00f42a92843e2d11f0,2008-12-17T14:44:20+00:00
JCR-295,2bef577550f6f382ca3704725ed43ff94d598fd6,2006-01-13T11:11:35+00:00
JCR-293,e288607e7d67534770702d130a9678e9b873afe5,2005-12-15T14:03:11+00:00
JCR-299,85137463f99015b7fcf5bf1a9aa6a62c12fe8b8e,2006-07-19T18:00:23+00:00
JCR-27,a17fa85a3f5468792ef17e69dec3b44909c2088e,2004-12-10T11:07:35+00:00
JCR-298,508b6865db43bcdaa4e529af3aff45f1e520dbca,2006-04-19T20:21:29+00:00
JCR-2904,9b747e02e62feaf6cedafa7de1db5340172f45f3,2011-03-08T10:53:58+00:00
JCR-2904,d1476e1398c656225660c96bd1c96fb0303f17ff,2011-03-08T10:29:24+00:00
JCR-22,10c2f354605ef7c4b12690f62222319ef41152ba,2004-12-10T16:10:53+00:00
JCR-2903,07cf67e79faa7c9fcfff0093befb642c7c2f404b,2011-03-04T13:05:32+00:00
JCR-23,10c2f354605ef7c4b12690f62222319ef41152ba,2004-12-10T16:10:53+00:00
JCR-1813,30bca3393953eb2b7a0db1b800836c123d58d41e,2008-10-28T17:48:40+00:00
JCR-1813,aa240a027a70b835c6881808d64d627cf8b2b04f,2008-10-28T17:00:42+00:00
JCR-1813,f0bd7c7d927fa7e02a1a439fd308ae3b0823b68b,2008-10-18T23:54:45+00:00
JCR-24,ac17a7e8677a279dc0de3935452ad02b2baf99b4,2004-12-08T11:40:12+00:00
JCR-2901,ab4e30060fd22bc33cae97b4f851b73303f51134,2011-02-24T13:35:38+00:00
JCR-2900,89a43ccff5ebc66f93cc3a66dd201ffbca9d62b5,2011-02-17T16:29:00+00:00
JCR-1811,d7397c2371dff88cbb8603e15e7e5588cdd14d40,2008-10-30T17:05:12+00:00
JCR-20,10c2f354605ef7c4b12690f62222319ef41152ba,2004-12-10T16:10:53+00:00
JCR-290,0c1d07466cbedf53a834524a13988ac7b221c60e,2006-01-19T13:01:19+00:00
JCR-290,b696c17d68c63ca8a806faa483b3b4fcda80b1ea,2006-01-17T17:28:35+00:00
JCR-21,8e3bf52bc35c37d42e841e44843a196391ff4943,2004-11-22T11:14:33+00:00
JCR-4085,98abd011f8f1182436fed8175ada9fc6908d5f4e,2016-12-16T13:25:57+00:00
JCR-284,5c557f42b037386f97a221eb769a0a1cb49f69fa,2005-11-30T17:02:01+00:00
JCR-285,de612eb9f8c5bf3b1a8bb1c10adad16be4de2a69,2006-04-03T13:25:10+00:00
JCR-282,8506804a3dc107ebf5359eded9d48defd86876f6,2005-11-30T07:52:30+00:00
JCR-283,3cdcaa9c845c51ae50cb047973dd5c52613334f5,2005-11-30T13:07:44+00:00
JCR-288,1122a402c42ebf0b302d280d075f6e016f1c1cf1,2005-12-09T14:57:15+00:00
JCR-38,fe79d7a3f1ee69e3844cc15abc6845ae82dbe8e3,2005-01-14T09:20:13+00:00
JCR-286,a852406ca1eb699865486e29dbc8d98bfac196ec,2005-12-02T11:07:42+00:00
JCR-287,5ca5b499edc1e229de8bae4596dbf6eb486ef108,2005-12-02T12:56:29+00:00
JCR-33,03b38f475111ffbb797293575660634dee18bb68,2004-12-15T16:26:30+00:00
JCR-1825,c489f3849c4cd38d108df2797517c7181d4f171c,2008-10-29T10:30:10+00:00
JCR-1825,07727307d23bdd29fa33cba13d952d631d9dd379,2008-10-29T09:09:07+00:00
JCR-1825,a1243a8378ebaf447a72e46714808488732daf28,2008-10-28T15:42:51+00:00
JCR-34,067fe354663eb2979c94a5550522f3326abac45d,2004-12-20T12:05:19+00:00
JCR-35,38a6a164785ef5f71a76a81b5100f5f113c9979d,2005-01-03T13:21:07+00:00
JCR-1823,b56d8495a5e269398bedb301aca722769b98da9c,2009-01-09T16:50:09+00:00
JCR-36,0e67fc3c628492fe397f49b8594e6b8357ce734c,2005-01-03T15:01:28+00:00
JCR-280,8506804a3dc107ebf5359eded9d48defd86876f6,2005-11-30T07:52:30+00:00
JCR-1821,ffde48b1e8be072bab7878c457a1afe9e2a92966,2008-10-20T13:16:49+00:00
JCR-31,3c9cfa739b628eb6a82c1b7e6fadc627638ef9b7,2005-03-21T10:27:41+00:00
JCR-31,40214101f31960958bcab0065d1a208decaf3dfa,2005-03-20T14:05:48+00:00
JCR-31,60c808a137efecaa997d7fdc3477f941aa5fb2e5,2005-03-20T13:24:31+00:00
JCR-31,f8c526f477b27519e47cc384c646c745792e1e41,2004-12-15T15:36:23+00:00
JCR-32,3608830eceb7627507f400524fb3c0f66daab2cd,2004-12-15T15:48:11+00:00
JCR-4093,49c8f5bd2bed9fa25a7a9a33fcdefdf2b58394b5,2017-01-26T06:34:08+00:00
JCR-4093,847c9cfee1465ffa7a8bf86bc24abb0fdd1470b2,2017-01-26T05:59:12+00:00
JCR-4093,3b7bc9322720f0f4d17576bcd6af6275e33f9374,2016-12-29T12:39:25+00:00
JCR-4093,4a17598d8cf6c26b6526d301a64af54d7035c7eb,2016-12-29T11:55:53+00:00
JCR-4093,8d1f88b095b32f21c4800e0703e947bf1ccf5b2a,2016-12-29T08:41:31+00:00
JCR-4093,d8eeaf926d6f4197c5b481359137fa3e92ada592,2016-12-29T08:23:59+00:00
JCR-2909,d6f55b4085faebe68442619df6db7950087d51a9,2011-03-04T11:34:09+00:00
JCR-1817,7ebc5a96d761473761e81d996a671914bce2d3d1,2008-10-16T13:49:35+00:00
JCR-279,c01b1e5ac35ca20264266d5e8b20b4a2046a071b,2005-11-25T09:37:56+00:00
JCR-48,8455d1a44cd06a71faaaa36ba1bf2372d39a8131,2005-02-17T15:07:25+00:00
JCR-49,71d082fe5b0b3c1303849fdf8cbc2843afd27486,2005-02-18T11:15:01+00:00
JCR-44,e822bbfe021fb4237b4655b9ab21e70621777f43,2005-02-11T12:55:53+00:00
JCR-45,57fa9847d0344900499ff6172ec34b7b82ac4aa7,2005-03-13T18:09:04+00:00
JCR-45,0250028b330ed682c3962aa71713c76f973e647e,2005-03-04T17:40:12+00:00
JCR-45,4869724aa00d6f1b8199cc6dfcb8488104a9e0e5,2005-03-03T12:54:18+00:00
JCR-4068,eed5faac9da2e5270bbf9d75a036973194928b3a,2016-11-28T13:55:52+00:00
JCR-46,6f226300682d7b1b3a068677dd9b5c57b4664b08,2006-03-16T18:43:09+00:00
JCR-46,72326cac43501445873447def2754f92a0784b10,2005-11-10T09:57:15+00:00
