 ,Proportion_ColdStart,Proportion_ColdStart+,Proportion_Increment,Proportion_Increment+,Proportion_MovingWindow,Proportion_MovingWindow+,SZZ_B,SZZ_B+,SZZ_RA,SZZ_RA+,SZZ_U,SZZ_U+,Simple,LLM4SZZ
Proportion_ColdStart,1.0,1.0,0.9384288747346072,0.9384288747346072,0.8877551020408163,0.8877551020408163,0.39750752041254833,0.39750752041254833,0.39584217225286383,0.39584217225286383,0.3557401812688822,0.3557401812688822,0.5690021231422505,0.23769377209681805
Proportion_ColdStart+,1.0,1.0,0.9384288747346072,0.9384288747346072,0.8877551020408163,0.8877551020408163,0.39750752041254833,0.39750752041254833,0.39584217225286383,0.39584217225286383,0.3557401812688822,0.3557401812688822,0.5690021231422505,0.23769377209681805
Proportion_Increment,0.9384288747346072,0.9384288747346072,1.0,1.0,0.9124866595517609,0.9124866595517609,0.37553832902670115,0.37553832902670115,0.37181663837011886,0.37181663837011886,0.3338368580060423,0.3338368580060423,0.6063348416289592,0.2292749658002736
Proportion_Increment+,0.9384288747346072,0.9384288747346072,1.0,1.0,0.9124866595517609,0.9124866595517609,0.37553832902670115,0.37553832902670115,0.37181663837011886,0.37181663837011886,0.3338368580060423,0.3338368580060423,0.6063348416289592,0.2292749658002736
Proportion_MovingWindow,0.8877551020408163,0.8877551020408163,0.9124866595517609,0.9124866595517609,1.0,1.0,0.38527765820060267,0.38527765820060267,0.38024586689275114,0.38024586689275114,0.3429003021148036,0.3429003021148036,0.5903083700440529,0.2365179304681084
Proportion_MovingWindow+,0.8877551020408163,0.8877551020408163,0.9124866595517609,0.9124866595517609,1.0,1.0,0.38527765820060267,0.38527765820060267,0.38024586689275114,0.38024586689275114,0.3429003021148036,0.3429003021148036,0.5903083700440529,0.2365179304681084
SZZ_B,0.39750752041254833,0.39750752041254833,0.37553832902670115,0.37553832902670115,0.38527765820060267,0.38527765820060267,1.0,1.0,0.9538590604026845,0.9538590604026845,0.872356495468278,0.872356495468278,0.23203463203463204,0.4962082912032356
SZZ_B+,0.39750752041254833,0.39750752041254833,0.37553832902670115,0.37553832902670115,0.38527765820060267,0.38527765820060267,1.0,1.0,0.9538590604026845,0.9538590604026845,0.872356495468278,0.872356495468278,0.23203463203463204,0.4962082912032356
SZZ_RA,0.39584217225286383,0.39584217225286383,0.37181663837011886,0.37181663837011886,0.38024586689275114,0.38024586689275114,0.9538590604026845,0.9538590604026845,1.0,1.0,0.8704605016847623,0.8704605016847623,0.2277564921243082,0.5035335689045937
SZZ_RA+,0.39584217225286383,0.39584217225286383,0.37181663837011886,0.37181663837011886,0.38024586689275114,0.38024586689275114,0.9538590604026845,0.9538590604026845,1.0,1.0,0.8704605016847623,0.8704605016847623,0.2277564921243082,0.5035335689045937
SZZ_U,0.3557401812688822,0.3557401812688822,0.3338368580060423,0.3338368580060423,0.3429003021148036,0.3429003021148036,0.872356495468278,0.872356495468278,0.8704605016847623,0.8704605016847623,1.0,1.0,0.20241691842900303,0.5506815365551425
SZZ_U+,0.3557401812688822,0.3557401812688822,0.3338368580060423,0.3338368580060423,0.3429003021148036,0.3429003021148036,0.872356495468278,0.872356495468278,0.8704605016847623,0.8704605016847623,1.0,1.0,0.20241691842900303,0.5506815365551425
Simple,0.5690021231422505,0.5690021231422505,0.6063348416289592,0.6063348416289592,0.5903083700440529,0.5903083700440529,0.23203463203463204,0.23203463203463204,0.2277564921243082,0.2277564921243082,0.20241691842900303,0.20241691842900303,1.0,0.14093036058353978
LLM4SZZ,0.23769377209681805,0.23769377209681805,0.2292749658002736,0.2292749658002736,0.2365179304681084,0.2365179304681084,0.4962082912032356,0.4962082912032356,0.5035335689045937,0.5035335689045937,0.5506815365551425,0.5506815365551425,0.14093036058353978,1.0
