('2.3.0', 'modules/core/src/main/java/org/apache/ignite/internal/visor/util/VisorTaskUtils.java', 'IGNITE-6995', '47e7daf7323ee49be53efb363f447d574bc7e222')
('2.3.0', 'modules/core/src/main/java/org/apache/ignite/internal/visor/cache/VisorCacheNearConfiguration.java', 'IGNITE-6995', '47e7daf7323ee49be53efb363f447d574bc7e222')
('2.3.0', 'modules/core/src/main/java/org/apache/ignite/internal/visor/cache/VisorCacheEvictionConfiguration.java', 'IGNITE-6995', '47e7daf7323ee49be53efb363f447d574bc7e222')
('2.2.0', 'modules/core/src/main/java/org/apache/ignite/internal/visor/cache/VisorCacheNearConfiguration.java', 'IGNITE-6995', '47e7daf7323ee49be53efb363f447d574bc7e222')
('2.2.0', 'modules/core/src/main/java/org/apache/ignite/internal/visor/cache/VisorCacheEvictionConfiguration.java', 'IGNITE-6995', '47e7daf7323ee49be53efb363f447d574bc7e222')
('2.1.0', 'modules/core/src/main/java/org/apache/ignite/internal/visor/cache/VisorCacheNearConfiguration.java', 'IGNITE-6995', '47e7daf7323ee49be53efb363f447d574bc7e222')
('2.1.0', 'modules/core/src/main/java/org/apache/ignite/internal/visor/cache/VisorCacheEvictionConfiguration.java', 'IGNITE-6995', '47e7daf7323ee49be53efb363f447d574bc7e222')
('2.0.0', 'modules/core/src/main/java/org/apache/ignite/internal/visor/cache/VisorCacheNearConfiguration.java', 'IGNITE-6995', '47e7daf7323ee49be53efb363f447d574bc7e222')
('2.0.0', 'modules/core/src/main/java/org/apache/ignite/internal/visor/cache/VisorCacheEvictionConfiguration.java', 'IGNITE-6995', '47e7daf7323ee49be53efb363f447d574bc7e222')
('2.0.0', 'modules/core/src/main/java/org/apache/ignite/internal/processors/query/QueryUtils.java', 'IGNITE-5662', 'b3e6298a099f684a293a61b97e7623f5400cc5d0')
('1.8.0', 'modules/core/src/main/java/org/apache/ignite/internal/processors/cache/GridCacheAdapter.java', 'IGNITE-4336', '02e3b656e324d999800bd8ceb41441f75d370862')
('1.8.0', 'modules/core/src/main/java/org/apache/ignite/internal/processors/cache/GridCachePreloader.java', 'IGNITE-4336', '02e3b656e324d999800bd8ceb41441f75d370862')
('1.8.0', 'modules/core/src/main/java/org/apache/ignite/internal/processors/cache/GridCachePreloaderAdapter.java', 'IGNITE-4336', '02e3b656e324d999800bd8ceb41441f75d370862')
('1.8.0', 'modules/core/src/main/java/org/apache/ignite/internal/processors/cache/distributed/dht/preloader/GridDhtPartitionDemander.java', 'IGNITE-4336', '02e3b656e324d999800bd8ceb41441f75d370862')
('1.8.0', 'modules/core/src/main/java/org/apache/ignite/internal/processors/cache/GridCachePartitionExchangeManager.java', 'IGNITE-4336', '02e3b656e324d999800bd8ceb41441f75d370862')
('1.8.0', 'modules/core/src/main/java/org/apache/ignite/internal/processors/cache/distributed/dht/preloader/GridDhtPartitionsExchangeFuture.java', 'IGNITE-4336', '02e3b656e324d999800bd8ceb41441f75d370862')
('1.8.0', 'modules/core/src/main/java/org/apache/ignite/internal/processors/cache/IgniteCacheProxy.java', 'IGNITE-4336', '02e3b656e324d999800bd8ceb41441f75d370862')
('1.7.0', 'modules/core/src/main/java/org/apache/ignite/internal/processors/cache/distributed/dht/preloader/GridDhtPartitionDemander.java', 'IGNITE-4336', '02e3b656e324d999800bd8ceb41441f75d370862')
('1.7.0', 'modules/core/src/main/java/org/apache/ignite/internal/processors/cache/GridCacheAdapter.java', 'IGNITE-4336', '9a691c4f6a709caab18ca1442217829b6f578e56')
('1.7.0', 'modules/core/src/main/java/org/apache/ignite/internal/processors/cache/GridCachePreloader.java', 'IGNITE-4336', '9a691c4f6a709caab18ca1442217829b6f578e56')
('1.7.0', 'modules/core/src/main/java/org/apache/ignite/internal/processors/cache/GridCachePreloaderAdapter.java', 'IGNITE-4336', '9a691c4f6a709caab18ca1442217829b6f578e56')
('1.7.0', 'modules/core/src/main/java/org/apache/ignite/internal/processors/cache/distributed/dht/preloader/GridDhtPartitionDemander.java', 'IGNITE-4336', '9a691c4f6a709caab18ca1442217829b6f578e56')
('1.7.0', 'modules/core/src/main/java/org/apache/ignite/internal/processors/cache/GridCachePartitionExchangeManager.java', 'IGNITE-4336', '9a691c4f6a709caab18ca1442217829b6f578e56')
('1.7.0', 'modules/core/src/main/java/org/apache/ignite/internal/processors/cache/distributed/dht/preloader/GridDhtPartitionsExchangeFuture.java', 'IGNITE-4336', '9a691c4f6a709caab18ca1442217829b6f578e56')
('1.7.0', 'modules/core/src/main/java/org/apache/ignite/internal/processors/cache/IgniteCacheProxy.java', 'IGNITE-4336', '9a691c4f6a709caab18ca1442217829b6f578e56')
('1.6.0', 'modules/core/src/main/java/org/apache/ignite/internal/processors/cache/GridCachePreloader.java', 'IGNITE-4336', '9a691c4f6a709caab18ca1442217829b6f578e56')
('1.6.0', 'modules/core/src/main/java/org/apache/ignite/internal/processors/cache/GridCachePreloaderAdapter.java', 'IGNITE-4336', '9a691c4f6a709caab18ca1442217829b6f578e56')
('1.7.0', 'modules/core/src/main/java/org/apache/ignite/internal/processors/cache/GridCacheAdapter.java', 'IGNITE-4336', 'c14561c337cf145aced381de1f1ca9676733b862')
('1.7.0', 'modules/core/src/main/java/org/apache/ignite/internal/processors/cache/GridCachePreloader.java', 'IGNITE-4336', 'c14561c337cf145aced381de1f1ca9676733b862')
('1.7.0', 'modules/core/src/main/java/org/apache/ignite/internal/processors/cache/GridCachePreloaderAdapter.java', 'IGNITE-4336', 'c14561c337cf145aced381de1f1ca9676733b862')
('1.7.0', 'modules/core/src/main/java/org/apache/ignite/internal/processors/cache/distributed/dht/preloader/GridDhtPartitionDemander.java', 'IGNITE-4336', 'c14561c337cf145aced381de1f1ca9676733b862')
('1.7.0', 'modules/core/src/main/java/org/apache/ignite/internal/processors/cache/GridCachePartitionExchangeManager.java', 'IGNITE-4336', 'c14561c337cf145aced381de1f1ca9676733b862')
('1.7.0', 'modules/core/src/main/java/org/apache/ignite/internal/processors/cache/distributed/dht/preloader/GridDhtPartitionsExchangeFuture.java', 'IGNITE-4336', 'c14561c337cf145aced381de1f1ca9676733b862')
('1.7.0', 'modules/core/src/main/java/org/apache/ignite/internal/processors/cache/IgniteCacheProxy.java', 'IGNITE-4336', 'c14561c337cf145aced381de1f1ca9676733b862')
('1.6.0', 'modules/core/src/main/java/org/apache/ignite/internal/processors/cache/GridCachePreloader.java', 'IGNITE-4336', 'c14561c337cf145aced381de1f1ca9676733b862')
('1.6.0', 'modules/core/src/main/java/org/apache/ignite/internal/processors/cache/GridCachePreloaderAdapter.java', 'IGNITE-4336', 'c14561c337cf145aced381de1f1ca9676733b862')
('1.5.0.final', 'modules/core/src/main/java/org/apache/ignite/internal/processors/cache/GridCacheMapEntry.java', 'IGNITE-3004', 'c9416ed9b58bbb2287e896cc5860177939c4b3ed')
('1.1.4', 'modules/core/src/main/java/org/apache/ignite/internal/util/future/GridFinishedFuture.java', 'IGNITE-1299', '9fe3e8fd884f2f19bfe3fb39c9cda89c7ae495d8')
('1.1.4', 'modules/core/src/main/java/org/apache/ignite/internal/processors/cache/query/GridCacheQueryFutureAdapter.java', 'IGNITE-1299', '9fe3e8fd884f2f19bfe3fb39c9cda89c7ae495d8')
('1.1.4', 'modules/core/src/main/java/org/apache/ignite/internal/IgniteInternalFuture.java', 'IGNITE-1299', '9fe3e8fd884f2f19bfe3fb39c9cda89c7ae495d8')
('1.1.4', 'modules/core/src/main/java/org/apache/ignite/internal/util/future/GridFutureAdapter.java', 'IGNITE-1299', '9fe3e8fd884f2f19bfe3fb39c9cda89c7ae495d8')
('1.1.4', 'modules/core/src/main/java/org/apache/ignite/internal/processors/igfs/IgfsUtils.java', 'IGNITE-1299', '9fe3e8fd884f2f19bfe3fb39c9cda89c7ae495d8')
('2.5.0', 'modules/core/src/main/java/org/apache/ignite/internal/processors/odbc/jdbc/JdbcConnectionContext.java', 'IGNITE-8701', 'd4ae653d8018e88847425111321e653bd558a973')
('1.7.0', 'modules/core/src/main/java/org/apache/ignite/internal/processors/odbc/OdbcRequestHandler.java', 'IGNITE-4347', 'b4aedfd5350b4a318f1608596a171789513835a4')
('1.6.0', 'modules/core/src/main/java/org/apache/ignite/internal/processors/odbc/OdbcRequestHandler.java', 'IGNITE-4347', 'b4aedfd5350b4a318f1608596a171789513835a4')
('1.7.0', 'modules/core/src/main/java/org/apache/ignite/internal/processors/odbc/OdbcRequestHandler.java', 'IGNITE-4347', 'af24a9e2c3b61dff7c9116f1a3bea8c398b7ce78')
('1.6.0', 'modules/core/src/main/java/org/apache/ignite/internal/processors/odbc/OdbcRequestHandler.java', 'IGNITE-4347', 'af24a9e2c3b61dff7c9116f1a3bea8c398b7ce78')
('1.5.0.final', 'modules/core/src/main/java/org/apache/ignite/spi/communication/tcp/TcpCommunicationSpi.java', 'IGNITE-3015', '00f8d654cd9ce0099020b2888831b6351b2763ca')
('1.5.0.final', 'modules/core/src/main/java/org/apache/ignite/internal/processors/job/GridJobWorker.java', 'IGNITE-3015', '00f8d654cd9ce0099020b2888831b6351b2763ca')
('1.5.0.final', 'modules/core/src/main/java/org/apache/ignite/internal/GridTaskSessionImpl.java', 'IGNITE-3015', '00f8d654cd9ce0099020b2888831b6351b2763ca')
('1.5.0.final', 'modules/core/src/main/java/org/apache/ignite/internal/processors/task/GridTaskWorker.java', 'IGNITE-3015', '00f8d654cd9ce0099020b2888831b6351b2763ca')
('1.5.0.final', 'modules/urideploy/src/main/java/org/apache/ignite/spi/deployment/uri/GridUriDeploymentFileProcessor.java', 'IGNITE-3015', '00f8d654cd9ce0099020b2888831b6351b2763ca')
('1.5.0.final', 'modules/core/src/main/java/org/apache/ignite/internal/util/IgniteUtils.java', 'IGNITE-3015', '00f8d654cd9ce0099020b2888831b6351b2763ca')
('1.5.0.final', 'modules/core/src/main/java/org/apache/ignite/internal/processors/task/GridTaskProcessor.java', 'IGNITE-3015', '00f8d654cd9ce0099020b2888831b6351b2763ca')
('1.4.0', 'modules/core/src/main/java/org/apache/ignite/internal/processors/job/GridJobWorker.java', 'IGNITE-3015', '00f8d654cd9ce0099020b2888831b6351b2763ca')
('1.4.0', 'modules/core/src/main/java/org/apache/ignite/internal/GridTaskSessionImpl.java', 'IGNITE-3015', '00f8d654cd9ce0099020b2888831b6351b2763ca')
('1.4.0', 'modules/urideploy/src/main/java/org/apache/ignite/spi/deployment/uri/GridUriDeploymentFileProcessor.java', 'IGNITE-3015', '00f8d654cd9ce0099020b2888831b6351b2763ca')
