('karaf-4.2.2', 'shell/ssh/src/main/java/org/apache/karaf/shell/ssh/ShellFactoryImpl.java', 'KARAF-6112', '9551dc2842f2467b965a6710a0c1ae223b3ccad3')
('karaf-4.2.2', 'shell/ssh/src/main/java/org/apache/karaf/shell/ssh/SshTerminal.java', 'KARAF-6112', '9551dc2842f2467b965a6710a0c1ae223b3ccad3')
('karaf-4.1.7', 'shell/ssh/src/main/java/org/apache/karaf/shell/ssh/SshTerminal.java', 'KARAF-6112', '9551dc2842f2467b965a6710a0c1ae223b3ccad3')
('karaf-4.2.1', 'shell/ssh/src/main/java/org/apache/karaf/shell/ssh/SshTerminal.java', 'KARAF-6112', '9551dc2842f2467b965a6710a0c1ae223b3ccad3')
('karaf-4.1.6', 'shell/ssh/src/main/java/org/apache/karaf/shell/ssh/SshTerminal.java', 'KARAF-6112', '9551dc2842f2467b965a6710a0c1ae223b3ccad3')
('karaf-4.2.0', 'shell/ssh/src/main/java/org/apache/karaf/shell/ssh/SshTerminal.java', 'KARAF-6112', '9551dc2842f2467b965a6710a0c1ae223b3ccad3')
('karaf-4.1.5', 'shell/ssh/src/main/java/org/apache/karaf/shell/ssh/SshTerminal.java', 'KARAF-6112', '9551dc2842f2467b965a6710a0c1ae223b3ccad3')
('karaf-4.2.0.M2', 'shell/ssh/src/main/java/org/apache/karaf/shell/ssh/SshTerminal.java', 'KARAF-6112', '9551dc2842f2467b965a6710a0c1ae223b3ccad3')
('karaf-4.2.0.M1', 'shell/ssh/src/main/java/org/apache/karaf/shell/ssh/SshTerminal.java', 'KARAF-6112', '9551dc2842f2467b965a6710a0c1ae223b3ccad3')
('karaf-4.2.2', 'tooling/karaf-maven-plugin/src/main/java/org/apache/karaf/tooling/utils/MavenUtil.java', 'KARAF-6116', '089f77e09e1f6e96135245748361e478203d85a0')
('karaf-4.2.1', 'tooling/karaf-maven-plugin/src/main/java/org/apache/karaf/tooling/utils/MavenUtil.java', 'KARAF-6116', '089f77e09e1f6e96135245748361e478203d85a0')
('karaf-4.2.0', 'tooling/karaf-maven-plugin/src/main/java/org/apache/karaf/tooling/utils/MavenUtil.java', 'KARAF-6116', '089f77e09e1f6e96135245748361e478203d85a0')
('karaf-4.2.3', 'util/src/main/java/org/apache/karaf/util/maven/Parser.java', 'KARAF-6119', '11bda060bfc7fa7dd7893618a407ab87431a24f5')
('karaf-4.2.3', 'features/core/src/main/java/org/apache/karaf/features/internal/download/impl/MavenDownloadTask.java', 'KARAF-6119', '11bda060bfc7fa7dd7893618a407ab87431a24f5')
('karaf-4.2.2', 'util/src/main/java/org/apache/karaf/util/maven/Parser.java', 'KARAF-6119', '11bda060bfc7fa7dd7893618a407ab87431a24f5')
('karaf-4.2.2', 'features/core/src/main/java/org/apache/karaf/features/internal/download/impl/MavenDownloadTask.java', 'KARAF-6119', '11bda060bfc7fa7dd7893618a407ab87431a24f5')
('karaf-4.1.7', 'features/core/src/main/java/org/apache/karaf/features/internal/download/impl/MavenDownloadTask.java', 'KARAF-6119', '11bda060bfc7fa7dd7893618a407ab87431a24f5')
('karaf-4.2.1', 'util/src/main/java/org/apache/karaf/util/maven/Parser.java', 'KARAF-6119', '11bda060bfc7fa7dd7893618a407ab87431a24f5')
('karaf-4.2.1', 'features/core/src/main/java/org/apache/karaf/features/internal/download/impl/MavenDownloadTask.java', 'KARAF-6119', '11bda060bfc7fa7dd7893618a407ab87431a24f5')
('karaf-4.1.6', 'features/core/src/main/java/org/apache/karaf/features/internal/download/impl/MavenDownloadTask.java', 'KARAF-6119', '11bda060bfc7fa7dd7893618a407ab87431a24f5')
('karaf-4.2.0', 'util/src/main/java/org/apache/karaf/util/maven/Parser.java', 'KARAF-6119', '11bda060bfc7fa7dd7893618a407ab87431a24f5')
('karaf-4.2.0', 'features/core/src/main/java/org/apache/karaf/features/internal/download/impl/MavenDownloadTask.java', 'KARAF-6119', '11bda060bfc7fa7dd7893618a407ab87431a24f5')
('karaf-4.1.5', 'features/core/src/main/java/org/apache/karaf/features/internal/download/impl/MavenDownloadTask.java', 'KARAF-6119', '11bda060bfc7fa7dd7893618a407ab87431a24f5')
('karaf-4.2.0.M2', 'util/src/main/java/org/apache/karaf/util/maven/Parser.java', 'KARAF-6119', '11bda060bfc7fa7dd7893618a407ab87431a24f5')
('karaf-4.2.0.M2', 'features/core/src/main/java/org/apache/karaf/features/internal/download/impl/MavenDownloadTask.java', 'KARAF-6119', '11bda060bfc7fa7dd7893618a407ab87431a24f5')
('karaf-4.1.4', 'features/core/src/main/java/org/apache/karaf/features/internal/download/impl/MavenDownloadTask.java', 'KARAF-6119', '11bda060bfc7fa7dd7893618a407ab87431a24f5')
('karaf-4.2.0.M1', 'features/core/src/main/java/org/apache/karaf/features/internal/download/impl/MavenDownloadTask.java', 'KARAF-6119', '11bda060bfc7fa7dd7893618a407ab87431a24f5')
('karaf-4.1.3', 'features/core/src/main/java/org/apache/karaf/features/internal/download/impl/MavenDownloadTask.java', 'KARAF-6119', '11bda060bfc7fa7dd7893618a407ab87431a24f5')
('karaf-4.1.2', 'features/core/src/main/java/org/apache/karaf/features/internal/download/impl/MavenDownloadTask.java', 'KARAF-6119', '11bda060bfc7fa7dd7893618a407ab87431a24f5')
('karaf-4.1.1', 'features/core/src/main/java/org/apache/karaf/features/internal/download/impl/MavenDownloadTask.java', 'KARAF-6119', '11bda060bfc7fa7dd7893618a407ab87431a24f5')
('karaf-4.1.0', 'features/core/src/main/java/org/apache/karaf/features/internal/download/impl/MavenDownloadTask.java', 'KARAF-6119', '11bda060bfc7fa7dd7893618a407ab87431a24f5')
('karaf-2.2.0', 'features/core/src/main/java/org/apache/karaf/features/internal/FeaturesServiceImpl.java', 'KARAF-562', '654f4e5cc9ba661310c0d3ec38a7bc9a862e3608')
('karaf-4.0.9', 'tooling/karaf-maven-plugin/src/main/java/org/apache/karaf/tooling/AssemblyMojo.java', 'KARAF-5250', 'e4222843c5fa420f54da3f3f1e84d74c78ad9579')
('karaf-4.0.9', 'tooling/karaf-maven-plugin/src/main/java/org/apache/karaf/tooling/utils/ReactorMavenResolver.java', 'KARAF-5250', 'e4222843c5fa420f54da3f3f1e84d74c78ad9579')
('karaf-4.0.9', 'tooling/karaf-maven-plugin/src/main/java/org/apache/karaf/tooling/VerifyMojo.java', 'KARAF-5250', 'e4222843c5fa420f54da3f3f1e84d74c78ad9579')
('karaf-4.0.8', 'tooling/karaf-maven-plugin/src/main/java/org/apache/karaf/tooling/VerifyMojo.java', 'KARAF-5250', 'e4222843c5fa420f54da3f3f1e84d74c78ad9579')
('karaf-4.0.7', 'tooling/karaf-maven-plugin/src/main/java/org/apache/karaf/tooling/VerifyMojo.java', 'KARAF-5250', 'e4222843c5fa420f54da3f3f1e84d74c78ad9579')
('karaf-4.0.6', 'tooling/karaf-maven-plugin/src/main/java/org/apache/karaf/tooling/VerifyMojo.java', 'KARAF-5250', 'e4222843c5fa420f54da3f3f1e84d74c78ad9579')
('karaf-4.0.5', 'tooling/karaf-maven-plugin/src/main/java/org/apache/karaf/tooling/VerifyMojo.java', 'KARAF-5250', 'e4222843c5fa420f54da3f3f1e84d74c78ad9579')
('karaf-2.3.5', 'instance/src/main/java/org/apache/karaf/instance/core/internal/InstanceServiceImpl.java', 'KARAF-3072', '57682f5c06510b8892ca0ee9285e0595011c75b0')
('karaf-4.2.2', 'profile/src/main/java/org/apache/karaf/profile/impl/Profiles.java', 'KARAF-6120', '6bb884c2cddf4d9d6779e94e509c98bfd77dca52')
('karaf-4.2.1', 'profile/src/main/java/org/apache/karaf/profile/impl/Profiles.java', 'KARAF-6120', '6bb884c2cddf4d9d6779e94e509c98bfd77dca52')
('karaf-4.2.0', 'profile/src/main/java/org/apache/karaf/profile/impl/Profiles.java', 'KARAF-6120', '6bb884c2cddf4d9d6779e94e509c98bfd77dca52')
('karaf-4.2.0.M2', 'profile/src/main/java/org/apache/karaf/profile/impl/Profiles.java', 'KARAF-6120', '6bb884c2cddf4d9d6779e94e509c98bfd77dca52')
('karaf-4.2.2', 'scheduler/src/main/java/org/apache/karaf/scheduler/command/Schedule.java', 'KARAF-6123', '0385516bb7eeed5424b649bccbb124b6ac3fd879')
('karaf-4.2.1', 'scheduler/src/main/java/org/apache/karaf/scheduler/command/Schedule.java', 'KARAF-6123', '0385516bb7eeed5424b649bccbb124b6ac3fd879')
('karaf-4.2.0', 'scheduler/src/main/java/org/apache/karaf/scheduler/command/Schedule.java', 'KARAF-6123', '0385516bb7eeed5424b649bccbb124b6ac3fd879')
('karaf-4.2.0.M2', 'scheduler/src/main/java/org/apache/karaf/scheduler/command/Schedule.java', 'KARAF-6123', '0385516bb7eeed5424b649bccbb124b6ac3fd879')
('karaf-4.2.0.M1', 'scheduler/src/main/java/org/apache/karaf/scheduler/command/Schedule.java', 'KARAF-6123', '0385516bb7eeed5424b649bccbb124b6ac3fd879')
('karaf-4.2.2', 'scheduler/src/main/java/org/apache/karaf/scheduler/core/QuartzScheduler.java', 'KARAF-6123', '7775f336c8a392d508a025786c7bfb536de67839')
('karaf-4.2.2', 'scheduler/src/main/java/org/apache/karaf/scheduler/core/InternalScheduleOptions.java', 'KARAF-6123', '7775f336c8a392d508a025786c7bfb536de67839')
('karaf-4.2.2', 'scheduler/src/main/java/org/apache/karaf/scheduler/ScheduleOptions.java', 'KARAF-6123', '7775f336c8a392d508a025786c7bfb536de67839')
('karaf-4.2.2', 'scheduler/src/main/java/org/apache/karaf/scheduler/core/QuartzJobExecutor.java', 'KARAF-6123', '7775f336c8a392d508a025786c7bfb536de67839')
('karaf-4.1.7', 'scheduler/src/main/java/org/apache/karaf/scheduler/core/InternalScheduleOptions.java', 'KARAF-6123', '7775f336c8a392d508a025786c7bfb536de67839')
('karaf-4.1.7', 'scheduler/src/main/java/org/apache/karaf/scheduler/ScheduleOptions.java', 'KARAF-6123', '7775f336c8a392d508a025786c7bfb536de67839')
('karaf-4.2.1', 'scheduler/src/main/java/org/apache/karaf/scheduler/core/QuartzScheduler.java', 'KARAF-6123', '7775f336c8a392d508a025786c7bfb536de67839')
('karaf-4.2.1', 'scheduler/src/main/java/org/apache/karaf/scheduler/core/InternalScheduleOptions.java', 'KARAF-6123', '7775f336c8a392d508a025786c7bfb536de67839')
('karaf-4.2.1', 'scheduler/src/main/java/org/apache/karaf/scheduler/ScheduleOptions.java', 'KARAF-6123', '7775f336c8a392d508a025786c7bfb536de67839')
('karaf-4.2.1', 'scheduler/src/main/java/org/apache/karaf/scheduler/core/QuartzJobExecutor.java', 'KARAF-6123', '7775f336c8a392d508a025786c7bfb536de67839')
('karaf-4.1.6', 'scheduler/src/main/java/org/apache/karaf/scheduler/core/InternalScheduleOptions.java', 'KARAF-6123', '7775f336c8a392d508a025786c7bfb536de67839')
('karaf-4.1.6', 'scheduler/src/main/java/org/apache/karaf/scheduler/ScheduleOptions.java', 'KARAF-6123', '7775f336c8a392d508a025786c7bfb536de67839')
('karaf-4.2.0', 'scheduler/src/main/java/org/apache/karaf/scheduler/core/QuartzScheduler.java', 'KARAF-6123', '7775f336c8a392d508a025786c7bfb536de67839')
('karaf-4.2.0', 'scheduler/src/main/java/org/apache/karaf/scheduler/core/InternalScheduleOptions.java', 'KARAF-6123', '7775f336c8a392d508a025786c7bfb536de67839')
('karaf-4.2.0', 'scheduler/src/main/java/org/apache/karaf/scheduler/ScheduleOptions.java', 'KARAF-6123', '7775f336c8a392d508a025786c7bfb536de67839')
('karaf-4.2.0', 'scheduler/src/main/java/org/apache/karaf/scheduler/core/QuartzJobExecutor.java', 'KARAF-6123', '7775f336c8a392d508a025786c7bfb536de67839')
('karaf-4.1.5', 'scheduler/src/main/java/org/apache/karaf/scheduler/core/InternalScheduleOptions.java', 'KARAF-6123', '7775f336c8a392d508a025786c7bfb536de67839')
('karaf-4.1.5', 'scheduler/src/main/java/org/apache/karaf/scheduler/ScheduleOptions.java', 'KARAF-6123', '7775f336c8a392d508a025786c7bfb536de67839')
('karaf-4.2.0.M2', 'scheduler/src/main/java/org/apache/karaf/scheduler/core/InternalScheduleOptions.java', 'KARAF-6123', '7775f336c8a392d508a025786c7bfb536de67839')
