('4.0.6RC1', 'openmeetings-core/src/main/java/org/apache/openmeetings/core/remote/KurentoHandler.java', 'OPENMEETINGS-1962', 'f2d91360b0dbaf1480126c98893c6fe7a96d1c48')
('3.3.2RC1', 'openmeetings-db/src/main/java/org/apache/openmeetings/db/dao/room/RoomDao.java', 'OPENMEETINGS-1720', '1c3f765ee0c7f5c44ca5010ca6d8418f1a5cead7')
('3.3.2RC1', 'openmeetings-db/src/main/java/org/apache/openmeetings/db/dto/room/Whiteboard.java', 'OPENMEETINGS-1720', '1c3f765ee0c7f5c44ca5010ca6d8418f1a5cead7')
('3.3.1RC1', 'openmeetings-db/src/main/java/org/apache/openmeetings/db/dao/room/RoomDao.java', 'OPENMEETINGS-1720', '1c3f765ee0c7f5c44ca5010ca6d8418f1a5cead7')
('3.3.1RC1', 'openmeetings-db/src/main/java/org/apache/openmeetings/db/dto/room/Whiteboard.java', 'OPENMEETINGS-1720', '1c3f765ee0c7f5c44ca5010ca6d8418f1a5cead7')
('3.3.0', 'openmeetings-db/src/main/java/org/apache/openmeetings/db/dto/room/Whiteboard.java', 'OPENMEETINGS-1720', '1c3f765ee0c7f5c44ca5010ca6d8418f1a5cead7')
('3.3.2RC1', 'openmeetings-install/src/main/java/org/apache/openmeetings/backup/BackupImport.java', 'OPENMEETINGS-1720', '3d1f10f6b4029df1596ca4f967d375296519a492')
('3.3.1RC1', 'openmeetings-install/src/main/java/org/apache/openmeetings/backup/BackupImport.java', 'OPENMEETINGS-1720', '3d1f10f6b4029df1596ca4f967d375296519a492')
('3.3.2RC1', 'openmeetings-install/src/main/java/org/apache/openmeetings/backup/converter/WbConverter.java', 'OPENMEETINGS-1720', '34697089933d60995b1bea5c537e062042a21f17')
('3.3.2RC1', 'openmeetings-web/src/main/java/org/apache/openmeetings/web/room/wb/WbPanel.java', 'OPENMEETINGS-1720', '5e2dffb96a96c288efdb8888a04d689f78ebfb13')
('3.3.2RC1', 'openmeetings-db/src/main/java/org/apache/openmeetings/db/entity/file/BaseFileItem.java', 'OPENMEETINGS-1720', '5e2dffb96a96c288efdb8888a04d689f78ebfb13')
('3.3.2RC1', 'openmeetings-install/src/main/java/org/apache/openmeetings/backup/BackupImport.java', 'OPENMEETINGS-1720', '5e2dffb96a96c288efdb8888a04d689f78ebfb13')
('3.3.2RC1', 'openmeetings-db/src/main/java/org/apache/openmeetings/db/dto/room/Whiteboard.java', 'OPENMEETINGS-1720', '5e2dffb96a96c288efdb8888a04d689f78ebfb13')
('3.3.1RC1', 'openmeetings-install/src/main/java/org/apache/openmeetings/backup/BackupImport.java', 'OPENMEETINGS-1720', '5e2dffb96a96c288efdb8888a04d689f78ebfb13')
('3.3.1RC1', 'openmeetings-db/src/main/java/org/apache/openmeetings/db/dto/room/Whiteboard.java', 'OPENMEETINGS-1720', '5e2dffb96a96c288efdb8888a04d689f78ebfb13')
('3.3.0', 'openmeetings-db/src/main/java/org/apache/openmeetings/db/dto/room/Whiteboard.java', 'OPENMEETINGS-1720', '5e2dffb96a96c288efdb8888a04d689f78ebfb13')
('3.3.2RC1', 'openmeetings-db/src/main/java/org/apache/openmeetings/db/entity/file/BaseFileItem.java', 'OPENMEETINGS-1720', '4225fdb5b9cb908bc282acc9b72936e20cbef13e')
