('wicket-6.12.0', 'wicket-core/src/main/java/org/apache/wicket/core/util/string/ComponentRenderer.java', 'WICKET-5422', '166dc90280fa506699cbca2a0e1f70cce13c9022')
('wicket-6.12.0', 'wicket-experimental/wicket-native-websocket/wicket-native-websocket-core/src/main/java/org/apache/wicket/protocol/ws/api/AbstractWebSocketProcessor.java', 'WICKET-5422', '166dc90280fa506699cbca2a0e1f70cce13c9022')
('wicket-6.11.0', 'wicket-core/src/main/java/org/apache/wicket/core/util/string/ComponentRenderer.java', 'WICKET-5422', '166dc90280fa506699cbca2a0e1f70cce13c9022')
('wicket-6.11.0', 'wicket-experimental/wicket-native-websocket/wicket-native-websocket-core/src/main/java/org/apache/wicket/protocol/ws/api/AbstractWebSocketProcessor.java', 'WICKET-5422', '166dc90280fa506699cbca2a0e1f70cce13c9022')
('wicket-6.10.0', 'wicket-experimental/wicket-native-websocket/wicket-native-websocket-core/src/main/java/org/apache/wicket/protocol/ws/api/AbstractWebSocketProcessor.java', 'WICKET-5422', '166dc90280fa506699cbca2a0e1f70cce13c9022')
('wicket-6.9.1', 'wicket-experimental/wicket-native-websocket/wicket-native-websocket-core/src/main/java/org/apache/wicket/protocol/ws/api/AbstractWebSocketProcessor.java', 'WICKET-5422', '166dc90280fa506699cbca2a0e1f70cce13c9022')
('wicket-6.9.0', 'wicket-experimental/wicket-native-websocket/wicket-native-websocket-core/src/main/java/org/apache/wicket/protocol/ws/api/AbstractWebSocketProcessor.java', 'WICKET-5422', '166dc90280fa506699cbca2a0e1f70cce13c9022')
('wicket-6.8.0', 'wicket-experimental/wicket-native-websocket/wicket-native-websocket-core/src/main/java/org/apache/wicket/protocol/ws/api/AbstractWebSocketProcessor.java', 'WICKET-5422', '166dc90280fa506699cbca2a0e1f70cce13c9022')
('wicket-6.7.0', 'wicket-experimental/wicket-native-websocket/wicket-native-websocket-core/src/main/java/org/apache/wicket/protocol/ws/api/AbstractWebSocketProcessor.java', 'WICKET-5422', '166dc90280fa506699cbca2a0e1f70cce13c9022')
('releasewicket-1.5.6', 'wicket-core/src/main/java/org/apache/wicket/ThreadContext.java', 'WICKET-4574', 'd662e37edb1f5f90e4fab1182ce20595a140eea9')
('releasewicket-6.0.0-beta1', 'wicket-core/src/main/java/org/apache/wicket/ThreadContext.java', 'WICKET-4574', 'd662e37edb1f5f90e4fab1182ce20595a140eea9')
('wicket-1.5.5', 'wicket-core/src/main/java/org/apache/wicket/ThreadContext.java', 'WICKET-4574', 'd662e37edb1f5f90e4fab1182ce20595a140eea9')
('wicket-1.5.4', 'wicket-core/src/main/java/org/apache/wicket/ThreadContext.java', 'WICKET-4574', 'd662e37edb1f5f90e4fab1182ce20595a140eea9')
('wicket-1.5.3', 'wicket-core/src/main/java/org/apache/wicket/ThreadContext.java', 'WICKET-4574', 'd662e37edb1f5f90e4fab1182ce20595a140eea9')
('wicket-1.5.2', 'wicket-core/src/main/java/org/apache/wicket/ThreadContext.java', 'WICKET-4574', 'd662e37edb1f5f90e4fab1182ce20595a140eea9')
('wicket-1.5.1', 'wicket-core/src/main/java/org/apache/wicket/ThreadContext.java', 'WICKET-4574', 'd662e37edb1f5f90e4fab1182ce20595a140eea9')
('wicket-1.5.0', 'wicket-core/src/main/java/org/apache/wicket/ThreadContext.java', 'WICKET-4574', 'd662e37edb1f5f90e4fab1182ce20595a140eea9')
('wicket-1.5-RC7', 'wicket-core/src/main/java/org/apache/wicket/ThreadContext.java', 'WICKET-4574', 'd662e37edb1f5f90e4fab1182ce20595a140eea9')
('wicket-1.5-RC6', 'wicket-core/src/main/java/org/apache/wicket/ThreadContext.java', 'WICKET-4574', 'd662e37edb1f5f90e4fab1182ce20595a140eea9')
('wicket-1.5-RC5', 'wicket-core/src/main/java/org/apache/wicket/ThreadContext.java', 'WICKET-4574', 'd662e37edb1f5f90e4fab1182ce20595a140eea9')
('wicket-6.0.0-beta2', 'wicket-core/src/main/java/org/apache/wicket/ajax/form/AjaxFormSubmitBehavior.java', 'WICKET-4575', '54ec77248092fbea4ebd7be35e8d537ffc83e8f2')
('wicket-6.0.0-beta2', 'wicket-extensions/src/main/java/org/apache/wicket/extensions/markup/html/repeater/data/table/filter/GoFilter.java', 'WICKET-4575', '54ec77248092fbea4ebd7be35e8d537ffc83e8f2')
('wicket-6.0.0-beta2', 'wicket-core/src/main/java/org/apache/wicket/ajax/markup/html/form/AjaxSubmitLink.java', 'WICKET-4575', '54ec77248092fbea4ebd7be35e8d537ffc83e8f2')
('wicket-6.0.0-beta2', 'wicket-core/src/main/java/org/apache/wicket/markup/html/form/SubmitLink.java', 'WICKET-4575', '54ec77248092fbea4ebd7be35e8d537ffc83e8f2')
('wicket-6.0.0-beta2', 'wicket-core/src/main/java/org/apache/wicket/ajax/markup/html/form/AjaxFallbackButton.java', 'WICKET-4575', '54ec77248092fbea4ebd7be35e8d537ffc83e8f2')
('wicket-6.0.0-beta2', 'wicket-core/src/main/java/org/apache/wicket/ajax/markup/html/form/AjaxButton.java', 'WICKET-4575', '54ec77248092fbea4ebd7be35e8d537ffc83e8f2')
('wicket-6.0.0-beta2', 'wicket-extensions/src/main/java/org/apache/wicket/extensions/markup/html/repeater/data/table/filter/GoAndClearFilter.java', 'WICKET-4575', '54ec77248092fbea4ebd7be35e8d537ffc83e8f2')
